date,open,high,low,close,volume,event_flag,no_price_limit_flag
2025-01-02,3.7821168,3.85088256,3.70352736,3.74282208,39178111,0,0
2025-01-03,3.75264576,3.77229312,3.6347616,3.64458528,51468210,0,0
2025-01-06,3.64458528,3.71335104,3.57581952,3.67405632,36185900,0,0
2025-01-07,3.65440896,3.7329984,3.6347616,3.71335104,30804700,0,0
2025-01-08,3.70352736,3.70352736,3.54634848,3.64458528,49277710,0,0
2025-01-09,3.61511424,3.64458528,3.59546688,3.61511424,25820880,0,0
2025-01-10,3.57581952,3.6347616,3.5365248,3.54634848,32187649,0,0
2025-01-13,3.49723008,3.57581952,3.4874064,3.57581952,32872042,0,0
2025-01-14,3.5856432,3.68388,3.57581952,3.67405632,35512608,0,0
2025-01-15,3.65440896,3.68388,3.59546688,3.62493792,26396171,0,0
2025-01-16,3.64458528,3.72317472,3.62493792,3.65440896,39802323,0,0
2025-01-17,3.6347616,3.68388,3.59546688,3.66423264,26443640,0,0
2025-01-20,3.67405632,3.74282208,3.64458528,3.71335104,31813240,0,0
2025-01-21,3.71335104,3.7329984,3.65440896,3.69370368,21339609,0,0
2025-01-22,3.68388,3.69370368,3.6347616,3.65440896,20276009,0,0
2025-01-23,3.67405632,3.74282208,3.65440896,3.66423264,30172600,0,0
2025-01-24,3.65440896,3.71335104,3.64458528,3.70352736,20849400,0,0
2025-01-27,3.72317472,3.76246944,3.68388,3.68388,23091401,0,0
2025-02-05,3.69370368,3.72317472,3.67405632,3.71335104,19954800,0,0
2025-02-06,3.69370368,3.75264576,3.66423264,3.75264576,29055315,0,0
2025-02-07,3.74282208,3.8312352,3.7329984,3.77229312,45802061,0,0
2025-02-10,3.77229312,3.80176416,3.74282208,3.7821168,28299253,0,0
2025-02-11,3.7821168,3.80176416,3.7329984,3.76246944,26219613,0,0
2025-02-12,3.75264576,3.85088256,3.72317472,3.81158784,52872785,0,0
2025-02-13,3.81158784,3.8312352,3.77229312,3.7821168,33072809,0,0
2025-02-14,3.7821168,3.80176416,3.75264576,3.7821168,23120140,0,0
2025-02-17,3.77229312,3.7821168,3.72317472,3.77229312,27545201,0,0
2025-02-18,3.77229312,3.7821168,3.65440896,3.67405632,35070701,0,0
2025-02-19,3.67405632,3.81158784,3.67405632,3.74282208,46278401,0,0
2025-02-20,3.74282208,3.7821168,3.70352736,3.75264576,33389700,0,0
2025-02-21,3.76246944,3.79194048,3.71335104,3.7821168,39191860,0,0
2025-02-24,3.79194048,3.80176416,3.74282208,3.76246944,29265101,0,0
2025-02-25,3.74282208,3.77229312,3.70352736,3.71335104,25624740,0,0
2025-02-26,3.7329984,3.8312352,3.72317472,3.8312352,52010174,0,0
2025-02-27,3.85088256,3.86070624,3.76246944,3.85088256,43797240,0,0
2025-02-28,3.84105888,3.90000096,3.75264576,3.76246944,44734706,0,0
2025-03-03,3.76246944,3.8312352,3.74282208,3.76246944,41698697,0,0
2025-03-04,3.76246944,3.80176416,3.7329984,3.79194048,29787101,0,0
2025-03-05,3.79194048,3.79194048,3.69370368,3.75264576,32981610,0,0
2025-03-06,3.75264576,3.81158784,3.74282208,3.81158784,35393361,0,0
2025-03-07,3.91964832,4.19471136,3.91964832,4.19471136,132931757,0,0
2025-03-10,4.3224192,4.6171296,4.20453504,4.34206656,318760444,0,0
2025-03-11,4.28312448,4.6171296,4.2733008,4.53854016,244836374,0,0
2025-03-12,4.47959808,4.5188928,4.35189024,4.36171392,153206917,0,0
2025-03-13,4.3715376,4.55818752,4.28312448,4.44030336,169213155,0,0
2025-03-14,4.45995072,4.5680112,4.36171392,4.39118496,130292727,0,0
2025-03-17,4.39118496,4.63677696,4.3715376,4.50906912,144118795,0,0
2025-03-18,4.49924544,4.70554272,4.4697744,4.57783488,137708372,0,0
2025-03-19,4.5680112,4.57783488,4.45995072,4.49924544,83411400,0,0
2025-03-20,4.48942176,4.5680112,4.40100864,4.420656,86356548,0,0
2025-03-21,4.39118496,4.44030336,4.2733008,4.30277184,89266580,0,0
2025-03-24,4.30277184,4.33224288,4.175064,4.25365344,63997300,0,0
2025-03-25,4.25365344,4.35189024,4.21435872,4.24382976,61406202,0,0
2025-03-26,4.2241824,4.29294816,4.16524032,4.19471136,64978077,0,0
2025-03-27,4.175064,4.18488768,4.0277088,4.1259456,60243117,0,0
2025-03-28,4.1259456,4.15541664,4.0768272,4.11612192,41616057,0,0
2025-03-31,4.08665088,4.10629824,4.01788512,4.09647456,40731150,0,0
2025-04-01,4.10629824,4.13576928,4.0768272,4.08665088,37945000,0,0
2025-04-02,4.06700352,4.11612192,4.04735616,4.0768272,32767258,0,0
2025-04-03,4.03753248,4.10629824,4.01788512,4.06700352,41493631,0,0
