date,open,high,low,close,volume
2026-01-05,1.88,1.914,1.875,1.909,104469900
2026-01-06,1.906,1.91,1.864,1.908,106014506
2026-01-07,1.915,1.946,1.904,1.918,104909603
2026-01-08,1.913,1.925,1.884,1.897,142367502
2026-01-09,1.883,1.912,1.858,1.901,130322004
2026-01-12,1.901,1.955,1.878,1.944,59139007
2026-01-13,1.931,1.95,1.877,1.883,161820909
2026-01-14,1.885,1.924,1.878,1.903,104903475
2026-01-15,1.882,1.935,1.868,1.932,109419949
2026-01-16,1.95,1.973,1.932,1.957,82590774
2026-01-19,1.94,1.96,1.927,1.934,51406811
2026-01-20,1.925,1.935,1.863,1.886,70151204
2026-01-21,1.86,1.923,1.86,1.908,49278702
2026-01-22,1.925,1.95,1.909,1.949,56582300
2026-01-23,1.946,1.948,1.913,1.927,49552000
2026-01-26,1.928,1.928,1.892,1.903,35899700
2026-01-27,1.901,1.959,1.886,1.946,71000017
2026-01-28,1.965,1.99,1.937,1.954,102556137
2026-01-29,1.95,1.964,1.909,1.914,81204407
2026-01-30,1.908,1.965,1.875,1.952,80953701
2026-02-02,1.963,1.99,1.894,1.896,78201008
2026-02-03,1.948,1.96,1.883,1.943,56074641
2026-02-04,1.92,1.921,1.852,1.886,42625143
2026-02-05,1.858,1.877,1.84,1.854,25288012
2026-02-06,1.828,1.877,1.809,1.84,32748710
2026-02-09,0.94,0.965,0.937,0.959,141376400
2026-02-10,0.961,0.972,0.957,0.961,99461784
2026-02-11,0.955,0.966,0.94,0.944,89628484
2026-02-12,0.944,0.96,0.94,0.959,47317500
2026-02-13,0.951,0.962,0.948,0.948,88126800
2026-02-24,0.958,0.99,0.958,0.974,117752200
2026-02-25,0.977,0.984,0.964,0.982,102599300
2026-02-26,0.985,1.013,0.98,1.009,119128874
2026-02-27,0.986,0.991,0.977,0.991,112104000
2026-03-02,0.976,1.008,0.971,0.999,99214833
2026-03-03,1.002,1.016,0.964,0.965,108612608
2026-03-04,0.945,0.976,0.944,0.959,68854500
2026-03-05,0.98,1.007,0.966,0.98,129918299
2026-03-06,0.976,0.987,0.957,0.978,69981100
2026-03-09,0.955,0.96,0.913,0.954,145916900
2026-03-10,0.965,0.999,0.964,0.997,142774884
2026-03-11,1.001,1.02,0.997,1.002,110524454
2026-03-12,0.994,1.019,0.976,0.991,120980115
2026-03-13,0.975,0.996,0.975,0.98,148613900
2026-03-16,0.98,0.998,0.964,0.996,127322008
2026-03-17,1.0,1.004,0.954,0.956,104354200
2026-03-18,0.961,0.995,0.961,0.994,115278199
2026-03-19,0.973,1.001,0.972,0.987,125945210
2026-03-20,1.001,1.026,0.991,0.992,135138104
2026-03-23,0.965,0.977,0.937,0.941,152709900
2026-03-24,0.96,0.96,0.921,0.956,88856000
2026-03-25,0.975,1.004,0.975,0.995,116509100
2026-03-26,0.983,0.993,0.963,0.972,137106800
2026-03-27,0.939,0.973,0.935,0.959,102792500
2026-03-30,0.94,0.975,0.939,0.967,153282600
2026-03-31,0.949,0.968,0.936,0.944,126518000
2026-04-01,0.968,0.975,0.954,0.974,131170700
2026-04-02,0.962,0.975,0.944,0.949,93946200
2026-04-03,0.959,0.985,0.959,0.967,91968500
2026-04-07,0.967,0.981,0.956,0.968,92029940
2026-04-08,0.996,1.043,0.996,1.043,121921258
2026-04-09,1.031,1.059,1.025,1.055,176166500
2026-04-10,1.059,1.097,1.055,1.087,202430505
2026-04-13,1.07,1.096,1.07,1.092,123711219
2026-04-14,1.1,1.13,1.096,1.117,94285523
2026-04-15,1.127,1.133,1.085,1.097,115409400
2026-04-16,1.092,1.13,1.09,1.13,107692100
2026-04-17,1.14,1.179,1.139,1.178,118579020
2026-04-20,1.181,1.205,1.18,1.195,127453004
2026-04-21,1.18,1.203,1.169,1.202,94307018
2026-04-22,1.195,1.265,1.189,1.264,118916468
2026-04-23,1.268,1.282,1.234,1.253,206471750
2026-04-24,1.234,1.246,1.186,1.209,195274600
2026-04-27,1.211,1.243,1.211,1.23,105420500
2026-04-28,1.222,1.227,1.198,1.206,81193750
2026-04-29,1.196,1.224,1.184,1.211,71223100
2026-04-30,1.22,1.227,1.192,1.21,79124200
2026-05-06,1.241,1.26,1.227,1.238,85934100
2026-05-07,1.252,1.291,1.227,1.291,124634500
2026-05-08,1.273,1.298,1.263,1.295,94760606
2026-05-11,1.312,1.347,1.295,1.345,119189602
2026-05-12,1.359,1.37,1.334,1.355,102693810
2026-05-13,1.33,1.413,1.33,1.413,124040053
2026-05-14,1.428,1.431,1.374,1.384,154845100
2026-05-15,1.384,1.399,1.327,1.353,184716900
2026-05-18,1.34,1.395,1.339,1.378,132015223
2026-05-19,1.364,1.385,1.316,1.384,152088235
2026-05-20,1.366,1.405,1.366,1.391,143061726
2026-05-21,1.405,1.412,1.328,1.337,159712302
2026-05-22,1.345,1.411,1.345,1.411,135918314
2026-05-25,1.427,1.475,1.406,1.473,175205579
