date,copper_spot,copper_near_basis,copper_dom_basis,copper_near_basis_rate,copper_dom_basis_rate,copper_spot_ret1,copper_spot_ret5,copper_spot_ret20,copper_spot_ma20_gap,copper_spot_z20,copper_dom_basis_rate_ret1,copper_dom_basis_rate_ret5,copper_dom_basis_rate_ret20,copper_dom_basis_rate_ma20_gap,copper_dom_basis_rate_z20,gold_spot,gold_near_basis,gold_dom_basis,gold_near_basis_rate,gold_dom_basis_rate,gold_spot_ret1,gold_spot_ret5,gold_spot_ret20,gold_spot_ma20_gap,gold_spot_z20,gold_dom_basis_rate_ret1,gold_dom_basis_rate_ret5,gold_dom_basis_rate_ret20,gold_dom_basis_rate_ma20_gap,gold_dom_basis_rate_z20,silver_spot,silver_near_basis,silver_dom_basis,silver_near_basis_rate,silver_dom_basis_rate,silver_spot_ret1,silver_spot_ret5,silver_spot_ret20,silver_spot_ma20_gap,silver_spot_z20,silver_dom_basis_rate_ret1,silver_dom_basis_rate_ret5,silver_dom_basis_rate_ret20,silver_dom_basis_rate_ma20_gap,silver_dom_basis_rate_z20
2025-01-02,73470.0,-170.0,-190.0,-0.0023138696066421494,-0.0025860895603647682,,,,,,,,,,,618.97,1.92999999999995,5.169999999999959,0.003118083267363403,0.008352585747289698,,,,,,,,,,,7587.0,12.0,27.0,0.0015816528272043495,0.003558718861210064,,,,,,,,,,
2025-01-03,73270.0,-320.0,-350.0,-0.004367408216186752,-0.004776852736454229,-0.0027221995372260777,,,,,0.8471335291962794,,,,,620.85,5.769999999999982,8.370000000000005,0.009293710235966701,0.013481517274704036,0.0030373039081053044,,,,,0.6140531426544895,,,,,7612.33,9.670000000000073,24.670000000000073,0.0012703075142563858,0.003240794868325514,0.0033386055094239975,,,,,-0.08933664200055602,,,,
2025-01-06,73958.33,-378.33000000000175,-358.33000000000175,-0.00511544811787934,-0.004845025570480055,0.009394431554524463,,,,,0.014271495854492056,,,,,626.34,-2.5400000000000773,-0.13999999999998636,-0.0040553054251685206,-0.00022352077146592375,0.008842715631795173,,,,,-1.0165797934246856,,,,,7655.67,-53.67000000000007,-44.67000000000007,-0.007010490264078739,-0.005834891002355125,0.005693394795023288,,,,,-2.8004505806225106,,,,
2025-01-07,74416.67,-16.669999999998254,53.330000000001746,-0.00022400894853258357,0.000716640505413757,0.006197273518750324,,,,,-1.1479126363708232,,,,,626.34,-2.1000000000000227,-0.13999999999998636,-0.0033528115719897444,-0.00022352077146592375,0.0,,,,,0.0,,,,,7655.67,63.32999999999993,93.32999999999993,0.008272300138328914,0.012190964344074295,0.0,,,,,-3.0893216924109947,,,,
2025-01-08,74585.0,-145.0,-105.0,-0.0019440906348461295,-0.001407789770060952,0.0022619931797540627,,,,,-2.964429528370233,,,,,626.34,-3.1000000000000227,2.8600000000000136,-0.004949388511032438,0.004566210045662045,0.0,,,,,-21.428571428576042,,,,,7655.67,84.32999999999993,103.32999999999993,0.011015365082350792,0.01349718574598957,0.0,,,,,0.10714668381014447,,,,
2025-01-09,74813.33,126.66999999999825,106.66999999999825,0.0016931474644958922,0.0014258154262081213,0.003061339411409847,0.01828406152170947,,,,-2.0128042244165396,-1.5513403124395313,,,,627.79,-0.4699999999999136,5.110000000000014,-0.0007486579907292068,0.008139664537504698,0.002315036561611805,0.014249478973132668,,,,0.7825865337135507,-0.025491652073621585,,,,7719.67,10.329999999999927,54.32999999999993,0.0013381401018437433,0.00703786560824482,0.008359816972257184,0.017486490048767678,,,,-0.47856792218066746,0.9776402359167391,,,
2025-01-10,75443.33,-203.33000000000175,-93.33000000000175,-0.002695135540809246,-0.001237087493354272,0.00842095920606667,0.02966193530776584,,,,-1.8676350883958655,-0.7410245696055224,,,,627.79,4.910000000000082,9.090000000000032,0.0078210866691093,0.014479364118574756,0.0,0.01117822340339858,,,,0.7788649706457755,0.07401591553370812,,,,7719.67,70.32999999999993,104.32999999999993,0.00911049306511802,0.013514826410973457,0.0,0.014100807505717627,,,,0.9203018590097705,3.1702196405773844,,,
2025-01-13,75680.0,-220.0,-60.0,-0.0029069767441860517,-0.0007928118393234485,0.003137056649010539,0.02327891935904991,,,,-0.3591303415623439,-0.8363658090570418,,,,633.3,-0.599999999999909,5.420000000000073,-0.000947418285172752,0.008558345176062021,0.008776820274295494,0.011112175495737064,,,,-0.40892810582178774,-39.288813696971154,,,,7767.33,-7.329999999999927,20.670000000000073,-0.0009436962250863878,0.00266114610812207,0.006173839037160844,0.014585268173784804,,,,-0.8030943182547033,-1.456074690520861,,,
2025-01-14,75558.33,-158.33000000000175,-28.330000000001746,-0.002095467170859955,-0.0003749421142579257,-0.0016076902748414224,0.015341455079890043,,,,-0.5270730132159919,-1.5231941418681747,,,,633.13,-0.42999999999995,0.4700000000000273,-0.0006791654162651151,0.0007423435945224099,-0.0002684351807988872,0.0108407574160998,,,,-0.9132608490016539,-4.32113919280912,,,,7767.33,-187.32999999999993,-159.32999999999993,-0.024117682652854966,-0.020512840319646508,0.0,0.014585268173784804,,,,-8.708272859216326,-2.682626553625945,,,
2025-01-15,75480.0,-320.0,-230.0,-0.004239533651298366,-0.0030471648118707284,-0.0010366825206433727,0.011999731849567707,,,,7.1270273356771,1.1645027380322541,,,,632.68,1.9600000000000364,4.160000000000082,0.0030979326041602473,0.006575203894543913,-0.000710754505393929,0.010122297793530466,,,,7.8573592377719645,0.43996965290513446,,,,7599.67,52.32999999999993,89.32999999999993,0.006885825305572579,0.011754457759350023,-0.021585280913775984,-0.007314839850725008,,,,-1.5730292624611326,-0.12911787830714005,,,
