date,open,high,low,close,volume
2025-01-02,4.03007878,4.0495949,3.83491758,3.8544337,269349180
2025-01-03,3.86419176,3.87394982,3.77636922,3.79588534,164486641
2025-01-06,3.77636922,3.79588534,3.6592725,3.68854668,198602527
2025-01-07,3.68854668,3.69830474,3.6104822,3.66903056,169014653
2025-01-08,3.66903056,3.7568531,3.6592725,3.7080628,180021939
2025-01-09,3.71782086,3.72757892,3.59096608,3.60072414,188910900
2025-01-10,3.58120802,3.59096608,3.5129016,3.5129016,165930985
2025-01-13,3.47386936,3.50314354,3.39580488,3.49338548,183471153
2025-01-14,3.49338548,3.57144996,3.48362742,3.5616919,127345678
2025-01-15,3.5616919,3.60072414,3.54217578,3.55193384,109325410
2025-01-16,3.5616919,3.59096608,3.5129016,3.54217578,120245984
2025-01-17,3.53241772,3.55193384,3.47386936,3.53241772,96054328
2025-01-20,3.55193384,3.5616919,3.49338548,3.50314354,122286898
2025-01-21,3.52265966,3.53241772,3.49338548,3.49338548,87740520
2025-01-22,3.50314354,3.52265966,3.47386936,3.50314354,102604769
2025-01-23,3.53241772,3.62024026,3.5129016,3.52265966,149801129
2025-01-24,3.52265966,3.55193384,3.4641113,3.53241772,154233780
2025-01-27,3.53241772,3.62024026,3.53241772,3.60072414,190071599
2025-02-05,3.60072414,3.6104822,3.54217578,3.57144996,133418430
2025-02-06,3.57144996,3.62024026,3.55193384,3.6104822,124645076
2025-02-07,3.6104822,3.63975638,3.59096608,3.62024026,131252326
2025-02-10,3.6104822,3.62999832,3.57144996,3.59096608,155158581
2025-02-11,3.59096608,3.6104822,3.57144996,3.58120802,107163481
2025-02-12,3.58120802,3.60072414,3.57144996,3.59096608,92066500
2025-02-13,3.59096608,3.62999832,3.58120802,3.60072414,130569278
2025-02-14,3.60072414,3.63975638,3.58120802,3.59096608,134838419
2025-02-17,3.60072414,3.7080628,3.57144996,3.7080628,228002600
2025-02-18,3.69830474,3.74709504,3.6592725,3.66903056,157419350
2025-02-19,3.6592725,3.67878862,3.62024026,3.64951444,123493969
2025-02-20,3.63975638,3.6592725,3.6104822,3.62999832,94057840
2025-02-21,3.63975638,3.74709504,3.62024026,3.68854668,225955215
2025-02-24,3.68854668,3.79588534,3.67878862,3.74709504,174598226
2025-02-25,3.7568531,3.7568531,3.67878862,3.68854668,126334740
2025-02-26,3.67878862,3.7080628,3.67878862,3.68854668,99878004
2025-02-27,3.69830474,3.7080628,3.59096608,3.62024026,165831089
2025-02-28,3.6104822,3.62024026,3.50314354,3.53241772,180858700
2025-03-03,3.54217578,3.59096608,3.52265966,3.55193384,129415418
2025-03-04,3.54217578,3.55193384,3.5129016,3.53241772,98368531
2025-03-05,3.53241772,3.60072414,3.52265966,3.59096608,131529626
2025-03-06,3.59096608,3.60072414,3.55193384,3.57144996,112438023
2025-03-07,3.57144996,3.59096608,3.54217578,3.55193384,115770392
2025-03-10,3.5616919,3.57144996,3.53241772,3.54217578,84062400
2025-03-11,3.53241772,3.5616919,3.52265966,3.54217578,101534451
2025-03-12,3.54217578,3.55193384,3.52265966,3.53241772,108212359
2025-03-13,3.53241772,3.57144996,3.53241772,3.5616919,145688675
2025-03-14,3.5616919,3.59096608,3.55193384,3.59096608,143459273
2025-03-17,3.60072414,3.62999832,3.58120802,3.58120802,123682118
2025-03-18,3.59096608,3.60072414,3.55193384,3.57144996,110659968
2025-03-19,3.58120802,3.6104822,3.5616919,3.59096608,118742304
2025-03-20,3.60072414,3.60072414,3.57144996,3.57144996,102644783
2025-03-21,3.57144996,3.62024026,3.5616919,3.5616919,205317288
2025-03-24,3.5616919,3.57144996,3.47386936,3.50314354,231221353
2025-03-25,3.49338548,3.62999832,3.47386936,3.62999832,298276861
2025-03-26,3.62024026,3.67878862,3.58120802,3.64951444,231064901
2025-03-27,3.64951444,3.6592725,3.55193384,3.5616919,211066914
2025-03-28,3.5616919,3.58120802,3.54217578,3.55193384,102840312
2025-03-31,3.54217578,3.58120802,3.52265966,3.54217578,140250619
2025-04-01,3.55193384,3.62024026,3.54217578,3.62024026,173863006
2025-04-02,3.60072414,3.6104822,3.54217578,3.55193384,174997400
2025-04-03,3.53241772,3.6104822,3.52265966,3.60072414,183751143
2025-04-07,3.52265966,3.54217578,3.24943398,3.32749846,331225812
2025-04-08,3.32749846,3.50314354,3.32749846,3.49338548,240855404
2025-04-09,3.47386936,3.50314354,3.39580488,3.47386936,210044348
2025-04-10,3.49338548,3.50314354,3.44459518,3.47386936,140682380
2025-04-11,3.47386936,3.47386936,3.43483712,3.44459518,102880656
2025-04-14,3.4641113,3.53241772,3.45435324,3.52265966,162676556
2025-04-15,3.52265966,3.54217578,3.49338548,3.54217578,110105203
2025-04-16,3.52265966,3.55193384,3.49338548,3.53241772,109442011
2025-04-17,3.53241772,3.55193384,3.52265966,3.53241772,80873539
2025-04-18,3.52265966,3.53241772,3.50314354,3.53241772,64148742
2025-04-21,3.5129016,3.54217578,3.5129016,3.52265966,71035900
2025-04-22,3.52265966,3.60072414,3.5129016,3.53241772,142043486
2025-04-23,3.53241772,3.54217578,3.48362742,3.49338548,145759235
2025-04-24,3.4641113,3.48362742,3.42507906,3.43483712,171782227
2025-04-25,3.44459518,3.4641113,3.42507906,3.44459518,97544480
2025-04-28,3.53241772,3.58120802,3.48362742,3.5129016,323920880
2025-04-29,3.50314354,3.5129016,3.44459518,3.45435324,182863506
2025-04-30,3.45435324,3.4641113,3.42507906,3.43483712,113119633
2025-05-06,3.44459518,3.47386936,3.43483712,3.47386936,118539616
2025-05-07,3.48362742,3.49338548,3.4641113,3.48362742,107471262
2025-05-08,3.47386936,3.49338548,3.45435324,3.48362742,92786236
2025-05-09,3.48362742,3.50314354,3.47386936,3.48362742,96789636
2025-05-12,3.49338548,3.49338548,3.47386936,3.48362742,79817935
2025-05-13,3.49338548,3.5129016,3.48362742,3.50314354,107265301
2025-05-14,3.50314354,3.53241772,3.48362742,3.53241772,116299784
2025-05-15,3.52265966,3.58120802,3.5129016,3.53241772,149356590
2025-05-16,3.53241772,3.55193384,3.48362742,3.49338548,119491377
2025-05-19,3.49338548,3.55193384,3.48362742,3.55193384,129325842
2025-05-20,3.55193384,3.59096608,3.54217578,3.59096608,138825667
2025-05-21,3.60072414,3.6104822,3.58120802,3.58120802,101902610
2025-05-22,3.58120802,3.60072414,3.54217578,3.57144996,95021952
2025-05-23,3.57144996,3.6104822,3.55193384,3.55193384,114417502
2025-05-26,3.57144996,3.64951444,3.57144996,3.64951444,225291590
2025-05-27,3.64951444,3.6592725,3.60072414,3.6104822,138947802
2025-05-28,3.6104822,3.62999832,3.59096608,3.60072414,104217655
2025-05-29,3.60072414,3.6104822,3.57144996,3.60072414,96044234
2025-05-30,3.60072414,3.6104822,3.57144996,3.58120802,110830700
2025-06-03,3.58120802,3.58120802,3.55193384,3.57144996,82667839
2025-06-04,3.57144996,3.6104822,3.5616919,3.5616919,99097384
2025-06-05,3.57144996,3.58120802,3.54217578,3.55193384,86528880
