date,open,high,low,close,volume
2026-01-05,1.483,1.53,1.482,1.53,1186255556
2026-01-06,1.53,1.577,1.525,1.563,1006991776
2026-01-07,1.594,1.612,1.579,1.603,1261490393
2026-01-08,1.592,1.638,1.592,1.607,1042272369
2026-01-09,1.592,1.619,1.578,1.618,943823791
2026-01-12,1.624,1.648,1.612,1.646,805967120
2026-01-13,1.64,1.65,1.58,1.593,1042424102
2026-01-14,1.593,1.645,1.593,1.617,1094575728
2026-01-15,1.602,1.65,1.594,1.649,1004546502
2026-01-16,1.672,1.717,1.66,1.702,1311362065
2026-01-19,1.706,1.71,1.685,1.694,936134402
2026-01-20,1.685,1.717,1.668,1.682,867722448
2026-01-21,1.671,1.754,1.67,1.746,1252742881
2026-01-22,1.781,1.787,1.72,1.735,964667164
2026-01-23,1.721,1.74,1.704,1.738,871985460
2026-01-26,1.735,1.75,1.69,1.698,996146063
2026-01-27,1.69,1.75,1.672,1.744,991871439
2026-01-28,1.754,1.785,1.74,1.764,1050669608
2026-01-29,1.763,1.766,1.69,1.694,1276185578
2026-01-30,1.686,1.728,1.653,1.711,1059761576
2026-02-02,1.682,1.695,1.613,1.618,1474412623
2026-02-03,1.649,1.653,1.601,1.642,929459165
2026-02-04,1.616,1.619,1.585,1.608,999300430
2026-02-05,1.58,1.598,1.559,1.591,1023692610
2026-02-06,1.568,1.597,1.56,1.577,838443631
2026-02-09,1.609,1.629,1.596,1.628,945488206
2026-02-10,1.632,1.657,1.628,1.636,638663332
2026-02-11,1.622,1.631,1.608,1.617,538460289
2026-02-12,1.627,1.654,1.62,1.652,696386845
2026-02-13,1.642,1.676,1.637,1.655,723172583
2026-02-24,1.677,1.678,1.635,1.661,578850733
2026-02-25,1.664,1.683,1.637,1.675,875985781
2026-02-26,1.675,1.71,1.655,1.699,797249203
2026-02-27,1.673,1.691,1.657,1.685,713086780
2026-03-02,1.65,1.683,1.648,1.655,735765772
2026-03-03,1.657,1.665,1.555,1.559,1346636896
2026-03-04,1.542,1.59,1.542,1.559,987289373
2026-03-05,1.595,1.611,1.574,1.586,921953539
2026-03-06,1.569,1.602,1.569,1.586,563298711
2026-03-09,1.549,1.563,1.504,1.554,981022639
2026-03-10,1.586,1.599,1.574,1.595,788691967
2026-03-11,1.595,1.609,1.575,1.577,726690160
2026-03-12,1.571,1.592,1.542,1.555,721140788
2026-03-13,1.542,1.572,1.531,1.544,680866816
2026-03-16,1.539,1.581,1.514,1.577,1062638558
2026-03-17,1.578,1.579,1.531,1.534,771608591
2026-03-18,1.543,1.571,1.536,1.568,854973916
2026-03-19,1.54,1.545,1.52,1.527,960542809
2026-03-20,1.533,1.538,1.5,1.501,822673862
2026-03-23,1.46,1.48,1.416,1.425,1188261516
2026-03-24,1.447,1.454,1.401,1.451,910757679
2026-03-25,1.46,1.506,1.46,1.49,1015822707
2026-03-26,1.48,1.485,1.449,1.453,659720828
2026-03-27,1.428,1.479,1.421,1.468,624479635
2026-03-30,1.44,1.473,1.433,1.467,628180217
2026-03-31,1.455,1.46,1.413,1.415,849819753
2026-04-01,1.455,1.466,1.442,1.458,885107512
2026-04-02,1.453,1.455,1.404,1.413,771192400
2026-04-03,1.42,1.43,1.408,1.413,517509200
2026-04-07,1.417,1.45,1.417,1.437,698813716
2026-04-08,1.482,1.533,1.482,1.531,1029085916
2026-04-09,1.513,1.55,1.505,1.532,805290308
2026-04-10,1.556,1.58,1.555,1.561,778969700
2026-04-13,1.548,1.595,1.548,1.566,682298337
2026-04-14,1.59,1.616,1.587,1.608,828864057
2026-04-15,1.621,1.634,1.59,1.598,779783818
2026-04-16,1.596,1.621,1.588,1.62,687826033
2026-04-17,1.614,1.641,1.608,1.628,618705061
2026-04-20,1.629,1.658,1.627,1.653,683780101
2026-04-21,1.648,1.649,1.609,1.635,663269600
2026-04-22,1.625,1.678,1.625,1.677,1011376337
2026-04-23,1.692,1.695,1.634,1.648,938702265
2026-04-24,1.652,1.696,1.637,1.677,1174461838
2026-04-27,1.703,1.764,1.695,1.755,1210758880
2026-04-28,1.745,1.782,1.723,1.735,751362148
2026-04-29,1.713,1.735,1.678,1.732,834715229
2026-04-30,1.751,1.829,1.747,1.817,1290046034
2026-05-06,1.893,1.983,1.89,1.913,1069516495
2026-05-07,1.93,1.955,1.903,1.949,812478572
2026-05-08,1.908,1.918,1.879,1.902,851391611
2026-05-11,1.956,2.032,1.946,2.018,1080535641
2026-05-12,2.01,2.05,1.976,2.025,917372793
2026-05-13,1.979,2.091,1.96,2.088,968855353
2026-05-14,2.105,2.121,2.041,2.043,877296684
2026-05-15,2.034,2.124,1.982,2.035,1367572252
2026-05-18,2.035,2.111,2.029,2.058,887041898
2026-05-19,2.031,2.132,1.992,2.131,1214950254
2026-05-20,2.118,2.228,2.116,2.227,962048278
2026-05-21,2.266,2.298,2.121,2.132,1165060243
2026-05-22,2.146,2.194,2.113,2.189,966244919
2026-05-25,2.191,2.35,2.165,2.348,1054157461
