vendor,source,quote_source,collected_at,datetime,symbol,exchange,trade_date,trade_time,phase,name,last_price,open,high,low,prev_close,volume,amount,turnover,pct_chg,pct_chg_raw,pct_chg_norm,pct_chg_source,pct_chg_unit
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T09:35:00,2026-05-20T09:35:00,603308.SH,SH,20260520,093500,continuous,603308.SH,72.18,73.0,73.08,72.16,73.1,929800.0,67669273.0,,-0.012585499316005277,-0.012585499316005277,-0.012585499316005277,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T09:40:00,2026-05-20T09:40:00,603308.SH,SH,20260520,094000,continuous,603308.SH,71.19,72.17,73.08,70.92,73.1,1902700.0,137202282.0,,-0.02612859097127218,-0.02612859097127218,-0.02612859097127218,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T09:45:00,2026-05-20T09:45:00,603308.SH,SH,20260520,094500,continuous,603308.SH,71.32,71.3,73.08,70.92,73.1,2588100.0,186161319.0,,-0.0243502051983584,-0.0243502051983584,-0.0243502051983584,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T09:50:00,2026-05-20T09:50:00,603308.SH,SH,20260520,095000,continuous,603308.SH,71.99,71.29,73.08,70.92,73.1,3150200.0,226411676.0,,-0.01518467852257177,-0.01518467852257177,-0.01518467852257177,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T09:55:00,2026-05-20T09:55:00,603308.SH,SH,20260520,095500,continuous,603308.SH,71.83,71.99,73.08,70.92,73.1,3546841.0,254927729.0,,-0.017373461012311853,-0.017373461012311853,-0.017373461012311853,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T10:00:00,2026-05-20T10:00:00,603308.SH,SH,20260520,100000,continuous,603308.SH,72.0,71.85,73.08,70.92,73.1,3949541.0,283960922.0,,-0.015047879616962967,-0.015047879616962967,-0.015047879616962967,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T10:05:00,2026-05-20T10:05:00,603308.SH,SH,20260520,100500,continuous,603308.SH,71.77,71.96,73.08,70.92,73.1,4321341.0,310619041.0,,-0.018194254445964453,-0.018194254445964453,-0.018194254445964453,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T10:10:00,2026-05-20T10:10:00,603308.SH,SH,20260520,101000,continuous,603308.SH,71.75,71.76,73.08,70.92,73.1,4713141.0,338704118.0,,-0.018467852257181838,-0.018467852257181838,-0.018467852257181838,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T10:15:00,2026-05-20T10:15:00,603308.SH,SH,20260520,101500,continuous,603308.SH,71.94,71.76,73.08,70.92,73.1,4961641.0,356535020.0,,-0.015868673050615567,-0.015868673050615567,-0.015868673050615567,computed_from_prev_close,ratio
synthetic_from_training_5m,training_5m,training_5m,2026-05-20T10:20:00,2026-05-20T10:20:00,603308.SH,SH,20260520,102000,continuous,603308.SH,71.57,71.94,73.08,70.92,73.1,5279441.0,379338400.0,,-0.020930232558139528,-0.020930232558139528,-0.020930232558139528,computed_from_prev_close,ratio
