symbol,trade_date,datetime,open,high,low,close,volume,amount,raw_volume,raw_amount,vwap_ratio_raw,volume_unit_multiplier,volume_unit_inferred,bar_volume,bar_amount,raw_bar_volume
603308.SH,20260521,2026-05-21 09:35:00,74.77,74.77,74.77,74.77,2083206.0,156234365.0,2083206.0,156234365.0,1.003037033856758,1.0,shares,,,
603308.SH,20260521,2026-05-21 09:40:00,73.93,73.93,73.93,73.93,3229306.0,241259420.0,3229306.0,241259420.0,1.0105420126036229,1.0,shares,1146100.0,85025055.0,1146100.0
603308.SH,20260521,2026-05-21 09:45:00,73.94,73.94,73.94,73.94,3813665.0,284593543.0,3813665.0,284593543.0,1.0092599857000786,1.0,shares,584359.0,43334123.0,584359.0
603308.SH,20260521,2026-05-21 09:50:00,74.5,74.5,74.5,74.5,4266965.0,318284971.0,4266965.0,318284971.0,1.0012459652077965,1.0,shares,453300.0,33691428.0,453300.0
603308.SH,20260521,2026-05-21 09:55:00,75.22,75.22,75.22,75.22,5281365.0,394335309.0,5281365.0,394335309.0,0.992627159092551,1.0,shares,1014400.0,76050338.0,1014400.0
603308.SH,20260521,2026-05-21 10:00:00,75.16,75.16,75.16,75.16,6053465.0,452463409.0,6053465.0,452463409.0,0.9944722205768817,1.0,shares,772100.0,58128100.0,772100.0
603308.SH,20260521,2026-05-21 10:05:00,74.73,74.73,74.73,74.73,6447268.0,482022118.0,6447268.0,482022118.0,1.0004520099612775,1.0,shares,393803.0,29558709.0,393803.0
603308.SH,20260521,2026-05-21 10:10:00,74.6,74.6,74.6,74.6,6807968.0,508944636.0,6807968.0,508944636.0,1.002107259537057,1.0,shares,360700.0,26922518.0,360700.0
603308.SH,20260521,2026-05-21 10:15:00,74.81,74.81,74.81,74.81,7092368.0,530220488.0,7092368.0,530220488.0,0.9993223226543368,1.0,shares,284400.0,21275852.0,284400.0
603308.SH,20260521,2026-05-21 10:20:00,74.56,74.56,74.56,74.56,7374168.0,551258872.0,7374168.0,551258872.0,1.0026206963193165,1.0,shares,281800.0,21038384.0,281800.0
603308.SH,20260521,2026-05-21 10:25:00,74.35,74.35,74.35,74.35,7663768.0,572806885.0,7663768.0,572806885.0,1.0052750581422658,1.0,shares,289600.0,21548013.0,289600.0
603308.SH,20260521,2026-05-21 10:30:00,74.5,74.5,74.5,74.5,7844768.0,586304255.0,7844768.0,586304255.0,1.0031980259724802,1.0,shares,181000.0,13497370.0,181000.0
603308.SH,20260521,2026-05-21 10:35:00,73.94,73.94,73.94,73.94,8189868.0,611912200.0,8189868.0,611912200.0,1.0104917303838539,1.0,shares,345100.0,25607945.0,345100.0
603308.SH,20260521,2026-05-21 10:40:00,73.89,73.89,73.89,73.89,8511868.0,635742046.0,8511868.0,635742046.0,1.0108119989990583,1.0,shares,322000.0,23829846.0,322000.0
603308.SH,20260521,2026-05-21 10:45:00,73.86,73.86,73.86,73.86,8774968.0,655169237.0,8774968.0,655169237.0,1.0108777848441413,1.0,shares,263100.0,19427191.0,263100.0
603308.SH,20260521,2026-05-21 10:50:00,73.9,73.9,73.9,73.9,8994568.0,671383821.0,8994568.0,671383821.0,1.0100575599970083,1.0,shares,219600.0,16214584.0,219600.0
603308.SH,20260521,2026-05-21 10:55:00,73.56,73.56,73.56,73.56,9239068.0,689408277.0,9239068.0,689408277.0,1.0143938536681607,1.0,shares,244500.0,18024456.0,244500.0
603308.SH,20260521,2026-05-21 11:00:00,73.72,73.72,73.72,73.72,9640768.0,718869314.0,9640768.0,718869314.0,1.011469955351409,1.0,shares,401700.0,29461037.0,401700.0
603308.SH,20260521,2026-05-21 11:05:00,74.36,74.36,74.36,74.36,10060168.0,749925030.0,10060168.0,749925030.0,1.0024742703144067,1.0,shares,419400.0,31055716.0,419400.0
603308.SH,20260521,2026-05-21 11:10:00,74.09,74.09,74.09,74.09,10214268.0,761369126.0,10214268.0,761369126.0,1.0060705086387531,1.0,shares,154100.0,11444096.0,154100.0
603308.SH,20260521,2026-05-21 11:15:00,74.01,74.01,74.01,74.01,10319868.0,769178722.0,10319868.0,769178722.0,1.0070770873964383,1.0,shares,105600.0,7809596.0,105600.0
603308.SH,20260521,2026-05-21 11:20:00,73.93,73.93,73.93,73.93,10533369.0,784992417.0,10533369.0,784992417.0,1.0080392831806215,1.0,shares,213501.0,15813695.0,213501.0
603308.SH,20260521,2026-05-21 11:25:00,73.98,73.98,73.98,73.98,10665269.0,794746212.0,10665269.0,794746212.0,1.0072617120799456,1.0,shares,131900.0,9753795.0,131900.0
603308.SH,20260521,2026-05-21 11:30:00,73.58,73.58,73.58,73.58,10833869.0,807178978.0,10833869.0,807178978.0,1.0125733180974736,1.0,shares,168600.0,12432766.0,168600.0
603308.SH,20260521,2026-05-21 13:05:00,73.76,73.76,73.76,73.76,11150097.0,830472144.0,11150097.0,830472144.0,1.0097770971270386,1.0,shares,316228.0,23293166.0,316228.0
603308.SH,20260521,2026-05-21 13:10:00,73.44,73.44,73.44,73.44,11348397.0,845110834.0,11348397.0,845110834.0,1.0140199063324067,1.0,shares,198300.0,14638690.0,198300.0
603308.SH,20260521,2026-05-21 13:15:00,73.34,73.34,73.34,73.34,11513197.0,857213081.0,11513197.0,857213081.0,1.0152007928046545,1.0,shares,164800.0,12102247.0,164800.0
603308.SH,20260521,2026-05-21 13:20:00,73.64,73.64,73.64,73.64,11643797.0,866817158.0,11643797.0,866817158.0,1.0109253665394369,1.0,shares,130600.0,9604077.0,130600.0
603308.SH,20260521,2026-05-21 13:25:00,73.81,73.81,73.81,73.81,11812097.0,879232814.0,11812097.0,879232814.0,1.0084669690688857,1.0,shares,168300.0,12415656.0,168300.0
603308.SH,20260521,2026-05-21 13:30:00,73.55,73.55,73.55,73.55,12006797.0,893582662.0,12006797.0,893582662.0,1.0118703924893524,1.0,shares,194700.0,14349848.0,194700.0
603308.SH,20260521,2026-05-21 13:35:00,73.03,73.03,73.03,73.03,12397797.0,922179665.0,12397797.0,922179665.0,1.018520371369272,1.0,shares,391000.0,28597003.0,391000.0
603308.SH,20260521,2026-05-21 13:40:00,73.2,73.2,73.2,73.2,12611397.0,937798818.0,12611397.0,937798818.0,1.0158636083135817,1.0,shares,213600.0,15619153.0,213600.0
603308.SH,20260521,2026-05-21 13:45:00,73.03,73.03,73.03,73.03,12852037.0,955359877.0,12852037.0,955359877.0,1.017873317897199,1.0,shares,240640.0,17561059.0,240640.0
603308.SH,20260521,2026-05-21 13:50:00,72.81,72.81,72.81,72.81,13056097.0,970248281.0,13056097.0,970248281.0,1.0206538612962757,1.0,shares,204060.0,14888404.0,204060.0
603308.SH,20260521,2026-05-21 13:55:00,72.92,72.92,72.92,72.92,13319513.0,989423370.0,13319513.0,989423370.0,1.0187019982675805,1.0,shares,263416.0,19175089.0,263416.0
603308.SH,20260521,2026-05-21 14:00:00,72.84,72.84,72.84,72.84,13467713.0,1000226923.0,13467713.0,1000226923.0,1.019611558821396,1.0,shares,148200.0,10803553.0,148200.0
603308.SH,20260521,2026-05-21 14:05:00,72.72,72.72,72.72,72.72,13680113.0,1015686170.0,13680113.0,1015686170.0,1.0209770595940666,1.0,shares,212400.0,15459247.0,212400.0
603308.SH,20260521,2026-05-21 14:10:00,73.09,73.09,73.09,73.09,13968413.0,1036764140.0,13968413.0,1036764140.0,1.0154883330227769,1.0,shares,288300.0,21077970.0,288300.0
603308.SH,20260521,2026-05-21 14:15:00,72.89,72.89,72.89,72.89,14238113.0,1056435572.0,14238113.0,1056435572.0,1.0179410554617336,1.0,shares,269700.0,19671432.0,269700.0
603308.SH,20260521,2026-05-21 14:20:00,72.82,72.82,72.82,72.82,14437713.0,1070970063.0,14437713.0,1070970063.0,1.0186576523955742,1.0,shares,199600.0,14534491.0,199600.0
603308.SH,20260521,2026-05-21 14:25:00,72.3,72.3,72.3,72.3,14781713.0,1095929536.0,14781713.0,1095929536.0,1.0254619927070052,1.0,shares,344000.0,24959473.0,344000.0
603308.SH,20260521,2026-05-21 14:30:00,72.09,72.09,72.09,72.09,15104013.0,1119205297.0,15104013.0,1119205297.0,1.0278799167054768,1.0,shares,322300.0,23275761.0,322300.0
603308.SH,20260521,2026-05-21 14:35:00,71.87,71.87,71.87,71.87,15538213.0,1150470664.0,15538213.0,1150470664.0,1.0302125440794763,1.0,shares,434200.0,31265367.0,434200.0
603308.SH,20260521,2026-05-21 14:40:00,72.08,72.08,72.08,72.08,16023130.0,1185403587.0,16023130.0,1185403587.0,1.0263703624942753,1.0,shares,484917.0,34932923.0,484917.0
603308.SH,20260521,2026-05-21 14:45:00,71.67,71.67,71.67,71.67,16427730.0,1214483401.0,16427730.0,1214483401.0,1.0315175530363472,1.0,shares,404600.0,29079814.0,404600.0
603308.SH,20260521,2026-05-21 14:50:00,71.43,71.43,71.43,71.43,16938916.0,1251070668.0,16938916.0,1251070668.0,1.0339881878638995,1.0,shares,511186.0,36587267.0,511186.0
603308.SH,20260521,2026-05-21 14:55:00,71.5,71.5,71.5,71.5,17565128.0,1295773397.0,17565128.0,1295773397.0,1.0317433982346644,1.0,shares,626212.0,44702729.0,626212.0
