rank,run_at,trade_date,sample_date,used_sample_date,used_live_bar_date,date_status,feature_status,snapshot_time,cutoff_time,source_used,core_complete,missing_core_fields,requires_price_snapshot,requires_intraday_bars,requires_bid_ask,uses_historical_context,requires_realtime_context,context_status,context_mode,context_snapshot_time,required_context_features,missing_context_features,unsupported_realtime_features,stock_code,artifact_name,entry_policy,entry_vwap_premium_bps,entry_signal,close,daily_vwap,amount,volume,pct_chg,n_intraday_bars,hit_score,threshold,score_margin,signal_raw_score_pass,signal,missing_column_count,missing_feature_count,strict_features,samples,intraday_bars,reject_reason,error
1,2026-05-13T23:06:04,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-13 14:51:06,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_range_z20,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,601899.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,all_days,50.0,True,34.58,34.783196875770415,10755127155.0,309204677.0,0.0,320,0.5781786441802979,0.43650429248809813,0.14167435169219972,True,True,0,3,False,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out/00_base/raw_cache/601899_5m_raw.csv,,
2,2026-05-13T23:05:57,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-13 14:51:06,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_range_z20,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,vwap_low,50.0,True,34.44,34.402987937592705,1131170381.0,32880004.0,0.007312079555425566,320,0.6083185076713562,0.4717293083667755,0.1365891993045807,True,True,0,3,False,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/raw_cache/600096_5m_raw.csv,,
3,2026-05-13T23:05:55,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-13 14:51:06,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_range_z20,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,all_days,50.0,True,34.44,34.402987937592705,1131170381.0,32880004.0,0.007312079555425566,320,0.5926479697227478,0.4716151773929596,0.1210327923297882,True,True,0,3,False,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/raw_cache/600096_5m_raw.csv,,
4,2026-05-13T23:06:10,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-13 14:51:06,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_range_z20,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,603308.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,all_days,50.0,True,80.63,78.84635402944963,2187709889.0,27746494.0,0.07320644216691075,320,0.42820674180984497,0.30950190126895905,0.11870484054088593,True,True,0,3,False,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out/00_base/raw_cache/603308_5m_raw.csv,,
5,2026-05-13T23:05:54,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-13 14:51:06,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_range_z20,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,vwap_low,50.0,True,42.36,42.44789773343499,1582758328.41,37287084.0,-0.01327742837176804,320,0.5302611776093301,0.4614914878625146,0.06876968974681552,True,True,0,5,False,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out/00_base/raw_cache/002714_5m_raw.csv,,
6,2026-05-13T23:06:05,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-13 14:51:06,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_range_z20,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,vwap_low,50.0,True,34.58,34.783196875770415,10755127155.0,309204677.0,0.0,320,0.5205495866798784,0.46440508707914696,0.05614449960073142,True,True,0,3,False,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out/00_base/raw_cache/601899_5m_raw.csv,,
7,2026-05-13T23:05:59,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-13 14:51:06,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_range_z20,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,all_days,50.0,True,55.85,56.1462818315113,7187637406.0,128016267.0,-0.00463375512386377,320,0.49067812198783,0.4767518148075813,0.013926307180248731,True,True,0,3,False,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/00_base/raw_cache/600276_5m_raw.csv,,
8,2026-05-13T23:05:50,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,False,not_required,not_required,,,,,002311.SZ,nextday_all_days_hit80_lgbm_leaves15_reversal_fundamental_regime_v1,all_days,50.0,True,45.63,45.17235092739879,694444217.69,15373214.0,-0.006098889130908169,320,0.670031096917602,0.6645851008948153,0.0054459960227867255,True,True,0,3,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
9,2026-05-13T23:05:48,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-13 14:51:06,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_range_z20,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002311.SZ,nextday_all_days_close_profit_random_forest_reversal_fundamental_regime_sector_v1,all_days,50.0,True,45.63,45.17235092739879,694444217.69,15373214.0,-0.006098889130908169,320,0.4580850189088385,0.4536741122166454,0.004410906692193128,True,True,0,3,False,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/raw_cache/002311_5m_raw.csv,,
10,2026-05-13T23:05:47,2026-05-13,2026-05-13,2026-05-13,2026-05-13,exact_trade_date,live_overlay_partial,2026-05-13 14:51:40,14:55,sina,True,,True,True,False,True,True,ok,estimated_asof_cutoff,2026-05-13 14:51:06,"sector_amount,sector_amount_shock20,sector_amount_z20,sector_close,sector_high,sector_low,sector_ma20_gap,sector_ma60_gap,sector_open,sector_range_pct,sector_range_z20,sector_ret1,sector_ret20,sector_ret5,sector_ret60,sector_vol20,sector_volume,sector_volume_shock20,sector_volume_z20",nan,,002270.SZ,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,all_days,50.0,True,26.04,26.055713473813203,812483483.96,31182546.0,0.015996878657822844,320,0.49077274131556814,0.48698807438464276,0.0037846669309253844,True,True,0,3,False,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out/00_base/raw_cache/002270_5m_raw.csv,,
