stock_code,reason
000657.SZ,no_saved_model
000786.SZ,no_saved_model
002028.SZ,no_saved_model
002080.SZ,no_saved_model
002128.SZ,no_saved_model
002261.SZ,no_saved_model
002297.SZ,no_saved_model
002364.SZ,no_saved_model
002460.SZ,no_saved_model
002518.SZ,no_saved_model
002601.SZ,no_saved_model
002895.SZ,no_saved_model
159201.SZ,no_saved_model
159300.SZ,no_saved_model
159320.SZ,no_saved_model
159361.SZ,no_saved_model
159507.SZ,no_saved_model
159566.SZ,no_saved_model
159595.SZ,no_saved_model
159941.SZ,no_saved_model
510510.SH,no_saved_model
513400.SH,no_saved_model
513650.SH,no_saved_model
513980.SH,no_saved_model
515180.SH,no_saved_model
515650.SH,no_saved_model
515880.SH,no_saved_model
516510.SH,no_saved_model
562550.SH,no_saved_model
563020.SH,no_saved_model
588210.SH,no_saved_model
600016.SH,no_saved_model
600030.SH,no_saved_model
600176.SH,no_saved_model
600309.SH,no_saved_model
600361.SH,no_saved_model
600406.SH,no_saved_model
600438.SH,no_saved_model
600487.SH,no_saved_model
600522.SH,no_saved_model
600885.SH,no_saved_model
600919.SH,no_saved_model
601100.SH,no_saved_model
601138.SH,no_saved_model
601179.SH,no_saved_model
601186.SH,no_saved_model
601336.SH,no_saved_model
601390.SH,no_saved_model
601567.SH,no_saved_model
601818.SH,no_saved_model
603259.SH,no_saved_model
605499.SH,no_saved_model
