stock_code,in_selected_watchlist,has_saved_model,collect_required,unsupported_realtime_features,reason
000657.SZ,True,False,False,,no_saved_model
000786.SZ,True,False,False,,no_saved_model
002028.SZ,True,False,False,,no_saved_model
002080.SZ,True,False,False,,no_saved_model
002128.SZ,True,False,False,,no_saved_model
002261.SZ,True,False,False,,no_saved_model
002270.SZ,True,True,True,,ok
002297.SZ,True,False,False,,no_saved_model
002311.SZ,True,True,True,,ok
002364.SZ,True,False,False,,no_saved_model
002460.SZ,True,False,False,,no_saved_model
002518.SZ,True,False,False,,no_saved_model
002601.SZ,True,False,False,,no_saved_model
002714.SZ,True,True,True,,ok
002895.SZ,True,False,False,,no_saved_model
159201.SZ,True,False,False,,no_saved_model
159300.SZ,True,False,False,,no_saved_model
159320.SZ,True,False,False,,no_saved_model
159361.SZ,True,False,False,,no_saved_model
159507.SZ,True,False,False,,no_saved_model
159566.SZ,True,False,False,,no_saved_model
159595.SZ,True,False,False,,no_saved_model
159941.SZ,True,False,False,,no_saved_model
510510.SH,True,False,False,,no_saved_model
513400.SH,True,False,False,,no_saved_model
513650.SH,True,False,False,,no_saved_model
513980.SH,True,False,False,,no_saved_model
515180.SH,True,False,False,,no_saved_model
515650.SH,True,False,False,,no_saved_model
515880.SH,True,False,False,,no_saved_model
516510.SH,True,False,False,,no_saved_model
562550.SH,True,False,False,,no_saved_model
563020.SH,True,False,False,,no_saved_model
588210.SH,True,False,False,,no_saved_model
600016.SH,True,False,False,,no_saved_model
600030.SH,True,False,False,,no_saved_model
600096.SH,True,True,True,,ok
600176.SH,True,False,False,,no_saved_model
600276.SH,True,True,True,,ok
600309.SH,True,False,False,,no_saved_model
600312.SH,True,True,True,,ok
600361.SH,True,False,False,,no_saved_model
600406.SH,True,False,False,,no_saved_model
600438.SH,True,False,False,,no_saved_model
600487.SH,True,True,True,,ok
600522.SH,True,True,True,,ok
600885.SH,True,False,False,,no_saved_model
600919.SH,True,False,False,,no_saved_model
601100.SH,True,False,False,,no_saved_model
601138.SH,True,False,False,,no_saved_model
601179.SH,True,False,False,,no_saved_model
601186.SH,True,False,False,,no_saved_model
601336.SH,True,False,False,,no_saved_model
601390.SH,True,False,False,,no_saved_model
601567.SH,True,False,False,,no_saved_model
601818.SH,True,False,False,,no_saved_model
601899.SH,True,True,True,,ok
601985.SH,True,True,True,,ok
603259.SH,True,False,False,,no_saved_model
603308.SH,True,True,True,,ok
605499.SH,True,False,False,,no_saved_model
