symbol,sector,external,enable_us_yf,status,returncode,start_time,end_time,elapsed_seconds,log_file
000657.SZ,小金属,zijin_external,0,ok,0,2026-05-31 00:59:47,2026-05-31 01:15:55,968,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/000657_SZ_zijin_external.log
000786.SZ,建筑材料,material_wind_battery,0,ok,0,2026-05-31 01:15:55,2026-05-31 01:19:45,230,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/000786_SZ_material_wind_battery.log
002028.SZ,电网设备,storage_power,0,ok,0,2026-05-31 01:19:45,2026-05-31 01:23:46,241,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/002028_SZ_storage_power.log
002080.SZ,建筑材料,material_wind_battery,0,ok,0,2026-05-31 01:23:46,2026-05-31 01:27:49,243,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/002080_SZ_material_wind_battery.log
002128.SZ,煤炭开采加工,power_utility_rate,0,ok,0,2026-05-31 01:27:49,2026-05-31 01:31:40,231,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/002128_SZ_power_utility_rate.log
002261.SZ,软件开发,ai_compute,1,ok,0,2026-05-31 01:31:40,2026-05-31 01:35:55,255,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/002261_SZ_ai_compute.log
002270.SZ,电网设备,none,0,ok,0,2026-05-31 01:35:55,2026-05-31 01:35:55,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/002270_SZ_none.log
002297.SZ,军工装备,aero_nuclear_equipment,0,ok,0,2026-05-31 01:35:55,2026-05-31 01:39:40,225,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/002297_SZ_aero_nuclear_equipment.log
002311.SZ,农产品加工,feed,hog,0,ok,0,2026-05-31 01:39:40,2026-05-31 01:39:50,10,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/002311_SZ_feed,hog.log
002364.SZ,其他电源设备,storage_power,0,ok,0,2026-05-31 01:39:50,2026-05-31 01:43:45,235,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/build_universe/002364_SZ_storage_power.log
