feature_group,model_family,status,returncode,start_time,end_time,elapsed_seconds,log_file,out_dir
ml4t_intraday,ridge,ok,0,2026-05-31 03:39:08,2026-05-31 03:40:51,103,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_ridge_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_ridge_train756_test21_pos3
ml4t_intraday,elasticnet,ok,0,2026-05-31 03:40:51,2026-05-31 03:43:10,139,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_elasticnet_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_elasticnet_train756_test21_pos3
ml4t_intraday,extratrees,ok,0,2026-05-31 03:43:10,2026-05-31 04:02:21,1151,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_extratrees_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_extratrees_train756_test21_pos3
ml4t_intraday,lgbm_l1,ok,0,2026-05-31 04:02:21,2026-05-31 04:05:04,163,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_lgbm_l1_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_lgbm_l1_train756_test21_pos3
ml4t_intraday,lgbm_huber,ok,0,2026-05-31 04:05:04,2026-05-31 04:07:45,161,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_lgbm_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_lgbm_huber_train756_test21_pos3
ml4t_intraday,lgbm_quantile,ok,0,2026-05-31 04:07:45,2026-05-31 04:10:32,167,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_lgbm_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_lgbm_quantile_train756_test21_pos3
ml4t_intraday,catboost_rmse,ok,0,2026-05-31 04:10:32,2026-05-31 04:20:13,581,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_catboost_rmse_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_catboost_rmse_train756_test21_pos3
ml4t_intraday,catboost_huber,ok,0,2026-05-31 04:20:13,2026-05-31 04:30:03,590,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_catboost_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_catboost_huber_train756_test21_pos3
ml4t_intraday,catboost_quantile,ok,0,2026-05-31 04:30:03,2026-05-31 04:40:53,650,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_catboost_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_catboost_quantile_train756_test21_pos3
ml4t_intraday,randomforest,ok,0,2026-05-31 04:40:53,2026-05-31 07:06:55,8762,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_randomforest_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_randomforest_train756_test21_pos3
ml4t_intraday,lgbm_l2,ok,0,2026-05-31 07:06:55,2026-05-31 07:09:28,153,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_intraday_lgbm_l2_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_intraday_lgbm_l2_train756_test21_pos3
ml4t_fundamental,ridge,ok,0,2026-05-31 07:09:28,2026-05-31 07:11:46,138,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_ridge_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_ridge_train756_test21_pos3
ml4t_fundamental,elasticnet,ok,0,2026-05-31 07:11:46,2026-05-31 07:17:58,372,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_elasticnet_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_elasticnet_train756_test21_pos3
ml4t_fundamental,extratrees,ok,0,2026-05-31 07:17:58,2026-05-31 08:16:07,3489,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_extratrees_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_extratrees_train756_test21_pos3
ml4t_fundamental,lgbm_l1,ok,0,2026-05-31 08:16:07,2026-05-31 08:20:45,278,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_lgbm_l1_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_lgbm_l1_train756_test21_pos3
ml4t_fundamental,lgbm_huber,ok,0,2026-05-31 08:20:45,2026-05-31 08:25:26,281,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_lgbm_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_lgbm_huber_train756_test21_pos3
ml4t_fundamental,lgbm_quantile,ok,0,2026-05-31 08:25:26,2026-05-31 08:30:04,278,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_lgbm_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_lgbm_quantile_train756_test21_pos3
ml4t_fundamental,catboost_rmse,ok,0,2026-05-31 08:30:04,2026-05-31 08:50:27,1223,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_catboost_rmse_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_catboost_rmse_train756_test21_pos3
ml4t_fundamental,catboost_huber,ok,0,2026-05-31 08:50:27,2026-05-31 09:11:09,1242,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_catboost_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_catboost_huber_train756_test21_pos3
ml4t_fundamental,catboost_quantile,ok,0,2026-05-31 09:11:09,2026-05-31 09:32:47,1298,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_catboost_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_catboost_quantile_train756_test21_pos3
ml4t_fundamental,randomforest,ok,0,2026-05-31 09:32:47,2026-05-31 13:02:52,12605,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_randomforest_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_randomforest_train756_test21_pos3
ml4t_fundamental,lgbm_l2,ok,0,2026-05-31 13:02:52,2026-05-31 13:07:18,266,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_fundamental_lgbm_l2_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_fundamental_lgbm_l2_train756_test21_pos3
ml4t_sector,ridge,ok,0,2026-05-31 13:07:18,2026-05-31 13:09:48,150,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_ridge_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_ridge_train756_test21_pos3
ml4t_sector,elasticnet,ok,0,2026-05-31 13:09:48,2026-05-31 13:18:12,504,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_elasticnet_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_elasticnet_train756_test21_pos3
ml4t_sector,extratrees,ok,0,2026-05-31 13:18:12,2026-05-31 14:32:46,4474,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_extratrees_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_extratrees_train756_test21_pos3
ml4t_sector,lgbm_l1,ok,0,2026-05-31 14:32:46,2026-05-31 14:38:16,330,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_lgbm_l1_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_lgbm_l1_train756_test21_pos3
ml4t_sector,lgbm_huber,ok,0,2026-05-31 14:38:16,2026-05-31 14:43:45,329,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_lgbm_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_lgbm_huber_train756_test21_pos3
ml4t_sector,lgbm_quantile,ok,0,2026-05-31 14:43:45,2026-05-31 14:49:09,324,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_lgbm_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_lgbm_quantile_train756_test21_pos3
ml4t_sector,catboost_rmse,ok,0,2026-05-31 14:49:09,2026-05-31 15:13:20,1451,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_catboost_rmse_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_catboost_rmse_train756_test21_pos3
ml4t_sector,catboost_huber,ok,0,2026-05-31 15:13:20,2026-05-31 15:37:56,1476,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_catboost_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_catboost_huber_train756_test21_pos3
ml4t_sector,catboost_quantile,ok,0,2026-05-31 15:37:56,2026-05-31 16:03:27,1531,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_catboost_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_catboost_quantile_train756_test21_pos3
ml4t_sector,randomforest,ok,0,2026-05-31 16:03:27,2026-05-31 21:28:40,19513,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_randomforest_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_randomforest_train756_test21_pos3
ml4t_sector,lgbm_l2,ok,0,2026-05-31 21:28:40,2026-05-31 21:33:55,315,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_sector_lgbm_l2_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_sector_lgbm_l2_train756_test21_pos3
ml4t_external,ridge,failed,137,2026-05-31 21:33:55,2026-05-31 21:34:26,31,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_ridge_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_ridge_train756_test21_pos3
ml4t_external,elasticnet,failed,137,2026-05-31 21:34:26,2026-05-31 21:34:54,28,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_elasticnet_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_elasticnet_train756_test21_pos3
ml4t_external,extratrees,failed,137,2026-05-31 21:34:54,2026-05-31 21:35:22,28,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_extratrees_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_extratrees_train756_test21_pos3
ml4t_external,lgbm_l1,failed,137,2026-05-31 21:35:22,2026-05-31 21:35:50,28,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_lgbm_l1_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_lgbm_l1_train756_test21_pos3
ml4t_external,lgbm_huber,failed,137,2026-05-31 21:35:50,2026-05-31 21:36:18,28,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_lgbm_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_lgbm_huber_train756_test21_pos3
ml4t_external,lgbm_quantile,failed,137,2026-05-31 21:36:18,2026-05-31 21:36:46,28,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_lgbm_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_lgbm_quantile_train756_test21_pos3
ml4t_external,catboost_rmse,failed,137,2026-05-31 21:36:46,2026-05-31 21:37:14,28,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_catboost_rmse_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_catboost_rmse_train756_test21_pos3
ml4t_external,catboost_huber,failed,137,2026-05-31 21:37:14,2026-05-31 21:37:44,30,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_catboost_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_catboost_huber_train756_test21_pos3
ml4t_external,catboost_quantile,failed,137,2026-05-31 21:37:44,2026-05-31 21:38:12,28,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_catboost_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_catboost_quantile_train756_test21_pos3
ml4t_external,randomforest,failed,137,2026-05-31 21:38:12,2026-05-31 21:38:40,28,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_randomforest_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_randomforest_train756_test21_pos3
ml4t_external,lgbm_l2,failed,137,2026-05-31 21:38:40,2026-05-31 21:39:09,29,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/rebuild_and_search_20260531_005947/regression_pool/reg_ml4t_external_lgbm_l2_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_lgbm_l2_train756_test21_pos3
