feature_group,model_family,status,returncode,start_time,end_time,elapsed_seconds,log_file,out_dir
ml4t_external,ridge,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_ridge_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_ridge_train756_test21_pos3
ml4t_external,elasticnet,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_elasticnet_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_elasticnet_train756_test21_pos3
ml4t_external,extratrees,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_extratrees_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_extratrees_train756_test21_pos3
ml4t_external,lgbm_l1,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_lgbm_l1_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_lgbm_l1_train756_test21_pos3
ml4t_external,lgbm_huber,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_lgbm_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_lgbm_huber_train756_test21_pos3
ml4t_external,lgbm_quantile,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_lgbm_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_lgbm_quantile_train756_test21_pos3
ml4t_external,catboost_rmse,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_catboost_rmse_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_catboost_rmse_train756_test21_pos3
ml4t_external,catboost_huber,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_catboost_huber_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_catboost_huber_train756_test21_pos3
ml4t_external,catboost_quantile,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_catboost_quantile_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_catboost_quantile_train756_test21_pos3
ml4t_external,randomforest,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_randomforest_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_randomforest_train756_test21_pos3
ml4t_external,lgbm_l2,ok,0,2026-05-31 23:18:26,2026-05-31 23:18:26,0,saved_data/ml4t_asof1455_lgbm_pipeline_out/logs/regression_pool_20260531_231826/reg_ml4t_external_lgbm_l2_train756_test21_pos3.log,saved_data/ml4t_asof1455_lgbm_pipeline_out/99_summary/reg_ml4t_external_lgbm_l2_train756_test21_pos3
