symbol,artifact,status,returncode,samples,intraday_bars,artifact_dir,start_time,end_time,log_file
600312.SH,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,ok,0,saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,saved_data/600312_pipeline_out/00_base/600312_5m.csv,saved_models/600312.SH/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,2026-05-13 02:03:37,2026-05-13 02:04:08,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_600312_SH_nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1.log
600312.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,ok,0,saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,saved_data/600312_pipeline_out/00_base/600312_5m.csv,saved_models/600312.SH/nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,2026-05-13 02:04:08,2026-05-13 02:04:39,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_600312_SH_nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1.log
600312.SH,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,ok,0,saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,saved_data/600312_pipeline_out/00_base/600312_5m.csv,saved_models/600312.SH/nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,2026-05-13 02:04:39,2026-05-13 02:05:11,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_600312_SH_nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1.log
601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,ok,0,saved_data/601899_pipeline_out/03_sector/training_samples_with_sector.csv,saved_data/601899_pipeline_out/00_base/601899_5m.csv,saved_models/601899.SH/nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,2026-05-13 02:05:11,2026-05-13 02:05:40,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_601899_SH_nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1.log
601899.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,ok,0,saved_data/601899_pipeline_out/03_sector/training_samples_with_sector.csv,saved_data/601899_pipeline_out/00_base/601899_5m.csv,saved_models/601899.SH/nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,2026-05-13 02:05:40,2026-05-13 02:06:11,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_601899_SH_nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1.log
603308.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_external_aero_nuclear_v1,ok,0,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,saved_data/603308_pipeline_out/00_base/603308_5m.csv,saved_models/603308.SH/nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_external_aero_nuclear_v1,2026-05-13 02:06:11,2026-05-13 02:07:11,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_603308_SH_nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_external_aero_nuclear_v1.log
603308.SH,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_external_aero_nuclear_v1,ok,0,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,saved_data/603308_pipeline_out/00_base/603308_5m.csv,saved_models/603308.SH/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_external_aero_nuclear_v1,2026-05-13 02:07:11,2026-05-13 02:08:27,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_603308_SH_nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_external_aero_nuclear_v1.log
603308.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,ok,0,saved_data/603308_pipeline_out/03_sector/training_samples_with_sector.csv,saved_data/603308_pipeline_out/00_base/603308_5m.csv,saved_models/603308.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,2026-05-13 02:08:27,2026-05-13 02:09:03,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_603308_SH_nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1.log
600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,ok,0,saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,saved_data/600096_pipeline_out/00_base/600096_5m.csv,saved_models/600096.SH/nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,2026-05-13 02:09:03,2026-05-13 02:09:40,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_600096_SH_nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1.log
600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,ok,0,saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,saved_data/600096_pipeline_out/00_base/600096_5m.csv,saved_models/600096.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,2026-05-13 02:09:40,2026-05-13 02:10:17,saved_data/model_search_queue_logs/canonicalize_only_stages_20260513_013008/save_600096_SH_nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1.log
