stock_code,source_artifact,target_artifact,status,reason,metadata_path,samples,intraday_bars,log_path,backup_dir,returncode
002270.SZ,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,ok,ok,saved_models/002270.SZ/nextday_all_days_close_profit_extra_trees_all_no_ak_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out/00_base/002270_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_002270_SZ_nextday_all_days_close_profit_extra_trees_all_no_ak_v1.log,cleanup_trash/model_refresh_backup_20260518_012748/002270.SZ/nextday_all_days_close_profit_extra_trees_all_no_ak_v1,0
002311.SZ,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,ok,ok,saved_models/002311.SZ/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out/00_base/002311_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_002311_SZ_nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1.log,cleanup_trash/model_refresh_backup_20260518_012816/002311.SZ/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,0
002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,ok,ok,saved_models/002714.SZ/nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out/00_base/002714_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_002714_SZ_nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1.log,cleanup_trash/model_refresh_backup_20260518_012925/002714.SZ/nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,0
600096.SH,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,ok,ok,saved_models/600096.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/600096_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_600096_SH_nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1.log,cleanup_trash/model_refresh_backup_20260518_012953/600096.SH/nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,0
600096.SH,nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,ok,ok,saved_models/600096.SH/nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/600096_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_600096_SH_nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1.log,cleanup_trash/model_refresh_backup_20260518_013109/600096.SH/nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,0
600096.SH,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,ok,ok,saved_models/600096.SH/nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out/00_base/600096_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_600096_SH_nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1.log,cleanup_trash/model_refresh_backup_20260518_013202/600096.SH/nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,0
600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,ok,ok,saved_models/600276.SH/nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out/00_base/600276_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_600276_SH_nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1.log,cleanup_trash/model_refresh_backup_20260518_013320/600276.SH/nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,0
600312.SH,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,ok,ok,saved_models/600312.SH/nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/00_base/600312_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_600312_SH_nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1.log,cleanup_trash/model_refresh_backup_20260518_013347/600312.SH/nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,0
600312.SH,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,ok,ok,saved_models/600312.SH/nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/00_base/600312_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_600312_SH_nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1.log,cleanup_trash/model_refresh_backup_20260518_013441/600312.SH/nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,0
600312.SH,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,ok,ok,saved_models/600312.SH/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1/metadata.json,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/03_sector/training_samples_with_sector.csv,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out/00_base/600312_5m.csv,saved_data/model_update_logs/retrain_existing_20260518_012748/retrain_600312_SH_nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1.log,cleanup_trash/model_refresh_backup_20260518_013550/600312.SH/nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,0
