stock_code,status,returncode,elapsed_seconds,sector_symbol,external,pipeline_out,command,error
002270.SZ,ok,0,58.89,电网设备,,/root/stock_realtime_v021_full/saved_data/002270_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 002270.SZ --sector-symbol 电网设备 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector --cache-mode incremental --feature-cache-mode incremental",
002311.SZ,ok,0,55.48,农产品加工,,/root/stock_realtime_v021_full/saved_data/002311_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 002311.SZ --sector-symbol 农产品加工 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector --cache-mode incremental --feature-cache-mode incremental",
002714.SZ,ok,0,54.72,养殖业,,/root/stock_realtime_v021_full/saved_data/002714_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 002714.SZ --sector-symbol 养殖业 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector --cache-mode incremental --feature-cache-mode incremental",
600096.SH,ok,0,50.2,农化制品,,/root/stock_realtime_v021_full/saved_data/600096_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600096.SH --sector-symbol 农化制品 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector --cache-mode incremental --feature-cache-mode incremental",
600276.SH,ok,0,56.77,化学制药,,/root/stock_realtime_v021_full/saved_data/600276_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600276.SH --sector-symbol 化学制药 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector --cache-mode incremental --feature-cache-mode incremental",
600312.SH,ok,0,50.94,电网设备,,/root/stock_realtime_v021_full/saved_data/600312_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600312.SH --sector-symbol 电网设备 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector --cache-mode incremental --feature-cache-mode incremental",
600487.SH,ok,0,87.62,通信设备,optical_cable_grid,/root/stock_realtime_v021_full/saved_data/600487_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600487.SH --sector-symbol 通信设备 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector,external_optical_cable_grid --external optical_cable_grid --cache-mode incremental --feature-cache-mode incremental",
600522.SH,ok,0,88.17,通信设备,optical_cable_grid,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 600522.SH --sector-symbol 通信设备 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector,external_optical_cable_grid --external optical_cable_grid --cache-mode incremental --feature-cache-mode incremental",
601899.SH,ok,0,55.22,贵金属,,/root/stock_realtime_v021_full/saved_data/601899_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 601899.SH --sector-symbol 贵金属 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector --cache-mode incremental --feature-cache-mode incremental",
601985.SH,ok,0,49.13,电力,,/root/stock_realtime_v021_full/saved_data/601985_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 601985.SH --sector-symbol 电力 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector --cache-mode incremental --feature-cache-mode incremental",
603308.SH,ok,0,82.12,通用设备,aero_nuclear_equipment,/root/stock_realtime_v021_full/saved_data/603308_pipeline_out,"/usr/bin/python3 pipelines/run_nextday_pipeline.py --symbol 603308.SH --sector-symbol 通用设备 --end-date 2026-05-19 --feature-pipeline fundamental,sector --only-stages update_data,samples,fundamental,sector,external_aero_nuclear_equipment --external aero_nuclear_equipment --cache-mode incremental --feature-cache-mode incremental",
