stock_code,raw_code,sector_symbol,external,feature_pipeline,only_stages,pipeline_out,n_artifacts,artifact_names,source_notes
002270.SZ,002270,电网设备,,"fundamental,sector","update_data,samples,fundamental,sector",D:\root\stock_realtime_v021_full\saved_data\002270_pipeline_out,1,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,context_config_sector
002311.SZ,002311,农产品加工,,"fundamental,sector","update_data,samples,fundamental,sector",D:\root\stock_realtime_v021_full\saved_data\002311_pipeline_out,1,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_v1,context_config_sector
002714.SZ,002714,养殖业,,"fundamental,sector","update_data,samples,fundamental,sector",D:\root\stock_realtime_v021_full\saved_data\002714_pipeline_out,1,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_v1,context_config_sector
600096.SH,600096,农化制品,,"fundamental,sector","update_data,samples,fundamental,sector",D:\root\stock_realtime_v021_full\saved_data\600096_pipeline_out,3,"nextday_all_days_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1,nextday_all_days_hit80_xgb_d3_400_reversal_fundamental_regime_v1,nextday_vwap_low_close_profit_xgb_d4_reversal_fundamental_regime_sector_v1",context_config_sector
600276.SH,600276,化学制药,,"fundamental,sector","update_data,samples,fundamental,sector",D:\root\stock_realtime_v021_full\saved_data\600276_pipeline_out,1,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,context_config_sector
600312.SH,600312,电网设备,,"fundamental,sector","update_data,samples,fundamental,sector",D:\root\stock_realtime_v021_full\saved_data\600312_pipeline_out,3,"nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_v1,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_v1",context_config_sector
600487.SH,600487,通信设备,optical_cable_grid,"fundamental,sector","update_data,samples,fundamental,sector,external_optical_cable_grid",D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\600487_pipeline_out,1,nextday_vwap_low_close_profit_extra_trees_600_d3_reversal_fundamental_regime_sector_external_optical_cable_grid_safe_20260515,"pipeline_summary,context_config_sector,external=optical_cable_grid"
600522.SH,600522,通信设备,optical_cable_grid,"fundamental,sector","update_data,samples,fundamental,sector,external_optical_cable_grid",D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\600522_pipeline_out,1,nextday_all_days_close_profit_random_forest_600_d4_reversal_fundamental_regime_sector_external_optical_cable_grid_safe_20260515,"pipeline_summary,context_config_sector,external=optical_cable_grid"
601899.SH,601899,贵金属,,"fundamental,sector","update_data,samples,fundamental,sector",D:\root\stock_realtime_v021_full\saved_data\601899_pipeline_out,2,"nextday_all_days_close_profit_xgb_d3_400_reversal_fundamental_regime_sector_v1,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1",context_config_sector
601985.SH,601985,电力,,"fundamental,sector","update_data,samples,fundamental,sector",D:\root\stock_realtime_v021_full\saved_data\601985_pipeline_out,1,nextday_all_days_close_profit_extra_trees_reversal_fundamental_regime_v1,context_config_sector
603308.SH,603308,通用设备,aero_nuclear_equipment,"fundamental,sector","update_data,samples,fundamental,sector,external_aero_nuclear_equipment",D:\root\stock_realtime_v021_full\saved_data\603308_pipeline_out,3,"nextday_all_days_close_profit_extra_trees_600_external_ane_live_board_v2_external_full_selected_20260516,nextday_all_days_close_profit_xgb_d3_600_reversal_fundamental_regime_external_ane_live_board_v2_external_full_selected_20260516,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_external_aero_nuclear_v1","context_config_sector,external=aero_nuclear_equipment"
