kind,stock_code,artifact_name,context_group,symbol
sector,002270.SZ,nextday_all_days_close_profit_extra_trees_all_no_ak_v1,sector,电网设备
sector,002311.SZ,nextday_vwap_low_close_profit_xgb_d3_600_reversal_fundamental_regime_sector_hog_v1,sector,农产品加工
sector,002714.SZ,nextday_vwap_low_close_profit_random_forest_reversal_fundamental_regime_sector_muyuan_hk_v1,sector,养殖业
sector,600276.SH,nextday_all_days_hit80_extra_trees_reversal_fundamental_regime_sector_v1,sector,化学制药
sector,601899.SH,nextday_all_days_close_profit_xgb_d3_reversal_fundamental_regime_sector_v1,sector,贵金属
sector,601899.SH,nextday_all_days_close_profit_xgb_d3_reversal_fundamental_regime_sector_v1,sector,工业金属
sector,601899.SH,nextday_all_days_close_profit_xgb_d3_reversal_fundamental_regime_sector_v1,sector,小金属
sector,601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,sector,贵金属
sector,601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,sector,工业金属
sector,601899.SH,nextday_vwap_low_close_profit_extra_trees_reversal_fundamental_regime_sector_zijin_v1,sector,小金属
