stock_code,sample_path,feature_set,feature,action,reason,rows,non_null_count,missing_count,missing_rate,max_missing
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,ret_prevclose_to_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,ret_open_to_1455,kept,ok,1542,1542,0,0.0,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,gap_open,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,vwap_dev_1455,kept,ok,1542,1542,0,0.0,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,range_1455,kept,ok,1542,1542,0,0.0,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,pos_in_range_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,high_ret_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,low_ret_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,amount_ratio_1455,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,volume_ratio_1455,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,ret_1d,kept,ok,1542,1540,2,0.0012970168612191958,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,ret_2d,kept,ok,1542,1539,3,0.0019455252918287938,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,ret_3d,kept,ok,1542,1538,4,0.0025940337224383916,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,ret_5d,kept,ok,1542,1536,6,0.0038910505836575876,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,ret_10d,kept,ok,1542,1531,11,0.007133592736705577,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,ret_20d,kept,ok,1542,1521,21,0.013618677042801557,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_ret_mean_5,kept,ok,1542,1538,4,0.0025940337224383916,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_ret_mean_10,kept,ok,1542,1536,6,0.0038910505836575876,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_ret_mean_20,kept,ok,1542,1531,11,0.007133592736705577,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_ret_std_5,kept,ok,1542,1538,4,0.0025940337224383916,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_ret_std_10,kept,ok,1542,1536,6,0.0038910505836575876,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_ret_std_20,kept,ok,1542,1531,11,0.007133592736705577,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_ret_z_20,kept,ok,1542,1531,11,0.007133592736705577,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_range_mean_10,kept,ok,1542,1537,5,0.00324254215304799,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_volume_z_20,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,A,rolling_amount_z_20,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,ret_prevclose_to_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,ret_open_to_1455,kept,ok,1542,1542,0,0.0,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,gap_open,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,vwap_dev_1455,kept,ok,1542,1542,0,0.0,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,range_1455,kept,ok,1542,1542,0,0.0,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,pos_in_range_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,high_ret_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,low_ret_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,amount_ratio_1455,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,volume_ratio_1455,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,ret_1d,kept,ok,1542,1540,2,0.0012970168612191958,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,ret_2d,kept,ok,1542,1539,3,0.0019455252918287938,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,ret_3d,kept,ok,1542,1538,4,0.0025940337224383916,0.7
