,median
open,8.50684824
high,8.756105595000001
low,8.24307
close,8.465632889999998
volume,10902881.0
event_flag,0.0
no_price_limit_flag,0.0
ema20,8.367714588051854
ema60,7.781115856391071
atr14,0.33779355428571395
atrp14,0.03458720961049565
rsi14,53.07261484558026
rvol20,0.8930663006732137
close_pos,0.5064868052477279
b10_prev,9.196994324999999
r5,9.0880933
resistance,9.0880933
obv,1792483331.0
obv_ma20,1786891581.475
obv_std20,19473517.650250897
bench_close,4073.6961
ret5,0.0038265586226584
rs5,0.00172153559193795
x1_price_vs_ema20,0.2747138114585556
x2_ema20_vs_ema60,0.6951931671814493
x3_break_b10,-1.488468340348966
x4_close_pos,0.5064868052477279
x5_log_rvol20,-0.1130944823428688
x6_obv_z,0.3983681265860773
x7_rs5,0.00172153559193795
x8_atrp_rank,0.4916666666666666
z_x1_price_vs_ema20,37597658629.242096
z_x2_ema20_vs_ema60,0.00021079216263060002
z_x3_break_b10,0.044026558581043096
z_x4_close_pos,0.03226593558137625
z_x5_log_rvol20,0.04785208499185375
z_x6_obv_z,-0.00655127080865135
z_x7_rs5,-0.07688826402146225
z_x8_atrp_rank,0.08009692744693264
p_rev,1.0
cv_best_l2,0.01
cv_logloss,9.083008480857814
cv_folds_used,1.0
train_n,500.0
coef_intercept,-1.3101000000000018
coef_z_x1_price_vs_ema20,-1234005160.4704514
coef_z_x2_ema20_vs_ema60,0.0001329097652494
coef_z_x3_break_b10,0.1136281516440023
coef_z_x4_close_pos,-0.0472769885574124
coef_z_x5_log_rvol20,0.2830129508763001
coef_z_x6_obv_z,-0.0008025105748394
coef_z_x7_rs5,-0.0042723867437929
coef_z_x8_atrp_rank,0.3095332312487671
atrp14_med60,0.0339843786575235
price_limit_ratio,0.1
prev_close,8.43266061
overnight_ret,0.0
intraday_ret,0.0008177845060929334
close_to_vwap,-0.12614291456672022
open_to_vwap,-0.12309838909406617
high_to_close,0.014380700144589031
close_to_low,0.013778397533833031
high_to_open,0.014139835905334519
low_to_open,-0.013232862053310757
range_pct,0.03289473684210531
close_range_pos,0.5091029460443567
upper_shadow_pct,0.00657435707449594
lower_shadow_pct,0.0068925927392217146
volume_shock20,-0.11624396369549661
volume_z20,-0.30551990322587574
daily_vwap_volume_shock20,-0.11679429335959929
daily_vwap_volume_z20,-0.30551990322587574
daily_vwap_pv_shock20,-0.12101124612959774
daily_vwap_pv_z20,-0.29529667579872376
range_pct_shock20,-0.09300857144425373
range_pct_z20,-0.2202683870817446
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.032660145209235464
overnight_intraday_reversal,0.0
overnight_plus_intraday,3.3729087964839977e-06
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,0.0
first_60m_ret,0.0
morning_ret,0.0
afternoon_ret,0.0
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,9.981612145697285
afternoon_vwap,9.975680692968215
last_30m_vwap,9.97254001598872
first_60m_volume_share,0.4050217652449246
last_30m_volume_share,0.12972665560812519
morning_vwap_to_close,-0.12322385773721489
afternoon_vwap_to_close,-0.12833974742240423
last_30m_vwap_to_close,-0.12892106408388798
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,22.984334
pbMRQ,2.5834505
psTTM,5.023895
pcfNcfTTM,14.2040655
profit_roeAvg,0.093157
profit_npMargin,0.294534
profit_gpMargin,0.50725
profit_netProfit,289101020.95
profit_epsTTM,0.513894
profit_totalShare,896225431.0
profit_liqaShare,759224768.0
operation_NRTurnRatio,0.888148
operation_NRTurnDays,202.668929
operation_INVTurnRatio,1.040645
operation_INVTurnDays,182.666937
operation_CATurnRatio,0.362171
operation_AssetTurnRatio,0.226609
growth_YOYEquity,0.026681
growth_YOYAsset,0.014528
growth_YOYNI,0.42636
growth_YOYEPSBasic,0.366736
growth_YOYPNI,0.367057
solvency_currentRatio,4.087104
solvency_quickRatio,3.505058
solvency_cashRatio,1.187617
solvency_YOYLiability,-0.010661
solvency_liabilityToAsset,0.248148
solvency_assetToEquity,1.41756
cashflow_CAToAsset,0.660269
cashflow_NCAToAsset,0.339731
cashflow_tangibleAssetToAsset,0.625492
cashflow_CFOToOR,0.265566
cashflow_CFOToNP,1.024092
cashflow_CFOToGr,0.265566
dupont_dupontROE,0.093157
dupont_dupontAssetStoEquity,1.385573
dupont_dupontAssetTurn,0.226609
dupont_dupontPnitoni,0.986257
dupont_dupontNitogr,0.294534
dupont_dupontTaxBurden,0.847826
dupont_dupontIntburden,0.970318
dupont_dupontEbittogr,0.347289
fund_days_since_effective,57.0
peTTM_rank252,0.5793650793650794
pbMRQ_rank252,0.7777777777777778
psTTM_rank252,0.7698412698412699
pcfNcfTTM_rank252,0.5833333333333334
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.00041720941694175
bench_ret20,-0.0021874166474835643
bench_ret60,-0.0026134357191991975
bench_ma20_gap,-0.0012186384501878256
bench_ma60_gap,-7.621981004868328e-05
bench_vol20,0.00967829159886486
stock_ret20,0.024915753714340183
stock_ret60,0.09695982756170352
stock_ma20_gap,0.012948475607828747
stock_ma60_gap,0.041689075760279914
stock_vol20,0.02261733127630114
regime_market_ok,1.0
regime_market_strict,1.0
sector_open,3583.8735
sector_high,3619.4885
sector_low,3543.0325000000003
sector_close,3586.656
sector_volume,1438142050.0
sector_amount,14620258500.0
sector_ret1,0.0015011165780061
sector_ret5,0.0050688488414611
sector_ret20,0.0153254220265028
sector_ret60,0.04891999926401
sector_ma20_gap,0.0101081058593619
sector_ma60_gap,0.02407348679759875
sector_vol20,0.0158892818310753
sector_range_pct,0.01995259998829465
sector_range_z20,-0.26100065855289556
sector_volume_shock20,-0.013862511081321551
sector_volume_z20,-0.07462309914990084
sector_amount_shock20,-0.018626746094286002
sector_amount_z20,-0.09554823655384655
sector_vs_bench_ret5,0.0035066128695038
stock_vs_sector_ret1,-0.0012749843193844
stock_vs_sector_ret5,-0.0014877008137554
stock_vs_sector_ret20,0.00699867531568445
