,median
prev_close,55.1227775
overnight_ret,-0.00043020004301996817
intraday_ret,-0.0002927445948688323
close_to_vwap,-0.03713983783000602
open_to_vwap,-0.03528335936252924
high_to_close,0.01333333333333342
close_to_low,0.012745545547961923
high_to_open,0.012677188103793813
low_to_open,-0.012536300115902343
range_pct,0.02966593257993355
close_range_pos,0.48587288924345085
upper_shadow_pct,0.007518796992481147
lower_shadow_pct,0.007028360200181827
volume_shock20,-0.08137449363008104
volume_z20,-0.21423530810327684
daily_vwap_volume_shock20,-0.08105706103585297
daily_vwap_volume_z20,-0.21440121636063048
daily_vwap_pv_shock20,-0.08132599875480029
daily_vwap_pv_z20,-0.20885341252582434
range_pct_shock20,-0.09284051119325937
range_pct_z20,-0.22737595534569938
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.07172836942183802
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0012362789469813062
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,-0.0005428714793382361
first_60m_ret,-0.0006672231496939185
morning_ret,-0.0005631482388833708
afternoon_ret,0.00018807307659129968
last_30m_ret,0.00016705737887923178
last_60m_ret,6.31392852632473e-05
morning_vwap,56.4762066875077
afternoon_vwap,56.5519351692899
last_30m_vwap,56.48298557865359
first_60m_volume_share,0.3306710893114648
last_30m_volume_share,0.132113303297298
morning_vwap_to_close,-0.03667206921771682
afternoon_vwap_to_close,-0.03848191938762907
last_30m_vwap_to_close,-0.040058195843445166
morning_afternoon_reversal,2.0239597395296533e-06
first60_last30_reversal,6.480597677423476e-07
peTTM,33.7743805
pbMRQ,5.909715500000001
psTTM,0.962797
pcfNcfTTM,-34.258050499999996
profit_roeAvg,0.121256
profit_npMargin,0.0423
profit_gpMargin,0.111326
profit_netProfit,2227923806.52
profit_epsTTM,1.761561
profit_totalShare,1661210751.0
profit_liqaShare,1658346564.0
operation_NRTurnRatio,23.528235
operation_NRTurnDays,9.5955
operation_INVTurnRatio,6.609481
operation_INVTurnDays,39.043612
operation_CATurnRatio,3.467345
operation_AssetTurnRatio,1.739525
growth_YOYEquity,0.1808
growth_YOYAsset,0.097738
growth_YOYNI,0.160021
growth_YOYEPSBasic,0.218182
growth_YOYPNI,0.203424
solvency_currentRatio,1.181091
solvency_quickRatio,0.631961
solvency_cashRatio,0.25841
solvency_YOYLiability,0.076744
solvency_liabilityToAsset,0.552884
solvency_assetToEquity,2.252212
cashflow_CAToAsset,0.505007
cashflow_NCAToAsset,0.494993
cashflow_tangibleAssetToAsset,0.327987
cashflow_ebitToInterest,11.129215
cashflow_CFOToOR,0.036354
cashflow_CFOToNP,1.144577
cashflow_CFOToGr,0.036354
dupont_dupontROE,0.121256
dupont_dupontAssetStoEquity,2.318215
dupont_dupontAssetTurn,1.739525
dupont_dupontPnitoni,0.937192
dupont_dupontNitogr,0.0423
dupont_dupontTaxBurden,0.836267
dupont_dupontIntburden,0.923238
dupont_dupontEbittogr,0.050663
fund_days_since_effective,63.0
peTTM_rank252,0.4246031746031746
pbMRQ_rank252,0.2738095238095238
psTTM_rank252,0.2658730158730158
pcfNcfTTM_rank252,0.5
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_ebitToInterest_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.00039413175766730003
bench_ret20,-0.0018734452269218438
bench_ret60,-0.002215141001919718
bench_ma20_gap,-0.0011000345874539463
bench_ma60_gap,-7.621981004868328e-05
bench_vol20,0.009695816909418137
stock_ret20,0.0009926143294656242
stock_ret60,0.015352074226208101
stock_ma20_gap,0.00039211479373213454
stock_ma60_gap,0.005535784839360014
stock_vol20,0.01876394106740055
regime_market_ok,1.0
regime_market_strict,1.0
sector_open,3739.699
sector_high,3774.023
sector_low,3702.5825
sector_close,3742.6345
sector_volume,615521430.0
sector_amount,6310522800.0
sector_ret1,0.0005819760739849
sector_ret5,0.0016103432665601
sector_ret20,0.0050584733536893495
sector_ret60,0.007484991089407
sector_ma20_gap,0.0031786832647067997
sector_ma60_gap,0.00487150282881715
sector_vol20,0.0128506220039348
