,median
prev_close,55.1725479
overnight_ret,-0.0004458314757023185
intraday_ret,-0.0006809171951527859
close_to_vwap,-0.03770803790484978
open_to_vwap,-0.03558301084527293
high_to_close,0.01358027405668405
close_to_low,0.012517483064656498
high_to_open,0.012524074873713986
low_to_open,-0.012603957174501745
range_pct,0.02950216234349079
close_range_pos,0.4788564621798696
upper_shadow_pct,0.007608262178754321
lower_shadow_pct,0.007001699995186295
volume_shock20,-0.08661323959823469
volume_z20,-0.22793425134704204
daily_vwap_volume_shock20,-0.08622584979578879
daily_vwap_volume_z20,-0.2226334469311561
daily_vwap_pv_shock20,-0.08640017150075296
daily_vwap_pv_z20,-0.23269773805619187
range_pct_shock20,-0.09917893045170567
range_pct_z20,-0.25116561697418976
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.08738095656690874
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0015847166759503928
down_day_below_vwap,1.0
bar_count,48.0
first_30m_ret,-0.0005428714793382361
first_60m_ret,-0.0008015502670691843
morning_ret,-0.0007216568231137033
afternoon_ret,0.0
last_30m_ret,0.0001472078328856874
last_60m_ret,0.0
morning_vwap,56.700765366182694
afternoon_vwap,56.68229375097094
last_30m_vwap,56.57867172434911
first_60m_volume_share,0.3304718703978358
last_30m_volume_share,0.132113303297298
morning_vwap_to_close,-0.037077919309207175
afternoon_vwap_to_close,-0.03885089943814862
last_30m_vwap_to_close,-0.04034083324283305
morning_afternoon_reversal,2.258901467659002e-06
first60_last30_reversal,6.72121714812721e-07
peTTM,34.6999885
pbMRQ,5.966675499999999
psTTM,0.9764145
pcfNcfTTM,-34.628656
profit_roeAvg,0.121256
profit_npMargin,0.0423
profit_gpMargin,0.111326
profit_netProfit,2227923806.52
profit_epsTTM,1.761561
profit_totalShare,1661210751.0
profit_liqaShare,1658346564.0
operation_NRTurnRatio,23.528235
operation_NRTurnDays,9.5955
operation_INVTurnRatio,6.609481
operation_INVTurnDays,39.043612
operation_CATurnRatio,3.467345
operation_AssetTurnRatio,1.739525
growth_YOYEquity,0.1808
growth_YOYAsset,0.110593
growth_YOYNI,0.160021
growth_YOYEPSBasic,0.218182
growth_YOYPNI,0.203424
solvency_currentRatio,1.181091
solvency_quickRatio,0.631961
solvency_cashRatio,0.2536835
solvency_YOYLiability,0.076744
solvency_liabilityToAsset,0.552884
solvency_assetToEquity,2.252212
cashflow_CAToAsset,0.505714
cashflow_NCAToAsset,0.494286
cashflow_tangibleAssetToAsset,0.327987
cashflow_ebitToInterest,11.129215
cashflow_CFOToOR,0.036354
cashflow_CFOToNP,1.144577
cashflow_CFOToGr,0.036354
dupont_dupontROE,0.121256
dupont_dupontAssetStoEquity,2.318215
dupont_dupontAssetTurn,1.739525
dupont_dupontPnitoni,0.935541
dupont_dupontNitogr,0.0423
dupont_dupontTaxBurden,0.836267
dupont_dupontIntburden,0.923238
dupont_dupontEbittogr,0.050663
fund_days_since_effective,63.0
peTTM_rank252,0.4246031746031746
pbMRQ_rank252,0.2738095238095238
psTTM_rank252,0.2619047619047619
pcfNcfTTM_rank252,0.496031746031746
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_ebitToInterest_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.00012686599723815
bench_ret20,-0.0024537556685749196
bench_ret60,-0.0032970664112771386
bench_ma20_gap,-0.0013415447671382141
bench_ma60_gap,-0.0007228799174716083
bench_vol20,0.009695407080844317
stock_ret20,0.001200879536233268
stock_ret60,0.01581385832499771
stock_ma20_gap,0.0005588936865187355
stock_ma60_gap,0.005926871635593356
stock_vol20,0.018767315311699267
regime_market_ok,1.0
regime_market_strict,1.0
sector_open,3729.223
sector_high,3766.621
sector_low,3697.219
sector_close,3735.0195
sector_volume,612315005.0
sector_amount,6304390900.0
sector_ret1,0.0005285030783683
sector_ret5,0.0015454801142187
sector_ret20,0.0053141380728387
sector_ret60,0.007484991089407
sector_ma20_gap,0.0031718633695785
sector_ma60_gap,0.0050655489734386504
sector_vol20,0.0129620498010855
sector_range_pct,0.016206431131036453
sector_range_z20,-0.24291559381590871
sector_volume_shock20,-0.052324581685235946
sector_volume_z20,-0.24986438962372198
sector_amount_shock20,-0.047236562480741304
sector_amount_z20,-0.22306399590857023
sector_vs_bench_ret5,-7.825214915705044e-05
stock_vs_sector_ret1,-0.0015286899812561
stock_vs_sector_ret5,-0.0036108847811117
stock_vs_sector_ret20,-0.0085908553425015
