,median
prev_close,55.16372664
overnight_ret,-0.00044150110375273943
intraday_ret,-0.0006869748189986535
close_to_vwap,-0.03769790627289171
open_to_vwap,-0.0355249970541654
high_to_close,0.01358962245553419
close_to_low,0.012516418215795522
high_to_open,0.01250498642805098
low_to_open,-0.01262347548041115
range_pct,0.029542756297128214
close_range_pos,0.4781010230179035
upper_shadow_pct,0.007608262178754321
lower_shadow_pct,0.0070122999417977505
volume_shock20,-0.08606945045673986
volume_z20,-0.2236627033571621
daily_vwap_volume_shock20,-0.08606978711439489
daily_vwap_volume_z20,-0.21985321387485512
daily_vwap_pv_shock20,-0.08492652869036105
daily_vwap_pv_z20,-0.23174021613138254
range_pct_shock20,-0.09899776636128482
range_pct_z20,-0.24875718945254272
intraday_ret_shock20,-0.9887729501109608
intraday_ret_z20,-0.08856412286241537
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0015873015873015817
down_day_below_vwap,1.0
bar_count,48.0
first_30m_ret,-0.0005876316277063087
first_60m_ret,-0.0008061454210305796
morning_ret,-0.0007216568231137033
afternoon_ret,0.0
last_30m_ret,0.00015538689031247
last_60m_ret,0.0
morning_vwap,56.67064569194484
afternoon_vwap,56.679902944450575
last_30m_vwap,56.53467836820778
first_60m_volume_share,0.3304885180179862
last_30m_volume_share,0.132113303297298
morning_vwap_to_close,-0.037035630907752415
afternoon_vwap_to_close,-0.038847624278941506
last_30m_vwap_to_close,-0.04032492850965813
morning_afternoon_reversal,2.4011177232679155e-06
first60_last30_reversal,6.920526860571308e-07
peTTM,34.628215
pbMRQ,5.9615975
psTTM,0.974764
pcfNcfTTM,-34.4822225
profit_roeAvg,0.121256
profit_npMargin,0.0423
profit_gpMargin,0.111326
profit_netProfit,2227923806.52
profit_epsTTM,1.761561
profit_totalShare,1661210751.0
profit_liqaShare,1658346564.0
operation_NRTurnRatio,23.528235
operation_NRTurnDays,9.5955
operation_INVTurnRatio,6.609481
operation_INVTurnDays,39.043612
operation_CATurnRatio,3.467345
operation_AssetTurnRatio,1.739525
growth_YOYEquity,0.1808
growth_YOYAsset,0.110593
growth_YOYNI,0.160021
growth_YOYEPSBasic,0.218182
growth_YOYPNI,0.203424
solvency_currentRatio,1.181091
solvency_quickRatio,0.631961
solvency_cashRatio,0.25841
solvency_YOYLiability,0.076744
solvency_liabilityToAsset,0.552884
solvency_assetToEquity,2.252212
cashflow_CAToAsset,0.505714
cashflow_NCAToAsset,0.494286
cashflow_tangibleAssetToAsset,0.327987
cashflow_ebitToInterest,11.129215
cashflow_CFOToOR,0.036354
cashflow_CFOToNP,1.144577
cashflow_CFOToGr,0.036354
dupont_dupontROE,0.121256
dupont_dupontAssetStoEquity,2.318215
dupont_dupontAssetTurn,1.739525
dupont_dupontPnitoni,0.935541
dupont_dupontNitogr,0.0423
dupont_dupontTaxBurden,0.836267
dupont_dupontIntburden,0.923238
dupont_dupontEbittogr,0.050663
fund_days_since_effective,62.5
peTTM_rank252,0.4265873015873015
pbMRQ_rank252,0.2738095238095238
psTTM_rank252,0.2619047619047619
pcfNcfTTM_rank252,0.498015873015873
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
