,median
prev_close,45.24484316
overnight_ret,0.0
intraday_ret,-0.0007104130208629988
close_to_vwap,-0.06574454437917393
open_to_vwap,-0.06422021285764246
high_to_close,0.013609808033693827
close_to_low,0.011697383666100847
high_to_open,0.011329846620588113
low_to_open,-0.01212277158893793
range_pct,0.028745071441571013
close_range_pos,0.46372180451127387
upper_shadow_pct,0.006864581038407813
lower_shadow_pct,0.006136292327371895
volume_shock20,-0.10225602198001477
volume_z20,-0.26078976002956267
daily_vwap_volume_shock20,-0.10205611782216645
daily_vwap_volume_z20,-0.2607883142087969
daily_vwap_pv_shock20,-0.10931287697110553
daily_vwap_pv_z20,-0.27781855541688855
range_pct_shock20,-0.09559863857508372
range_pct_z20,-0.23843365630400687
intraday_ret_shock20,-0.8916725037012598
intraday_ret_z20,-0.061640520100895206
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0008286543790384515
down_day_below_vwap,1.0
bar_count,48.0
first_30m_ret,-0.0010987685770161293
first_60m_ret,-0.0009820799938272673
morning_ret,-0.0009021203949249323
afternoon_ret,-0.0004890594547767857
last_30m_ret,0.00022215017085058797
last_60m_ret,0.0003371991278530162
morning_vwap,49.222878766463886
afternoon_vwap,49.09689971135141
last_30m_vwap,49.134066549293976
first_60m_volume_share,0.42062603787418784
last_30m_volume_share,0.12018538844618742
morning_vwap_to_close,-0.06624219693441685
afternoon_vwap_to_close,-0.06632821948705037
last_30m_vwap_to_close,-0.06684979070511265
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,12.7290095
pbMRQ,4.915766
psTTM,2.6143549999999998
pcfNcfTTM,24.8848855
profit_roeAvg,0.089947
profit_npMargin,0.123958
profit_gpMargin,0.181719
profit_netProfit,4619297047.43
profit_epsTTM,2.881946
profit_totalShare,5322167365.0
profit_liqaShare,3601113250.0
operation_NRTurnRatio,413.128306
operation_NRTurnDays,0.65355
operation_INVTurnRatio,1.389746
operation_INVTurnDays,140.617907
operation_CATurnRatio,1.314765
operation_AssetTurnRatio,0.385713
growth_YOYEquity,0.247952
growth_YOYAsset,0.093388
growth_YOYNI,0.771075
growth_YOYEPSBasic,0.718182
growth_YOYPNI,0.685406
solvency_currentRatio,0.717374
solvency_quickRatio,0.246283
solvency_cashRatio,0.205477
solvency_YOYLiability,0.163329
solvency_liabilityToAsset,0.530914
solvency_assetToEquity,2.402847
cashflow_CAToAsset,0.325391
