,median
prev_close,18.27449826
overnight_ret,-0.00045045045045033483
intraday_ret,0.0010709780988419348
close_to_vwap,-0.13504617786389317
open_to_vwap,-0.13244425197813298
high_to_close,0.01428864186911638
close_to_low,0.013344462993878592
high_to_open,0.01438756695259269
low_to_open,-0.012443227620376973
range_pct,0.03237251096154381
close_range_pos,0.4855755894590852
upper_shadow_pct,0.007664677859829383
lower_shadow_pct,0.0062334860894588395
volume_shock20,-0.08120488819927596
volume_z20,-0.23218991757339374
daily_vwap_volume_shock20,-0.08277089872608656
daily_vwap_volume_z20,-0.24227369558978862
daily_vwap_pv_shock20,-0.09253049518390422
daily_vwap_pv_z20,-0.23889535675920884
range_pct_shock20,-0.078403411486627
range_pct_z20,-0.19578847454259185
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.046021327515619305
overnight_intraday_reversal,0.0
overnight_plus_intraday,3.1270521280157837e-06
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,0.0
first_60m_ret,0.0
morning_ret,0.00040819325501462167
afternoon_ret,-0.0005213787014353155
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,20.679037332376904
afternoon_vwap,20.635721493018274
last_30m_vwap,20.642731079598782
first_60m_volume_share,0.42325516744349745
last_30m_volume_share,0.12069923284988664
morning_vwap_to_close,-0.12497872290792528
afternoon_vwap_to_close,-0.1459966317307861
last_30m_vwap_to_close,-0.1502880006805531
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,9.560907
pbMRQ,1.956864
psTTM,0.5616785
pcfNcfTTM,12.2626825
profit_roeAvg,0.148574
profit_npMargin,0.107058
profit_gpMargin,0.169871
profit_netProfit,1903617301.03
profit_epsTTM,2.554421
profit_totalShare,1834328747.0
profit_liqaShare,1714558117.0
operation_NRTurnRatio,11.753451
operation_NRTurnDays,14.944197
operation_INVTurnRatio,4.072882
operation_INVTurnDays,49.577672
operation_CATurnRatio,1.470104
operation_AssetTurnRatio,0.642098
growth_YOYEquity,0.18388
growth_YOYAsset,-0.028085
growth_YOYNI,0.090624
growth_YOYEPSBasic,0.071109
growth_YOYPNI,0.068905
solvency_currentRatio,0.909975
solvency_quickRatio,0.589587
solvency_cashRatio,0.329253
solvency_YOYLiability,-0.138709
solvency_liabilityToAsset,0.697529
solvency_assetToEquity,3.306102
cashflow_CAToAsset,0.445262
cashflow_NCAToAsset,0.554738
cashflow_tangibleAssetToAsset,0.170391
cashflow_ebitToInterest,10.348034
cashflow_CFOToOR,0.101209
cashflow_CFOToNP,1.471644
cashflow_CFOToGr,0.101209
dupont_dupontROE,0.148574
dupont_dupontAssetStoEquity,4.428154
dupont_dupontAssetTurn,0.642098
dupont_dupontPnitoni,0.847532
dupont_dupontNitogr,0.107058
dupont_dupontTaxBurden,0.847424
dupont_dupontIntburden,0.90539
dupont_dupontEbittogr,0.134102
fund_days_since_effective,56.0
peTTM_rank252,0.398989898989899
pbMRQ_rank252,0.623015873015873
psTTM_rank252,0.8253012048192772
pcfNcfTTM_rank252,0.5734126984126984
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_ebitToInterest_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.00039413175766730003
bench_ret20,-0.0018734452269218438
bench_ret60,-0.002215141001919718
bench_ma20_gap,-0.0011000345874539463
bench_ma60_gap,-7.621981004868328e-05
bench_vol20,0.009695816909418137
stock_ret20,0.017091417025570932
stock_ret60,0.05725436552852459
stock_ma20_gap,0.006332270556929309
stock_ma60_gap,0.027731674089379044
stock_vol20,0.02228709763392541
regime_market_ok,1.0
regime_market_strict,1.0
