,median
prev_close,17.523878675
overnight_ret,-0.0004702575635948114
intraday_ret,0.0010101010101011276
close_to_vwap,-0.1433438047974116
open_to_vwap,-0.14002047122844563
high_to_close,0.014184397163120588
close_to_low,0.012999518536350507
high_to_open,0.013976555455365025
low_to_open,-0.01227573182247399
range_pct,0.03165630299604305
close_range_pos,0.485436893203885
upper_shadow_pct,0.007629704984740693
lower_shadow_pct,0.006117647058823561
volume_shock20,-0.08967379047901203
volume_z20,-0.24753592796449317
daily_vwap_volume_shock20,-0.08971076864353067
daily_vwap_volume_z20,-0.2442691833235711
daily_vwap_pv_shock20,-0.09630557476043367
daily_vwap_pv_z20,-0.2483331807654452
range_pct_shock20,-0.08068067634464937
range_pct_z20,-0.19987609339133072
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.04860552047168006
overnight_intraday_reversal,0.0
overnight_plus_intraday,9.699001196628032e-08
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,0.0
first_60m_ret,0.0
morning_ret,0.0
afternoon_ret,-0.0007604562737643095
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,19.85715777195571
afternoon_vwap,19.83771278520856
last_30m_vwap,19.89272604274909
first_60m_volume_share,0.4183222623272367
last_30m_volume_share,0.12235164282826518
morning_vwap_to_close,-0.13755300929233338
afternoon_vwap_to_close,-0.149071930533069
last_30m_vwap_to_close,-0.1517461568212789
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,8.880593
pbMRQ,1.915846
psTTM,0.543698
pcfNcfTTM,10.164551
profit_roeAvg,0.147147
profit_npMargin,0.094643
profit_gpMargin,0.163418
profit_netProfit,1903617301.03
profit_epsTTM,2.505156
profit_totalShare,1834328747.0
profit_liqaShare,1714558117.0
operation_NRTurnRatio,11.753451
operation_NRTurnDays,17.641591
operation_INVTurnRatio,3.982451
operation_INVTurnDays,49.636967
operation_CATurnRatio,1.470104
operation_AssetTurnRatio,0.622172
growth_YOYEquity,0.19069
growth_YOYAsset,-0.048019
growth_YOYNI,0.100013
growth_YOYEPSBasic,0.177474
growth_YOYPNI,0.179285
solvency_currentRatio,0.909975
solvency_quickRatio,0.576109
solvency_cashRatio,0.329253
solvency_YOYLiability,-0.142877
solvency_liabilityToAsset,0.697529
solvency_assetToEquity,3.306102
cashflow_CAToAsset,0.44928
cashflow_NCAToAsset,0.55072
cashflow_tangibleAssetToAsset,0.170391
cashflow_ebitToInterest,10.348034
cashflow_CFOToOR,0.097137
cashflow_CFOToNP,1.471644
cashflow_CFOToGr,0.097137
dupont_dupontROE,0.147147
dupont_dupontAssetStoEquity,4.428154
dupont_dupontAssetTurn,0.622172
dupont_dupontPnitoni,0.846622
dupont_dupontNitogr,0.094643
dupont_dupontTaxBurden,0.847424
dupont_dupontIntburden,0.900767
dupont_dupontEbittogr,0.122213
fund_days_since_effective,57.0
peTTM_rank252,0.33630952380952384
pbMRQ_rank252,0.5436507936507936
psTTM_rank252,0.7936507936507936
pcfNcfTTM_rank252,0.5575396825396826
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_ebitToInterest_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,8.23206819362543e-05
bench_ret20,-0.002337461910914773
bench_ret60,-0.007755250572269223
bench_ma20_gap,-0.0017622667799357394
bench_ma60_gap,-0.0016487535834994738
bench_vol20,0.00973720077343035
stock_ret20,0.01374822727919045
stock_ret60,0.04609767229575534
stock_ma20_gap,0.005559042410113957
stock_ma60_gap,0.022740266967532508
stock_vol20,0.021774629696039407
regime_market_ok,1.0
regime_market_strict,1.0
sector_open,3693.35
sector_high,3731.971
sector_low,3657.234
sector_close,3695.325
sector_volume,831818350.0
sector_amount,7733977000.0
sector_ret1,0.0013230435446068
sector_ret5,0.0026790786805838
sector_ret20,0.0128165390538756
sector_ret60,0.0331453422190655
sector_ma20_gap,0.0079389662385691
sector_ma60_gap,0.017193555490254
sector_vol20,0.01304751590431385
sector_range_pct,0.0176195275768498
sector_range_z20,-0.2475222551506221
sector_volume_shock20,-0.0291655073342412
sector_volume_z20,-0.1560809172883348
sector_amount_shock20,-0.0307793566462475
sector_amount_z20,-0.1464769285450051
sector_vs_bench_ret5,0.00210162113773625
stock_vs_sector_ret1,-0.0012663511195665999
stock_vs_sector_ret5,-0.00104353551121925
stock_vs_sector_ret20,0.0001789048418183
