,median
prev_close,47.371315515
overnight_ret,0.0
intraday_ret,-0.0009233610341643494
close_to_vwap,-0.012912488862515059
open_to_vwap,-0.014342716547745438
high_to_close,0.013092938398797882
close_to_low,0.010733044073989673
high_to_open,0.010946196660482244
low_to_open,-0.011114277571957931
range_pct,0.026593406593406588
close_range_pos,0.45643153526971086
upper_shadow_pct,0.006598326852833791
lower_shadow_pct,0.005594405594405494
volume_shock20,-0.09091696854129727
volume_z20,-0.24427206792565523
daily_vwap_volume_shock20,-0.0928464317478207
daily_vwap_volume_z20,-0.24076497266803995
daily_vwap_pv_shock20,-0.0956239404541448
daily_vwap_pv_z20,-0.2528617446522361
range_pct_shock20,-0.0875337672315909
range_pct_z20,-0.2271516805605246
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.06172728716532993
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0006592579134123144
down_day_below_vwap,1.0
bar_count,48.0
first_30m_ret,-0.0009013068949976777
first_60m_ret,-0.0009289363678589568
morning_ret,-0.0010658708164570374
afternoon_ret,-0.0005540166204985875
last_30m_ret,0.00020193861066242214
last_60m_ret,0.00018889308651282022
morning_vwap,47.81828027496913
afternoon_vwap,47.83061640919352
last_30m_vwap,47.82907206154739
first_60m_volume_share,0.3980834972748089
last_30m_volume_share,0.12112857624875446
morning_vwap_to_close,-0.014307158209573068
afternoon_vwap_to_close,-0.012569910137653961
last_30m_vwap_to_close,-0.012374294051851198
morning_afternoon_reversal,8.325603241991038e-07
first60_last30_reversal,0.0
peTTM,63.75753
pbMRQ,7.538037
psTTM,12.412187
pcfNcfTTM,113.840699
profit_roeAvg,0.088449
profit_npMargin,0.21855
profit_gpMargin,0.859669
profit_netProfit,3428132358.04
profit_epsTTM,0.854089
profit_totalShare,6379002274.0
profit_liqaShare,6374207986.0
operation_NRTurnRatio,2.708994
operation_NRTurnDays,83.597348
operation_INVTurnRatio,1.078222
operation_INVTurnDays,230.867892
operation_CATurnRatio,0.533255
operation_AssetTurnRatio,0.399257
growth_YOYEquity,0.122119
growth_YOYAsset,0.127514
growth_YOYNI,0.114657
growth_YOYEPSBasic,0.111111
growth_YOYPNI,0.101388
solvency_currentRatio,8.997616
solvency_quickRatio,8.336713
solvency_cashRatio,5.981217
solvency_YOYLiability,0.000192
solvency_liabilityToAsset,0.071321
solvency_assetToEquity,1.090378
cashflow_CAToAsset,0.743483
cashflow_NCAToAsset,0.256517
cashflow_tangibleAssetToAsset,0.85007
cashflow_CFOToOR,0.173193
cashflow_CFOToNP,0.83454
cashflow_CFOToGr,0.173193
dupont_dupontROE,0.088449
dupont_dupontAssetStoEquity,1.107103
dupont_dupontAssetTurn,0.399257
dupont_dupontPnitoni,1.003735
dupont_dupontNitogr,0.21855
dupont_dupontTaxBurden,0.879568
dupont_dupontIntburden,1.066716
dupont_dupontEbittogr,0.2298
fund_days_since_effective,59.0
peTTM_rank252,0.300595238095238
pbMRQ_rank252,0.4199244472170236
psTTM_rank252,0.4642857142857143
pcfNcfTTM_rank252,0.5396825396825397
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.0001202136891562
bench_ret20,-0.0021799565041140667
bench_ret60,-0.007268691273620731
bench_ma20_gap,-0.0014788815489036322
bench_ma60_gap,-0.0013772708695798386
bench_vol20,0.009752581068951164
stock_ret20,0.0027956989247310826
stock_ret60,0.03843545105132273
stock_ma20_gap,0.0018640600136394792
stock_ma60_gap,0.008144680305265162
stock_vol20,0.019401674261575276
regime_market_ok,1.0
regime_market_strict,1.0
sector_open,4715.641
sector_high,4755.971
sector_low,4678.108
sector_close,4718.564
sector_volume,1498681200.0
sector_amount,22272496000.0
sector_ret1,0.001005214188264
sector_ret5,0.0021799336147183
sector_ret20,0.0056214935436897
sector_ret60,0.0135158311127567
sector_ma20_gap,0.0036787267070133
sector_ma60_gap,0.0066875868881246
sector_vol20,0.013561416772347349
sector_range_pct,0.0177780242494516
sector_range_z20,-0.2499247049235158
sector_volume_shock20,-0.0401796198663655
sector_volume_z20,-0.2061172083993404
sector_amount_shock20,-0.0379669863970903
sector_amount_z20,-0.2116441847992586
sector_vs_bench_ret5,0.0015449223915622499
stock_vs_sector_ret1,-0.001761639984631
stock_vs_sector_ret5,-0.00248369492918665
stock_vs_sector_ret20,-0.0064261939685537
