,median
prev_close,8.52701495
overnight_ret,0.0
intraday_ret,0.0
close_to_vwap,-0.04131895055170842
open_to_vwap,-0.03987840583325508
high_to_close,0.014619883040935644
close_to_low,0.012030075187970057
high_to_open,0.013201320132013139
low_to_open,-0.012722646310432517
range_pct,0.031319910514541416
close_range_pos,0.4615384615384659
upper_shadow_pct,0.00717439293598221
lower_shadow_pct,0.006535947712418277
volume_shock20,-0.12371728698346196
volume_z20,-0.2993495438832642
daily_vwap_volume_shock20,-0.12387663876773114
daily_vwap_volume_z20,-0.30034069174711714
daily_vwap_pv_shock20,-0.12175711909764975
daily_vwap_pv_z20,-0.2839503991638714
range_pct_shock20,-0.11270369679730985
range_pct_z20,-0.25190507076223717
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.05226056716686314
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0006263776232730001
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,-0.0006544502617800152
first_60m_ret,-0.0008116883116883189
morning_ret,0.0
afternoon_ret,-0.000655307994757548
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,8.938440101182778
afternoon_vwap,8.963556356598142
last_30m_vwap,8.93996043945088
first_60m_volume_share,0.40303662238956645
last_30m_volume_share,0.12377465424582554
morning_vwap_to_close,-0.04089343097164022
afternoon_vwap_to_close,-0.041146094368079145
last_30m_vwap_to_close,-0.04121431391667729
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,42.337588
pbMRQ,1.322561
psTTM,1.237069
pcfNcfTTM,14.719493
profit_roeAvg,0.016013
profit_npMargin,0.040738
profit_gpMargin,0.183555
profit_netProfit,174443194.96
profit_epsTTM,0.168644
profit_totalShare,1356921309.0
profit_liqaShare,1356921309.0
operation_NRTurnRatio,0.572773
operation_NRTurnDays,295.342392
operation_INVTurnRatio,1.868304
operation_INVTurnDays,114.635078
operation_CATurnRatio,0.336761
operation_AssetTurnRatio,0.255527
growth_YOYEquity,0.01718
growth_YOYAsset,-0.007487
growth_YOYNI,0.481531
growth_YOYEPSBasic,0.551462
growth_YOYPNI,0.551331
solvency_currentRatio,1.471804
solvency_quickRatio,1.233825
solvency_cashRatio,0.277396
solvency_YOYLiability,-0.023319
solvency_liabilityToAsset,0.480385
solvency_assetToEquity,1.97434
cashflow_CAToAsset,0.698246
cashflow_NCAToAsset,0.301754
cashflow_tangibleAssetToAsset,0.41364
cashflow_CFOToOR,0.006665
cashflow_CFOToNP,0.216304
cashflow_CFOToGr,0.006665
dupont_dupontROE,0.016013
dupont_dupontAssetStoEquity,2.055235
dupont_dupontAssetTurn,0.255527
dupont_dupontPnitoni,0.889304
dupont_dupontNitogr,0.040738
dupont_dupontTaxBurden,0.84686
dupont_dupontIntburden,1.040647
dupont_dupontEbittogr,0.048574
fund_days_since_effective,63.0
peTTM_rank252,0.2896825396825397
pbMRQ_rank252,0.5992063492063492
psTTM_rank252,0.6388888888888888
pcfNcfTTM_rank252,0.5833333333333334
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,8.777268046067377e-05
bench_ret20,-0.002274516795549908
bench_ret60,-0.007580036221160158
bench_ma20_gap,-0.0017102653031856319
bench_ma60_gap,-0.0016368494289944469
bench_vol20,0.009743601278515954
stock_ret20,0.0034246575342467
stock_ret60,0.017866896013618794
stock_ma20_gap,-0.0008101539292464377
stock_ma60_gap,0.016621199720370905
stock_vol20,0.022562510738213446
regime_market_ok,1.0
regime_market_strict,1.0
