,median
prev_close,8.9978192
overnight_ret,0.0
intraday_ret,-0.0005608524957935179
close_to_vwap,-0.039995551234775606
open_to_vwap,-0.03831594592101961
high_to_close,0.014765100671141118
close_to_low,0.011793611793611714
high_to_open,0.013066871637202215
low_to_open,-0.012722646310432517
range_pct,0.03128007699711244
close_range_pos,0.45454545454545303
upper_shadow_pct,0.00726744186046524
lower_shadow_pct,0.006416131989001039
volume_shock20,-0.12417157831162484
volume_z20,-0.29954737195297776
daily_vwap_volume_shock20,-0.12508788779745894
daily_vwap_volume_z20,-0.30156359096551627
daily_vwap_pv_shock20,-0.12465465677144294
daily_vwap_pv_z20,-0.2871431778239162
range_pct_shock20,-0.11437265949883879
range_pct_z20,-0.25456625946717365
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.056318326859608844
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0009970970803062085
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,-0.0006329113924050667
first_60m_ret,-0.0007547169811321641
morning_ret,-0.0005737234652898326
afternoon_ret,-0.0009940357852883386
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,9.444671898872393
afternoon_vwap,9.430329021006326
last_30m_vwap,9.404293925493597
first_60m_volume_share,0.40548529323372073
last_30m_volume_share,0.12330888925002031
morning_vwap_to_close,-0.03951456629149597
afternoon_vwap_to_close,-0.04047177594382223
last_30m_vwap_to_close,-0.040707655516218244
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,40.723171
pbMRQ,1.384764
psTTM,1.284209
pcfNcfTTM,14.83345
profit_roeAvg,0.016013
profit_npMargin,0.040738
profit_gpMargin,0.183555
profit_netProfit,174443194.96
profit_epsTTM,0.237743
profit_totalShare,1356921309.0
profit_liqaShare,1356921309.0
operation_NRTurnRatio,0.572773
operation_NRTurnDays,295.342392
operation_INVTurnRatio,1.916552
operation_INVTurnDays,114.635078
operation_CATurnRatio,0.339746
operation_AssetTurnRatio,0.255527
growth_YOYEquity,0.03142
growth_YOYAsset,0.002035
growth_YOYNI,0.481531
growth_YOYEPSBasic,0.551462
growth_YOYPNI,0.551331
solvency_currentRatio,1.471804
solvency_quickRatio,1.233825
solvency_cashRatio,0.282164
solvency_YOYLiability,-0.007357
solvency_liabilityToAsset,0.480385
solvency_assetToEquity,1.97434
cashflow_CAToAsset,0.698246
cashflow_NCAToAsset,0.301754
cashflow_tangibleAssetToAsset,0.41364
cashflow_CFOToOR,0.006665
cashflow_CFOToNP,0.216304
cashflow_CFOToGr,0.006665
dupont_dupontROE,0.016013
dupont_dupontAssetStoEquity,2.055235
dupont_dupontAssetTurn,0.255527
dupont_dupontPnitoni,0.926511
dupont_dupontNitogr,0.040738
dupont_dupontTaxBurden,0.847779
dupont_dupontIntburden,1.042687
dupont_dupontEbittogr,0.048574
fund_days_since_effective,63.0
peTTM_rank252,0.3293650793650793
pbMRQ_rank252,0.6277777777777778
psTTM_rank252,0.6468253968253969
pcfNcfTTM_rank252,0.5992063492063492
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.0003081606767367
bench_ret20,-0.0021881802599893474
bench_ret60,-0.0032970664112771386
bench_ma20_gap,-0.0014169354398203549
bench_ma60_gap,-0.0006951673668269542
bench_vol20,0.009701435659920057
stock_ret20,0.0073859037197934185
stock_ret60,0.030138301013019286
stock_ma20_gap,-0.0003626393924950344
stock_ma60_gap,0.01801234761136339
stock_vol20,0.02294606526130097
regime_market_ok,1.0
regime_market_strict,1.0
