,median
prev_close,14.538824
overnight_ret,0.0
intraday_ret,-0.0007483718574119447
close_to_vwap,-0.029685465264971345
open_to_vwap,-0.0297129300008368
high_to_close,0.013952013685095244
close_to_low,0.010621819506634211
high_to_open,0.011525005633234886
low_to_open,-0.01202848027753639
range_pct,0.028939113601690325
close_range_pos,0.43749999999999717
upper_shadow_pct,0.006549037361799459
lower_shadow_pct,0.005611498910658597
volume_shock20,-0.10383193687679637
volume_z20,-0.27529382367367783
daily_vwap_volume_shock20,-0.10509669208768635
daily_vwap_volume_z20,-0.27610031689009656
daily_vwap_pv_shock20,-0.11555855373782048
daily_vwap_pv_z20,-0.27852438917062894
range_pct_shock20,-0.10396378481820362
range_pct_z20,-0.2662550769154402
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.027603504874922503
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0006971750607079885
down_day_below_vwap,1.0
bar_count,48.0
first_30m_ret,0.0
first_60m_ret,0.0
morning_ret,-0.0005685197155784749
afternoon_ret,-0.0011915452464195675
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,15.011031278616016
afternoon_vwap,14.984143730699413
last_30m_vwap,14.99046870864344
first_60m_volume_share,0.4034502062940159
last_30m_volume_share,0.12559615149873096
morning_vwap_to_close,-0.0300712349356419
afternoon_vwap_to_close,-0.02979513191894817
last_30m_vwap_to_close,-0.029713198300292065
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,22.1914735
pbMRQ,1.587024
psTTM,0.8227985
pcfNcfTTM,15.738733
profit_roeAvg,0.063083
profit_npMargin,0.04468
profit_gpMargin,0.160679
profit_netProfit,1159003994.55
profit_epsTTM,0.662634
profit_totalShare,2362214913.0
profit_liqaShare,2362214913.0
operation_NRTurnRatio,2.034509
operation_NRTurnDays,128.42028
operation_INVTurnRatio,3.962651
operation_INVTurnDays,65.984388
operation_CATurnRatio,0.89075
operation_AssetTurnRatio,0.604909
growth_YOYEquity,0.129776
growth_YOYAsset,0.084173
growth_YOYNI,0.126296
growth_YOYEPSBasic,0.104808
growth_YOYPNI,0.148242
solvency_currentRatio,1.505617
solvency_quickRatio,1.281886
solvency_cashRatio,0.376992
solvency_YOYLiability,0.057989
solvency_liabilityToAsset,0.549853
solvency_assetToEquity,2.221496
cashflow_CAToAsset,0.686173
cashflow_NCAToAsset,0.313827
cashflow_tangibleAssetToAsset,0.335149
cashflow_ebitToInterest,4.492668
cashflow_CFOToOR,0.010394
cashflow_CFOToNP,0.176028
cashflow_CFOToGr,0.010394
dupont_dupontROE,0.063083
dupont_dupontAssetStoEquity,2.468708
dupont_dupontAssetTurn,0.604909
dupont_dupontPnitoni,0.967143
dupont_dupontNitogr,0.04468
dupont_dupontTaxBurden,0.889809
dupont_dupontIntburden,0.825147
dupont_dupontEbittogr,0.060023
fund_days_since_effective,64.0
peTTM_rank252,0.3214285714285714
pbMRQ_rank252,0.3373015873015873
psTTM_rank252,0.3452380952380952
pcfNcfTTM_rank252,0.4801587301587302
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
