,median
prev_close,13.98504024
overnight_ret,0.0
intraday_ret,0.0006983815787227066
close_to_vwap,-0.039424853577466445
open_to_vwap,-0.03845367366778657
high_to_close,0.015946033356939338
close_to_low,0.013282207397124157
high_to_open,0.013697553882595637
low_to_open,-0.013312075744830676
range_pct,0.03377834975837102
close_range_pos,0.47325514874141983
upper_shadow_pct,0.007512691196797205
lower_shadow_pct,0.006578947368421018
volume_shock20,-0.11064745665234443
volume_z20,-0.2600197484274806
daily_vwap_volume_shock20,-0.11066909465387581
daily_vwap_volume_z20,-0.25872729298182273
daily_vwap_pv_shock20,-0.10690513126282558
daily_vwap_pv_z20,-0.25689356843020905
range_pct_shock20,-0.10047029065540652
range_pct_z20,-0.24407754533767956
intraday_ret_shock20,-0.8804677678129431
intraday_ret_z20,-0.020791364589944676
overnight_intraday_reversal,0.0
overnight_plus_intraday,5.627892736870255e-05
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,0.0
first_60m_ret,0.0
morning_ret,0.0
afternoon_ret,-0.0007135540132130469
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,14.43173621999997
afternoon_vwap,14.422096478512948
last_30m_vwap,14.41569973646272
first_60m_volume_share,0.40966300873089834
last_30m_volume_share,0.11650799186816163
morning_vwap_to_close,-0.03855977292384999
afternoon_vwap_to_close,-0.04046420239181325
last_30m_vwap_to_close,-0.040606282597929755
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,17.8957795
pbMRQ,1.562781
psTTM,1.064457
pcfNcfTTM,32.583323
profit_roeAvg,0.065307
profit_npMargin,0.066956
profit_gpMargin,0.150713
profit_netProfit,1580137924.32
profit_epsTTM,0.787054
profit_totalShare,3412949652.0
profit_liqaShare,3412949652.0
operation_NRTurnRatio,2.244391
operation_NRTurnDays,116.63085
operation_INVTurnRatio,3.948772
operation_INVTurnDays,63.405584
operation_CATurnRatio,0.864833
operation_AssetTurnRatio,0.609836
growth_YOYEquity,0.098966
growth_YOYAsset,0.10427800000000001
growth_YOYNI,0.023475
growth_YOYEPSBasic,0.016176
growth_YOYPNI,0.01192
solvency_currentRatio,2.09733
solvency_quickRatio,1.6562105
solvency_cashRatio,0.643151
solvency_YOYLiability,0.113104
solvency_liabilityToAsset,0.382446
solvency_assetToEquity,1.669915
cashflow_CAToAsset,0.706587
cashflow_NCAToAsset,0.293413
cashflow_tangibleAssetToAsset,0.543789
cashflow_CFOToOR,-0.029462
cashflow_CFOToNP,-0.436103
cashflow_CFOToGr,-0.029462
dupont_dupontROE,0.065307
dupont_dupontAssetStoEquity,1.695447
dupont_dupontAssetTurn,0.609836
dupont_dupontPnitoni,0.967114
dupont_dupontNitogr,0.066956
dupont_dupontTaxBurden,0.843805
dupont_dupontIntburden,0.975274
dupont_dupontEbittogr,0.075343
fund_days_since_effective,61.0
peTTM_rank252,0.5317460317460317
pbMRQ_rank252,0.376984126984127
psTTM_rank252,0.4444444444444444
pcfNcfTTM_rank252,0.4761904761904761
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.00039413175766730003
bench_ret20,-0.0018734452269218438
bench_ret60,-0.002215141001919718
bench_ma20_gap,-0.0011000345874539463
bench_ma60_gap,-7.621981004868328e-05
bench_vol20,0.009695816909418137
stock_ret20,0.0069948538517081715
stock_ret60,0.006195448914933732
stock_ma20_gap,0.004476715702832257
stock_ma60_gap,0.00928804666487315
stock_vol20,0.026643627439791286
regime_market_ok,1.0
regime_market_strict,1.0
sector_open,3371.2434999999996
sector_high,3407.7290000000003
sector_low,3312.098
sector_close,3364.572
sector_volume,1325103595.0
sector_amount,23323858000.0
sector_ret1,0.0010714903470812
sector_ret5,0.0034770204076099
sector_ret20,0.008482195964182149
sector_ret60,0.030528185599441753
sector_ma20_gap,0.0066764899129252
sector_ma60_gap,0.01476223087565275
sector_vol20,0.0178489777539327
sector_range_pct,0.0210626235509729
sector_range_z20,-0.2155895470662722
sector_volume_shock20,-0.024550400184818848
sector_volume_z20,-0.14075071769696829
sector_amount_shock20,-0.0177555577856447
sector_amount_z20,-0.08574383129029406
sector_vs_bench_ret5,0.0034912291287585
stock_vs_sector_ret1,-0.0016560940343104
stock_vs_sector_ret5,-0.0035875457855409
stock_vs_sector_ret20,-0.00876130964968345
ocg_stk_300308_open,46.244777755
ocg_stk_300308_high,47.404349714999995
ocg_stk_300308_low,45.22261836
ocg_stk_300308_close,46.141703344999996
ocg_stk_300308_volume,16843300.0
ocg_stk_300308_range_pct,0.04229661488222375
ocg_stk_300308_close_ret1,0.0003359025949999
ocg_stk_300308_close_ret3,0.0015756823821338499
ocg_stk_300308_close_ret5,0.0006686409426970999
ocg_stk_300308_close_ret20,0.014046377742692101
ocg_stk_300308_close_ret60,0.03618949630137445
ocg_stk_300308_close_ma20_gap,0.0078289433016567
ocg_stk_300308_close_z20,0.16934557177087195
ocg_stk_300308_close_z60,0.1259367719309769
ocg_stk_300308_close_vol20,0.0317284180723557
ocg_stk_300308_range_pct_ret1,0.02008847081470925
ocg_stk_300308_range_pct_ret3,-0.0030271883872419
ocg_stk_300308_range_pct_ret5,0.00834235463415405
ocg_stk_300308_range_pct_ret20,0.0068551959840231005
ocg_stk_300308_range_pct_ret60,-0.018984437302332402
ocg_stk_300308_range_pct_ma20_gap,-0.09852240095481091
ocg_stk_300308_range_pct_z20,-0.247254911290965
ocg_stk_300308_range_pct_z60,-0.24827198302576953
ocg_stk_300308_volume_shock20,-0.0823211211929905
ocg_stk_300308_volume_z20,-0.2501368589216777
ocg_stk_300502_open,24.70044366
ocg_stk_300502_high,25.245042939999998
ocg_stk_300502_low,24.159427270000002
ocg_stk_300502_close,24.655657535
ocg_stk_300502_volume,21162214.5
ocg_stk_300502_range_pct,0.049166085779891594
ocg_stk_300502_close_ret1,0.0015273769529123501
ocg_stk_300502_close_ret3,0.00327026413545935
ocg_stk_300502_close_ret5,0.0055649179877050505
ocg_stk_300502_close_ret20,0.0165748335245475
ocg_stk_300502_close_ret60,0.11724286036209905
ocg_stk_300502_close_ma20_gap,0.01112134540175775
ocg_stk_300502_close_z20,0.20382705798789225
ocg_stk_300502_close_z60,0.42694814941452724
ocg_stk_300502_close_vol20,0.0365521001790955
ocg_stk_300502_range_pct_ret1,-0.00643806028668625
ocg_stk_300502_range_pct_ret3,0.00218291018447365
ocg_stk_300502_range_pct_ret5,0.00256224625589745
ocg_stk_300502_range_pct_ret20,-0.0097848940643709
ocg_stk_300502_range_pct_ret60,-0.02138084297683015
ocg_stk_300502_range_pct_ma20_gap,-0.0919010528259619
ocg_stk_300502_range_pct_z20,-0.2196590777031835
ocg_stk_300502_range_pct_z60,-0.24149924496904865
ocg_stk_300502_volume_shock20,-0.0867458047497738
ocg_stk_300502_volume_z20,-0.26397995281571407
ocg_stk_300394_open,19.88637336
ocg_stk_300394_high,20.732338095000003
ocg_stk_300394_low,19.36392948
ocg_stk_300394_close,19.9459134
ocg_stk_300394_volume,11133753.5
ocg_stk_300394_range_pct,0.05071796191456505
ocg_stk_300394_close_ret1,-0.0008603733247883501
ocg_stk_300394_close_ret3,0.00018208302986155
ocg_stk_300394_close_ret5,0.0036456671982988
ocg_stk_300394_close_ret20,0.0245430015702411
ocg_stk_300394_close_ret60,0.1050363758737933
ocg_stk_300394_close_ma20_gap,0.0087548002516484
ocg_stk_300394_close_z20,0.1397176492809013
ocg_stk_300394_close_z60,0.34153235180261077
ocg_stk_300394_close_vol20,0.0390459697021593
ocg_stk_300394_range_pct_ret1,0.0150478796169644
ocg_stk_300394_range_pct_ret3,0.0025550675506422
ocg_stk_300394_range_pct_ret5,-0.0025297683953393
ocg_stk_300394_range_pct_ret20,0.011276778063409
ocg_stk_300394_range_pct_ret60,0.0170101770289923
ocg_stk_300394_range_pct_ma20_gap,-0.10031177666686185
ocg_stk_300394_range_pct_z20,-0.23861913981126626
ocg_stk_300394_range_pct_z60,-0.20603195458683515
ocg_stk_300394_volume_shock20,-0.0748450173386482
ocg_stk_300394_volume_z20,-0.20527466106056091
ocg_stk_600487_open,14.794680875000001
ocg_stk_600487_high,15.023801625
ocg_stk_600487_low,14.59524258
ocg_stk_600487_close,14.808120554999999
ocg_stk_600487_volume,40796121.0
ocg_stk_600487_range_pct,0.03017891166673875
ocg_stk_600487_close_ret1,0.0
ocg_stk_600487_close_ret3,0.0
ocg_stk_600487_close_ret5,0.0
ocg_stk_600487_close_ret20,0.0027770072964581
ocg_stk_600487_close_ret60,-0.0066806725367035
ocg_stk_600487_close_ma20_gap,0.0021737932961254
ocg_stk_600487_close_z20,0.06857785811752906
ocg_stk_600487_close_z60,-0.19178397078447745
ocg_stk_600487_close_vol20,0.0240401476727133
ocg_stk_600487_range_pct_ret1,-0.0053085600530942
ocg_stk_600487_range_pct_ret3,-0.0010556253489686
ocg_stk_600487_range_pct_ret5,-0.0049394061225779
ocg_stk_600487_range_pct_ret20,0.014709854291579949
ocg_stk_600487_range_pct_ret60,0.054721993081457046
ocg_stk_600487_range_pct_ma20_gap,-0.09412700998462731
ocg_stk_600487_range_pct_z20,-0.23342524081831656
ocg_stk_600487_range_pct_z60,-0.19795531508701597
ocg_stk_600487_volume_shock20,-0.08276786927566851
ocg_stk_600487_volume_z20,-0.23056759209769362
ocg_stk_603606_open,46.847093615
ocg_stk_603606_high,47.751607315
ocg_stk_603606_low,45.96640534
ocg_stk_603606_close,46.8619547
ocg_stk_603606_volume,10409589.0
ocg_stk_603606_range_pct,0.037578598681992495
ocg_stk_603606_close_ret1,-0.00020635589792065
ocg_stk_603606_close_ret3,0.0007112370178067
ocg_stk_603606_close_ret5,0.0004681180297072
ocg_stk_603606_close_ret20,0.00888662235967615
ocg_stk_603606_close_ret60,0.040586978499059
ocg_stk_603606_close_ma20_gap,0.0034531539419978
ocg_stk_603606_close_z20,0.0958472021392005
ocg_stk_603606_close_z60,0.2668771337390786
ocg_stk_603606_close_vol20,0.026636026873124947
ocg_stk_603606_range_pct_ret1,-0.0172413793103538
ocg_stk_603606_range_pct_ret3,-0.0080143601730717
ocg_stk_603606_range_pct_ret5,-0.0148928441699983
ocg_stk_603606_range_pct_ret20,-0.001692318035241
ocg_stk_603606_range_pct_ret60,0.010162288181722
ocg_stk_603606_range_pct_ma20_gap,-0.09631611891928266
ocg_stk_603606_range_pct_z20,-0.24607667264905547
ocg_stk_603606_range_pct_z60,-0.24612049082255943
ocg_stk_603606_volume_shock20,-0.09911849466991926
ocg_stk_603606_volume_z20,-0.2626707464451409
ocg_stk_600973_open,4.74
ocg_stk_600973_high,4.83
ocg_stk_600973_low,4.66
ocg_stk_600973_close,4.74
ocg_stk_600973_volume,19939324.5
ocg_stk_600973_range_pct,0.029818793660057852
ocg_stk_600973_close_ret1,0.0
ocg_stk_600973_close_ret3,0.0
ocg_stk_600973_close_ret5,0.0
ocg_stk_600973_close_ret20,0.0023923444976077
ocg_stk_600973_close_ret60,0.0119684024628895
ocg_stk_600973_close_ma20_gap,0.0027025868039039502
ocg_stk_600973_close_z20,0.1202897487968929
ocg_stk_600973_close_z60,0.08070935679108315
ocg_stk_600973_close_vol20,0.02203273361611555
ocg_stk_600973_range_pct_ret1,0.0
ocg_stk_600973_range_pct_ret3,-0.014659830529301799
ocg_stk_600973_range_pct_ret5,-0.0041298297315012
ocg_stk_600973_range_pct_ret20,0.0045079784238210505
ocg_stk_600973_range_pct_ret60,0.0155223953925237
ocg_stk_600973_range_pct_ma20_gap,-0.1212171705170513
ocg_stk_600973_range_pct_z20,-0.27570596224508603
ocg_stk_600973_range_pct_z60,-0.2702269656579603
ocg_stk_600973_volume_shock20,-0.1305938072480064
ocg_stk_600973_volume_z20,-0.33330883461304817
ocg_stk_601869_open,30.076803365
ocg_stk_601869_high,30.6295632
ocg_stk_601869_low,29.579426859999998
ocg_stk_601869_close,30.03785238
ocg_stk_601869_volume,3156451.5
ocg_stk_601869_range_pct,0.031653147515049704
ocg_stk_601869_close_ret1,0.0
ocg_stk_601869_close_ret3,0.0001466886565871404
ocg_stk_601869_close_ret5,0.0
ocg_stk_601869_close_ret20,0.0083004008662701
ocg_stk_601869_close_ret60,0.0122313929517849
ocg_stk_601869_close_ma20_gap,0.0008947648069697999
ocg_stk_601869_close_z20,0.02051630670912115
ocg_stk_601869_close_z60,0.02687400360659245
ocg_stk_601869_close_vol20,0.02438551156923805
ocg_stk_601869_range_pct_ret1,-0.0086813519712635
ocg_stk_601869_range_pct_ret3,-0.0383269414619344
ocg_stk_601869_range_pct_ret5,-0.0124801358978584
ocg_stk_601869_range_pct_ret20,-0.0176959191043754
ocg_stk_601869_range_pct_ret60,0.0465098902631524
ocg_stk_601869_range_pct_ma20_gap,-0.1001170582768065
ocg_stk_601869_range_pct_z20,-0.208658814687047
ocg_stk_601869_range_pct_z60,-0.21847519899321155
ocg_stk_601869_volume_shock20,-0.1070255483312252
ocg_stk_601869_volume_z20,-0.2817617141005684
ocg_stk_600498_open,18.3825274
ocg_stk_600498_high,18.75211308
ocg_stk_600498_low,18.04143375
ocg_stk_600498_close,18.359154695
ocg_stk_600498_volume,15109518.5
ocg_stk_600498_range_pct,0.0281616663211398
ocg_stk_600498_close_ret1,-0.00032818304549459996
ocg_stk_600498_close_ret3,-0.0016107383711176
ocg_stk_600498_close_ret5,-0.0004327052759989
ocg_stk_600498_close_ret20,-0.00763777120144915
ocg_stk_600498_close_ret60,-0.0084523913980875
ocg_stk_600498_close_ma20_gap,-0.0037895432064874
ocg_stk_600498_close_z20,-0.15601781139888224
ocg_stk_600498_close_z60,-0.08504030958251255
ocg_stk_600498_close_vol20,0.02129004321072455
ocg_stk_600498_range_pct_ret1,-0.01109538509659785
ocg_stk_600498_range_pct_ret3,-0.02952951176314285
ocg_stk_600498_range_pct_ret5,-0.00629191444481155
ocg_stk_600498_range_pct_ret20,0.015491571831954199
ocg_stk_600498_range_pct_ret60,0.02556866136285355
ocg_stk_600498_range_pct_ma20_gap,-0.0956382297618861
ocg_stk_600498_range_pct_z20,-0.23416518995334668
ocg_stk_600498_range_pct_z60,-0.22849246210808224
ocg_stk_600498_volume_shock20,-0.11519859869941601
ocg_stk_600498_volume_z20,-0.30526981399747977
ocg_stk_600406_open,21.449603940000003
ocg_stk_600406_high,21.742815475
ocg_stk_600406_low,21.1502646
ocg_stk_600406_close,21.459887639999998
ocg_stk_600406_volume,23632768.0
ocg_stk_600406_range_pct,0.0269092082183516
ocg_stk_600406_close_ret1,-0.0005576159125450001
ocg_stk_600406_close_ret3,0.0016949347306490499
ocg_stk_600406_close_ret5,0.001698999758006
ocg_stk_600406_close_ret20,0.00888105771346665
ocg_stk_600406_close_ret60,0.02306212372948175
ocg_stk_600406_close_ma20_gap,0.0029785480923032997
ocg_stk_600406_close_z20,0.12092375460480351
ocg_stk_600406_close_z60,0.27200382803023154
ocg_stk_600406_close_vol20,0.0182989698765189
ocg_stk_600406_range_pct_ret1,0.0017432876219991
ocg_stk_600406_range_pct_ret3,-0.01430602021417025
ocg_stk_600406_range_pct_ret5,-0.0142906780239632
ocg_stk_600406_range_pct_ret20,-0.01050171678135715
ocg_stk_600406_range_pct_ret60,-0.01930920540788525
ocg_stk_600406_range_pct_ma20_gap,-0.0970225785157195
ocg_stk_600406_range_pct_z20,-0.24067765026480514
ocg_stk_600406_range_pct_z60,-0.24070095570220673
ocg_stk_600406_volume_shock20,-0.07171177959994429
ocg_stk_600406_volume_z20,-0.2138076041716247
ocg_stk_601179_open,5.08361084
ocg_stk_601179_high,5.17792644
ocg_stk_601179_low,4.998983415
ocg_stk_601179_close,5.08626391
ocg_stk_601179_volume,45873028.5
ocg_stk_601179_range_pct,0.02819088161580415
ocg_stk_601179_close_ret1,-0.0011638535704787
ocg_stk_601179_close_ret3,0.0
ocg_stk_601179_close_ret5,0.0
ocg_stk_601179_close_ret20,0.0026440159595566004
ocg_stk_601179_close_ret60,0.01961803049983155
ocg_stk_601179_close_ma20_gap,-0.00015009184990525
ocg_stk_601179_close_z20,-0.0056608871524183
ocg_stk_601179_close_z60,0.037999526955943
ocg_stk_601179_close_vol20,0.02306195583324915
ocg_stk_601179_range_pct_ret1,0.0022509748316216502
ocg_stk_601179_range_pct_ret3,-0.0047820030750986495
ocg_stk_601179_range_pct_ret5,-0.010330578512377401
ocg_stk_601179_range_pct_ret20,-0.00741280001465755
ocg_stk_601179_range_pct_ret60,-0.019616583047267253
ocg_stk_601179_range_pct_ma20_gap,-0.1186564139498371
ocg_stk_601179_range_pct_z20,-0.2807311999709464
ocg_stk_601179_range_pct_z60,-0.2850016065750114
ocg_stk_601179_volume_shock20,-0.11194450468246855
ocg_stk_601179_volume_z20,-0.29663820864616997
ocg_stock_basket_close_ret1,0.0011099821553158
ocg_stock_basket_close,192.95766038226077
ocg_stock_basket_close_ret3,0.004644532681757
ocg_stock_basket_close_ret5,0.007490410682228299
ocg_stock_basket_close_ret20,0.02535809612823785
ocg_stock_basket_close_ret60,0.0775543991489553
ocg_stock_basket_close_ma20_gap,0.012883854511537899
ocg_stock_basket_close_z20,0.4415355352361803
ocg_stock_basket_close_z60,0.6811277663992896
ocg_stock_basket_close_vol20,0.0181449884242735
ocg_board_b01_open,3371.2434999999996
ocg_board_b01_high,3407.7290000000003
ocg_board_b01_low,3312.098
ocg_board_b01_close,3364.572
ocg_board_b01_volume,1325103595.0
ocg_board_b01_amount,23323858000.0
ocg_board_b01_range_pct,0.0210626235509729
ocg_board_b01_close_ret1,0.0011031893385399
ocg_board_b01_close_ret3,0.00296190841721325
ocg_board_b01_close_ret5,0.0036300945923701
ocg_board_b01_close_ret20,0.0092547303973893
ocg_board_b01_close_ret60,0.0367347211415599
ocg_board_b01_close_ma20_gap,0.0075381789159226
ocg_board_b01_close_z20,0.25748582046943347
ocg_board_b01_close_z60,0.32331855676989396
ocg_board_b01_close_vol20,0.0178158899408853
ocg_board_b01_range_pct_ret1,-0.0006050771592092001
ocg_board_b01_range_pct_ret3,-0.01669378594759075
ocg_board_b01_range_pct_ret5,-0.0019505306104948502
ocg_board_b01_range_pct_ret20,-0.011315526999182899
ocg_board_b01_range_pct_ret60,-0.01051480790113515
ocg_board_b01_range_pct_ma20_gap,-0.0799879671254861
ocg_board_b01_range_pct_z20,-0.21558954706627453
ocg_board_b01_range_pct_z60,-0.18678101309035972
ocg_board_b01_volume_shock20,-0.0220186190872562
ocg_board_b01_volume_z20,-0.1307782558435078
ocg_board_b01_amount_shock20,-0.01345691561023135
ocg_board_b01_amount_z20,-0.0666531275575963
ocg_board_b02_open,3579.236
ocg_board_b02_high,3617.3455
ocg_board_b02_low,3541.2084999999997
ocg_board_b02_close,3583.7885
ocg_board_b02_volume,1451025300.0
ocg_board_b02_amount,14678169000.0
ocg_board_b02_range_pct,0.0199689085979669
ocg_board_b02_close_ret1,0.0015267447184984001
ocg_board_b02_close_ret3,0.00368351163455175
ocg_board_b02_close_ret5,0.00508699893109505
ocg_board_b02_close_ret20,0.01630654810865855
ocg_board_b02_close_ret60,0.0494954202409585
ocg_board_b02_close_ma20_gap,0.0105487255669108
ocg_board_b02_close_z20,0.45439206123848436
ocg_board_b02_close_z60,0.5422881537551576
ocg_board_b02_close_vol20,0.0159428946909171
ocg_board_b02_range_pct_ret1,-0.0053436336559422
ocg_board_b02_range_pct_ret3,0.0076676025138613
ocg_board_b02_range_pct_ret5,2.2827267419645025e-05
ocg_board_b02_range_pct_ret20,-0.0188566211105613
ocg_board_b02_range_pct_ret60,0.002306748997227
ocg_board_b02_range_pct_ma20_gap,-0.10729597983852986
ocg_board_b02_range_pct_z20,-0.261000658552895
ocg_board_b02_range_pct_z60,-0.23438345891760415
ocg_board_b02_volume_shock20,-0.0106828567725063
ocg_board_b02_volume_z20,-0.0682293768561425
ocg_board_b02_amount_shock20,-0.018007221259366053
ocg_board_b02_amount_z20,-0.09136711018559265
ocg_board_b03_open,3687.719
ocg_board_b03_high,3737.7155
ocg_board_b03_low,3640.793
ocg_board_b03_close,3693.0845
ocg_board_b03_volume,377650660.0
ocg_board_b03_amount,5214824800.0
ocg_board_b03_range_pct,0.0241151572854939
