,median
prev_close,10.98344408
overnight_ret,0.0
intraday_ret,0.000638943080803478
close_to_vwap,-0.055713599505544
open_to_vwap,-0.0547678331456497
high_to_close,0.012466515460344274
close_to_low,0.013154289834174437
high_to_open,0.012948773122143709
low_to_open,-0.012459452204538812
range_pct,0.02943972265712369
close_range_pos,0.5121951219512216
upper_shadow_pct,0.007139459018621563
lower_shadow_pct,0.0069737282039330495
volume_shock20,-0.0744528776689562
volume_z20,-0.2191617564114954
daily_vwap_volume_shock20,-0.07435593304715243
daily_vwap_volume_z20,-0.2176900252011635
daily_vwap_pv_shock20,-0.06662204897575302
daily_vwap_pv_z20,-0.19517022370454762
range_pct_shock20,-0.08069580641412344
range_pct_z20,-0.21010177336957886
intraday_ret_shock20,-1.1168419949429942
intraday_ret_z20,-0.0010185802453786873
overnight_intraday_reversal,0.0
overnight_plus_intraday,0.0013419216317767102
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,0.0
first_60m_ret,0.0
morning_ret,0.0
afternoon_ret,0.0
last_30m_ret,0.0005755419037568599
last_60m_ret,0.0005575881104245006
morning_vwap,11.664845699831961
afternoon_vwap,11.651296019727997
last_30m_vwap,11.659434329258314
first_60m_volume_share,0.41612759585004866
last_30m_volume_share,0.1183482906122723
morning_vwap_to_close,-0.05512931823949102
afternoon_vwap_to_close,-0.05713229767090866
last_30m_vwap_to_close,-0.05802399599777697
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,18.16238
pbMRQ,3.610933
psTTM,1.3404095
pcfNcfTTM,38.8338895
profit_roeAvg,0.109664
profit_npMargin,0.091759
profit_gpMargin,0.155984
profit_netProfit,12464616622.0
profit_epsTTM,0.74221
profit_totalShare,26327602240.0
profit_liqaShare,20494681640.0
operation_NRTurnRatio,34.874977
operation_NRTurnDays,7.741941
operation_INVTurnRatio,5.572535
operation_INVTurnDays,42.872491
operation_CATurnRatio,2.587785
operation_AssetTurnRatio,0.577977
growth_YOYEquity,0.250729
growth_YOYAsset,0.234619
growth_YOYNI,0.47859
growth_YOYEPSBasic,0.468031
growth_YOYPNI,0.50681
solvency_currentRatio,0.972139
solvency_quickRatio,0.656561
solvency_cashRatio,0.34026
solvency_YOYLiability,0.2131905
solvency_liabilityToAsset,0.582859
solvency_assetToEquity,2.397272
cashflow_CAToAsset,0.243886
cashflow_NCAToAsset,0.756114
cashflow_tangibleAssetToAsset,0.096359
cashflow_ebitToInterest,14.28271
cashflow_CFOToOR,0.109455
cashflow_CFOToNP,1.216679
cashflow_CFOToGr,0.109455
dupont_dupontROE,0.109664
dupont_dupontAssetStoEquity,2.990869
dupont_dupontAssetTurn,0.577977
dupont_dupontPnitoni,0.805646
dupont_dupontNitogr,0.091759
dupont_dupontTaxBurden,0.830374
dupont_dupontIntburden,0.94663
dupont_dupontEbittogr,0.117791
fund_days_since_effective,51.5
peTTM_rank252,0.5353535353535354
pbMRQ_rank252,0.5595238095238095
psTTM_rank252,0.6746031746031746
pcfNcfTTM_rank252,0.376984126984127
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_ebitToInterest_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.00039413175766730003
bench_ret20,-0.0018734452269218438
bench_ret60,-0.002215141001919718
bench_ma20_gap,-0.0011000345874539463
bench_ma60_gap,-7.621981004868328e-05
bench_vol20,0.009695816909418137
stock_ret20,0.020158786928297867
stock_ret60,0.06955774841490359
stock_ma20_gap,0.012390094787234962
stock_ma60_gap,0.033650854948797826
stock_vol20,0.0237192424056262
regime_market_ok,1.0
regime_market_strict,1.0
sector_open,1840.3564999999999
sector_high,1868.8029999999999
sector_low,1818.9645
sector_close,1839.0895
sector_volume,359580530.0
sector_amount,4008602850.0
sector_ret1,0.0001505518574993
sector_ret5,0.0019884397439224
sector_ret20,0.00490191086020615
sector_ret60,0.0429960949672868
sector_ma20_gap,0.00309009755585615
sector_ma60_gap,0.010012984109164149
sector_vol20,0.0189394925355302
sector_range_pct,0.021993481164638
sector_range_z20,-0.20114099472501173
sector_volume_shock20,-0.07192883845031806
sector_volume_z20,-0.23821567826568596
sector_amount_shock20,-0.07712787937783444
