,median
prev_close,10.852123315
overnight_ret,0.0
intraday_ret,0.0
close_to_vwap,-0.05724598496161526
open_to_vwap,-0.05645843212481072
high_to_close,0.012715712988192518
close_to_low,0.012875536480686511
high_to_open,0.012687427912341231
low_to_open,-0.012492192379762623
range_pct,0.02917442582247043
close_range_pos,0.49999999999999756
upper_shadow_pct,0.0072289156626506035
lower_shadow_pct,0.00691244239631339
volume_shock20,-0.07852502620090895
volume_z20,-0.23244837705268925
daily_vwap_volume_shock20,-0.07951666079777187
daily_vwap_volume_z20,-0.23244837705268928
daily_vwap_pv_shock20,-0.0725014822736173
daily_vwap_pv_z20,-0.21454950682134383
range_pct_shock20,-0.08568828341981494
range_pct_z20,-0.23702179105530863
intraday_ret_shock20,-1.1512349375100892
intraday_ret_z20,-0.03785234493719841
overnight_intraday_reversal,0.0
overnight_plus_intraday,0.0010410396105970943
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,0.0
first_60m_ret,0.0
morning_ret,0.0
afternoon_ret,0.0
last_30m_ret,0.0005497526113249496
last_60m_ret,0.0004468275245756992
morning_vwap,11.572357310335406
afternoon_vwap,11.557603768397549
last_30m_vwap,11.559465893777269
first_60m_volume_share,0.41611010718735436
last_30m_volume_share,0.11837806762531577
morning_vwap_to_close,-0.05589194779215001
afternoon_vwap_to_close,-0.057763537227427775
last_30m_vwap_to_close,-0.05824884295309074
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,18.135031
pbMRQ,3.581016
psTTM,1.323629
pcfNcfTTM,39.858508
profit_roeAvg,0.107742
profit_npMargin,0.091759
profit_gpMargin,0.155293
profit_netProfit,12464616622.0
profit_epsTTM,0.735337
profit_totalShare,26327602240.0
profit_liqaShare,20494681640.0
operation_NRTurnRatio,34.874977
operation_NRTurnDays,7.628233
operation_INVTurnRatio,5.572535
operation_INVTurnDays,42.872491
operation_CATurnRatio,2.587785
operation_AssetTurnRatio,0.577977
growth_YOYEquity,0.250729
growth_YOYAsset,0.234619
growth_YOYNI,0.47859
growth_YOYEPSBasic,0.443182
growth_YOYPNI,0.50681
solvency_currentRatio,0.972139
solvency_quickRatio,0.595333
solvency_cashRatio,0.34026
solvency_YOYLiability,0.206061
solvency_liabilityToAsset,0.582859
solvency_assetToEquity,2.397272
cashflow_CAToAsset,0.243886
cashflow_NCAToAsset,0.756114
cashflow_tangibleAssetToAsset,0.096359
cashflow_ebitToInterest,13.535289
cashflow_CFOToOR,0.109455
cashflow_CFOToNP,1.216679
cashflow_CFOToGr,0.109455
dupont_dupontROE,0.107742
dupont_dupontAssetStoEquity,3.042908
dupont_dupontAssetTurn,0.577977
dupont_dupontPnitoni,0.805646
dupont_dupontNitogr,0.091759
dupont_dupontTaxBurden,0.830374
dupont_dupontIntburden,0.94663
dupont_dupontEbittogr,0.117791
fund_days_since_effective,52.0
peTTM_rank252,0.5238095238095238
pbMRQ_rank252,0.5515873015873016
psTTM_rank252,0.6626984126984127
pcfNcfTTM_rank252,0.3928571428571428
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_ebitToInterest_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.0003442043694317
bench_ret20,-0.002367280262691618
bench_ret60,-0.0038749485112216098
bench_ma20_gap,-0.0014032309765301676
bench_ma60_gap,-0.0007746178513436952
bench_vol20,0.009695611995131227
stock_ret20,0.01858108108108092
stock_ret60,0.06615532118887812
stock_ma20_gap,0.0122644636528213
stock_ma60_gap,0.03218383461330743
stock_vol20,0.02343639585433177
regime_market_ok,1.0
regime_market_strict,1.0
sector_open,1821.842
sector_high,1846.581
sector_low,1807.04
sector_close,1826.344
sector_volume,352232140.0
sector_amount,3903714900.0
sector_ret1,-2.2243995374038317e-05
sector_ret5,0.00191238488164265
sector_ret20,0.0037275941677723
sector_ret60,0.0399578769485018
sector_ma20_gap,0.0026475742193525
sector_ma60_gap,0.0091535606635713
sector_vol20,0.0187225318197925
sector_range_pct,0.0216701651079094
sector_range_z20,-0.2226712490241307
sector_volume_shock20,-0.0759839819401526
sector_volume_z20,-0.2451367752006274
sector_amount_shock20,-0.082445462046034
sector_amount_z20,-0.2388849032186547
sector_vs_bench_ret5,-0.000431410701115
stock_vs_sector_ret1,0.00032316472938110003
stock_vs_sector_ret5,0.0037852546841088
stock_vs_sector_ret20,0.0098245145538455
