,median
prev_close,6.6894828
overnight_ret,0.0
intraday_ret,0.0
close_to_vwap,-0.05836155399050191
open_to_vwap,-0.05728844179912118
high_to_close,0.008415147265077083
close_to_low,0.008658049221571873
high_to_open,0.008453681922401146
low_to_open,-0.00833333333333336
range_pct,0.020214790126294457
close_range_pos,0.5
upper_shadow_pct,0.004470106320092593
lower_shadow_pct,0.004382763478038232
volume_shock20,-0.07796533208128409
volume_z20,-0.2145588448403133
daily_vwap_volume_shock20,-0.07692291101591026
daily_vwap_volume_z20,-0.2140951446796386
daily_vwap_pv_shock20,-0.08290855265300051
daily_vwap_pv_z20,-0.21581000943962372
range_pct_shock20,-0.09899795494895391
range_pct_z20,-0.24010791266535753
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.004551830396439411
overnight_intraday_reversal,0.0
overnight_plus_intraday,1.1377781012900101e-06
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,0.0
first_60m_ret,0.0
morning_ret,0.0
afternoon_ret,0.0
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,7.132042085332542
afternoon_vwap,7.138909385685503
last_30m_vwap,7.140144622676713
first_60m_volume_share,0.3957244649956442
last_30m_volume_share,0.11854043922194535
morning_vwap_to_close,-0.057815449232292704
afternoon_vwap_to_close,-0.05904042844629753
last_30m_vwap_to_close,-0.05932428481540314
morning_afternoon_reversal,0.0
first60_last30_reversal,0.0
peTTM,15.701716000000001
pbMRQ,1.6094045000000001
psTTM,1.9357644999999999
pcfNcfTTM,18.4952465
profit_roeAvg,0.089667
profit_npMargin,0.26373
profit_gpMargin,0.464599
profit_netProfit,10947139206.15
profit_epsTTM,0.430544
profit_totalShare,18850401757.0
profit_liqaShare,18850401757.0
operation_NRTurnRatio,2.917374
operation_NRTurnDays,86.091026
operation_INVTurnRatio,1.049052
operation_INVTurnDays,244.102231
operation_CATurnRatio,0.782828
operation_AssetTurnRatio,0.09923
growth_YOYEquity,0.185524
growth_YOYAsset,0.111658
growth_YOYNI,0.154172
growth_YOYEPSBasic,0.108696
growth_YOYPNI,0.161039
solvency_currentRatio,0.935523
solvency_quickRatio,0.589929
solvency_cashRatio,0.241785
solvency_YOYLiability,0.074992
solvency_liabilityToAsset,0.694594
solvency_assetToEquity,3.274326
cashflow_CAToAsset,0.136086
cashflow_NCAToAsset,0.863914
cashflow_tangibleAssetToAsset,0.150225
cashflow_ebitToInterest,4.404138
cashflow_CFOToOR,0.595445
cashflow_CFOToNP,2.203603
cashflow_CFOToGr,0.595445
dupont_dupontROE,0.089667
dupont_dupontAssetStoEquity,6.019006
dupont_dupontAssetTurn,0.09923
dupont_dupontPnitoni,0.547673
dupont_dupontNitogr,0.26373
dupont_dupontTaxBurden,0.823153
dupont_dupontIntburden,0.772941
dupont_dupontEbittogr,0.422403
fund_days_since_effective,66.5
peTTM_rank252,0.7182539682539683
pbMRQ_rank252,0.5
psTTM_rank252,0.5615079365079365
pcfNcfTTM_rank252,0.4484126984126984
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_ebitToInterest_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.00039413175766730003
bench_ret20,-0.0018734452269218438
bench_ret60,-0.002215141001919718
bench_ma20_gap,-0.0011000345874539463
bench_ma60_gap,-7.621981004868328e-05
bench_vol20,0.009695816909418137
stock_ret20,0.0021331478246040536
stock_ret60,0.01334818114328129
stock_ma20_gap,0.0012416650069280166
stock_ma60_gap,0.007311091345428622
stock_vol20,0.01424075499607233
regime_market_ok,1.0
regime_market_strict,1.0
