,median
ane_stk_600893_open,40.3888128
ane_stk_600893_high,41.16602592
ane_stk_600893_low,39.7898361
ane_stk_600893_close,40.37
ane_stk_600893_volume,20291497.0
ane_stk_600893_range_pct,0.0313152400835072
ane_stk_600893_close_ret1,-0.0011571395510298
ane_stk_600893_close_ret3,-0.0014248397055331
ane_stk_600893_close_ret5,-0.0031746031746032
ane_stk_600893_close_ret20,-0.0063689687603012
ane_stk_600893_close_ret60,0.0110275689223058
ane_stk_600893_close_ma20_gap,-0.0055817114012524
ane_stk_600893_close_z20,-0.2044658275504635
ane_stk_600893_close_z60,-0.0305614173453937
ane_stk_600893_close_vol20,0.0219866105932662
ane_stk_600893_range_pct_ret1,-0.0080015612802515
ane_stk_600893_range_pct_ret3,-0.0030835197120323
ane_stk_600893_range_pct_ret5,-0.0100467431554764
ane_stk_600893_range_pct_ret20,-0.0063631213436543
ane_stk_600893_range_pct_ret60,0.017739584903756
ane_stk_600893_range_pct_ma20_gap,-0.097630397931848
ane_stk_600893_range_pct_z20,-0.2334354990990865
ane_stk_600893_range_pct_z60,-0.1957097065804447
ane_stk_600893_volume_shock20,-0.0886445952385068
ane_stk_600893_volume_z20,-0.2428907459373398
ane_stk_600765_open,18.44460639
ane_stk_600765_high,18.74826162
ane_stk_600765_low,18.14567856
ane_stk_600765_close,18.45340068
ane_stk_600765_volume,18276517.0
ane_stk_600765_range_pct,0.0356906807666888
ane_stk_600765_close_ret1,-0.0010427528675703
ane_stk_600765_close_ret3,-0.0011446012972147
ane_stk_600765_close_ret5,-0.0006963788300835
ane_stk_600765_close_ret20,0.0097503900156006
ane_stk_600765_close_ret60,0.0024539877300613
ane_stk_600765_close_ma20_gap,0.0036579789666209
ane_stk_600765_close_z20,0.1063181221564663
ane_stk_600765_close_z60,0.1067066967482766
ane_stk_600765_close_vol20,0.0262691694078807
ane_stk_600765_range_pct_ret1,-0.002820331672489
ane_stk_600765_range_pct_ret3,-0.0182687482442442
ane_stk_600765_range_pct_ret5,-0.013841269286371149
ane_stk_600765_range_pct_ret20,-0.0008519349032005
ane_stk_600765_range_pct_ret60,-0.025529699233398852
ane_stk_600765_range_pct_ma20_gap,-0.1033417743086009
ane_stk_600765_range_pct_z20,-0.2444308697151092
ane_stk_600765_range_pct_z60,-0.262429668282589
ane_stk_600765_volume_shock20,-0.093547800760201
ane_stk_600765_volume_z20,-0.231159745818428
ane_stk_000768_open,25.1774721
ane_stk_000768_high,25.55563176
ane_stk_000768_low,24.87114
ane_stk_000768_close,25.2147583
ane_stk_000768_volume,23216203.0
ane_stk_000768_range_pct,0.0301526717557252
ane_stk_000768_close_ret1,-0.0003340013360052
ane_stk_000768_close_ret3,-0.0012823800974609
ane_stk_000768_close_ret5,-0.0022222222222221
ane_stk_000768_close_ret20,-0.0029708853238265
ane_stk_000768_close_ret60,0.0038135593220338
ane_stk_000768_close_ma20_gap,-0.0026529969872746
ane_stk_000768_close_z20,-0.1031049829470372
ane_stk_000768_close_z60,-0.0398153279934168
ane_stk_000768_close_vol20,0.0220258351959483
ane_stk_000768_range_pct_ret1,-0.0108604032937895
ane_stk_000768_range_pct_ret3,-0.010641036642931
ane_stk_000768_range_pct_ret5,-0.0051282051282051
ane_stk_000768_range_pct_ret20,-0.0074712101683911
ane_stk_000768_range_pct_ret60,0.0178970917225991
ane_stk_000768_range_pct_ma20_gap,-0.0966353460178756
ane_stk_000768_range_pct_z20,-0.2315699191926946
ane_stk_000768_range_pct_z60,-0.2421996747641464
ane_stk_000768_volume_shock20,-0.1070341887537653
ane_stk_000768_volume_z20,-0.3015979491135023
ane_stk_003816_open,2.81055394
ane_stk_003816_high,2.83847335
ane_stk_003816_low,2.78263453
ane_stk_003816_close,2.81764014
ane_stk_003816_volume,99008049.0
ane_stk_003816_range_pct,0.017921146953405
ane_stk_003816_close_ret1,0.0
ane_stk_003816_close_ret3,0.0
ane_stk_003816_close_ret5,0.0028011204481792
ane_stk_003816_close_ret20,0.0036900369003689
ane_stk_003816_close_ret60,0.0053050397877985
ane_stk_003816_close_ma20_gap,0.0006715916722632
ane_stk_003816_close_z20,0.0417353669057183
ane_stk_003816_close_z60,0.0852120693636342
ane_stk_003816_close_vol20,0.0115433595659043
ane_stk_003816_range_pct_ret1,0.0
ane_stk_003816_range_pct_ret3,0.0
ane_stk_003816_range_pct_ret5,-0.00267080302381395
ane_stk_003816_range_pct_ret20,0.008937007874002399
ane_stk_003816_range_pct_ret60,0.006323955418078
ane_stk_003816_range_pct_ma20_gap,-0.0922559859518894
ane_stk_003816_range_pct_z20,-0.2270812918075251
ane_stk_003816_range_pct_z60,-0.2414547737949691
ane_stk_003816_volume_shock20,-0.0722061775610592
ane_stk_003816_volume_z20,-0.2128901368284239
ane_stk_601985_open,6.688263
ane_stk_601985_high,6.8053104
ane_stk_601985_low,6.5985192
ane_stk_601985_close,6.6925152
ane_stk_601985_volume,84233182.0
ane_stk_601985_range_pct,0.0202020202020201
ane_stk_601985_close_ret1,0.0
ane_stk_601985_close_ret3,0.0
ane_stk_601985_close_ret5,0.0
ane_stk_601985_close_ret20,0.0021231422505305
ane_stk_601985_close_ret60,0.0098254419286931
ane_stk_601985_close_ma20_gap,0.0015076459185872
ane_stk_601985_close_z20,0.0825601906729529
ane_stk_601985_close_z60,0.2126394143548043
ane_stk_601985_close_vol20,0.0142039641054382
ane_stk_601985_range_pct_ret1,0.0021459227467834
ane_stk_601985_range_pct_ret3,-0.0021459227467807
ane_stk_601985_range_pct_ret5,-0.0049833887042973
ane_stk_601985_range_pct_ret20,-0.0097087378640745
ane_stk_601985_range_pct_ret60,-0.0255047821466636
ane_stk_601985_range_pct_ma20_gap,-0.0989774733947925
ane_stk_601985_range_pct_z20,-0.2399226662606819
ane_stk_601985_range_pct_z60,-0.2427206617565072
ane_stk_601985_volume_shock20,-0.0782674056809364
ane_stk_601985_volume_z20,-0.214037877087453
ane_stk_601611_open,7.8477304
ane_stk_601611_high,7.98369304
ane_stk_601611_low,7.75388196
ane_stk_601611_close,7.877086
ane_stk_601611_volume,19330567.0
ane_stk_601611_range_pct,0.0248275862068965
ane_stk_601611_close_ret1,-0.001031991744066
ane_stk_601611_close_ret3,0.0
ane_stk_601611_close_ret5,0.0
ane_stk_601611_close_ret20,0.003003003003003
ane_stk_601611_close_ret60,0.0173053152039555
ane_stk_601611_close_ma20_gap,0.0002116103547999
ane_stk_601611_close_z20,0.0119501897526937
ane_stk_601611_close_z60,0.1603505370977006
ane_stk_601611_close_vol20,0.0196940157434311
ane_stk_601611_range_pct_ret1,-0.009557315936629451
ane_stk_601611_range_pct_ret3,0.0
ane_stk_601611_range_pct_ret5,-0.0162615841930465
ane_stk_601611_range_pct_ret20,-0.00239189774792985
ane_stk_601611_range_pct_ret60,0.01187842435616545
ane_stk_601611_range_pct_ma20_gap,-0.1317740918944717
ane_stk_601611_range_pct_z20,-0.2855850463297862
ane_stk_601611_range_pct_z60,-0.2946664771174649
ane_stk_601611_volume_shock20,-0.1480378436528481
ane_stk_601611_volume_z20,-0.3614880696739705
ane_stk_300034_open,17.954703
ane_stk_300034_high,18.35640144
ane_stk_300034_low,17.58
ane_stk_300034_close,17.9880696
ane_stk_300034_volume,9055615.0
ane_stk_300034_range_pct,0.0382814651611125
ane_stk_300034_close_ret1,0.0
ane_stk_300034_close_ret3,0.0005991611743558
ane_stk_300034_close_ret5,-0.0008810572687225
ane_stk_300034_close_ret20,-0.003623188405797
ane_stk_300034_close_ret60,0.015006821282401
ane_stk_300034_close_ma20_gap,-0.0011587485515642
ane_stk_300034_close_z20,-0.0327090695615204
ane_stk_300034_close_z60,-0.0607206409924356
ane_stk_300034_close_vol20,0.0264569648298115
ane_stk_300034_range_pct_ret1,-0.0156485598882136
ane_stk_300034_range_pct_ret3,0.00469793944486625
ane_stk_300034_range_pct_ret5,0.00021786492374705
ane_stk_300034_range_pct_ret20,-0.0373775441760381
ane_stk_300034_range_pct_ret60,-0.007361100634092
ane_stk_300034_range_pct_ma20_gap,-0.0943981629615573
ane_stk_300034_range_pct_z20,-0.2248597688152442
ane_stk_300034_range_pct_z60,-0.2589984434046714
ane_stk_300034_volume_shock20,-0.0973319057948653
ane_stk_300034_volume_z20,-0.2628315048145588
ane_stock_basket_close_ret1,0.0001135833253447
ane_stock_basket_close,182.88221382458983
ane_stock_basket_close_ret3,0.001338964932336
ane_stock_basket_close_ret5,0.0012098970166884
ane_stock_basket_close_ret20,0.0079612228957521
ane_stock_basket_close_ret60,0.0204609339243668
ane_stock_basket_close_ma20_gap,0.0043210247001421
ane_stock_basket_close_z20,0.2143224318869888
ane_stock_basket_close_z60,0.2196485559291856
ane_stock_basket_close_vol20,0.0150102444605631
ane_board_b01_open,1638.921
ane_board_b01_high,1658.739
ane_board_b01_low,1623.181
ane_board_b01_close,1642.017
ane_board_b01_volume,1411387800.0
ane_board_b01_amount,27418819000.0
ane_board_b01_range_pct,0.0217325306852447
ane_board_b01_close_ret1,0.0002741147977898
ane_board_b01_close_ret3,0.0006781685595662
ane_board_b01_close_ret5,0.0014393859451682
ane_board_b01_close_ret20,0.0061035813661252
ane_board_b01_close_ret60,0.0190792241709341
ane_board_b01_close_ma20_gap,0.0051680858744602
ane_board_b01_close_z20,0.1745491037324859
ane_board_b01_close_z60,0.1688583082190004
ane_board_b01_close_vol20,0.0181559213004146
ane_board_b01_range_pct_ret1,0.0054697887772541
ane_board_b01_range_pct_ret3,0.0010102016454847
ane_board_b01_range_pct_ret5,-0.009628436514548
ane_board_b01_range_pct_ret20,-0.0035081717932434
ane_board_b01_range_pct_ret60,0.0143057837943054
ane_board_b01_range_pct_ma20_gap,-0.1090545729847697
ane_board_b01_range_pct_z20,-0.25192888129887
ane_board_b01_range_pct_z60,-0.2472836088924573
ane_board_b01_volume_shock20,-0.0340879989953898
ane_board_b01_volume_z20,-0.1530977879083079
ane_board_b01_amount_shock20,-0.0244984190674095
ane_board_b01_amount_z20,-0.1047476106215136
ane_board_b02_open,9142.596
ane_board_b02_high,9257.432
ane_board_b02_low,9029.782
ane_board_b02_close,9146.243
ane_board_b02_volume,548172190.0
ane_board_b02_amount,11221047000.0
ane_board_b02_range_pct,0.0232635215469756
ane_board_b02_close_ret1,0.0008708287246268
ane_board_b02_close_ret3,0.0019138486761949
ane_board_b02_close_ret5,0.0027668516290071
ane_board_b02_close_ret20,0.0107666025871309
ane_board_b02_close_ret60,0.0232833631986608
ane_board_b02_close_ma20_gap,0.0055302837241584
ane_board_b02_close_z20,0.2071549020979664
ane_board_b02_close_z60,0.198183956718543
ane_board_b02_close_vol20,0.0182451552822061
ane_board_b02_range_pct_ret1,-0.0040606619302292
ane_board_b02_range_pct_ret3,-0.0022366179950601
ane_board_b02_range_pct_ret5,0.0030310176084145
ane_board_b02_range_pct_ret20,-0.0105503063749228
ane_board_b02_range_pct_ret60,-0.0166618049683563
ane_board_b02_range_pct_ma20_gap,-0.0955658624851136
ane_board_b02_range_pct_z20,-0.2322513004531262
ane_board_b02_range_pct_z60,-0.232473436101971
ane_board_b02_volume_shock20,-0.0357013804902721
ane_board_b02_volume_z20,-0.1630894878554342
ane_board_b02_amount_shock20,-0.0315485291032898
ane_board_b02_amount_z20,-0.1542082600008993
ane_board_b03_open,4446.107
ane_board_b03_high,4489.915
ane_board_b03_low,4401.829
ane_board_b03_close,4446.987
ane_board_b03_volume,1582438100.0
ane_board_b03_amount,17313046000.0
ane_board_b03_range_pct,0.0169813363173148
ane_board_b03_close_ret1,0.0018873805975565
ane_board_b03_close_ret3,0.003264083613591
ane_board_b03_close_ret5,0.0038840091961356
ane_board_b03_close_ret20,0.0179738297776632
ane_board_b03_close_ret60,0.053417881997134
ane_board_b03_close_ma20_gap,0.0107118620028217
ane_board_b03_close_z20,0.4578336355050422
ane_board_b03_close_z60,0.5767305730730297
ane_board_b03_close_vol20,0.0148953945919182
ane_board_b03_range_pct_ret1,0.013398784098374
ane_board_b03_range_pct_ret3,-0.0124093280346199
ane_board_b03_range_pct_ret5,0.0016715020914095
ane_board_b03_range_pct_ret20,-0.0007842167933398
ane_board_b03_range_pct_ret60,-0.0027746240366426
ane_board_b03_range_pct_ma20_gap,-0.1044516147917679
ane_board_b03_range_pct_z20,-0.240205147117122
ane_board_b03_range_pct_z60,-0.1945662693141651
ane_board_b03_volume_shock20,-0.0101487139025971
ane_board_b03_volume_z20,-0.0608448717134835
ane_board_b03_amount_shock20,-0.0033556742078049
ane_board_b03_amount_z20,-0.0192523306490162
ane_board_b04_open,4310.54
ane_board_b04_high,4344.715
ane_board_b04_low,4266.236
ane_board_b04_close,4310.044
ane_board_b04_volume,1952686100.0
ane_board_b04_amount,23146239000.0
ane_board_b04_range_pct,0.0154547687870885
ane_board_b04_close_ret1,0.0015889493923944
ane_board_b04_close_ret3,0.002845428250497
ane_board_b04_close_ret5,0.0041614318885538
ane_board_b04_close_ret20,0.0155710037486065
ane_board_b04_close_ret60,0.0404854191829735
ane_board_b04_close_ma20_gap,0.0105492528598043
