,median
prev_close,17.55449608
overnight_ret,0.0
intraday_ret,-0.0004618937644341736
close_to_vwap,-0.02380287325168784
open_to_vwap,-0.025095209724749767
high_to_close,0.017716535433070835
close_to_low,0.016257668711656237
high_to_open,0.01728971962616832
low_to_open,-0.0172155688622756
range_pct,0.040280857354027866
close_range_pos,0.4692234848484843
upper_shadow_pct,0.008877840909090828
lower_shadow_pct,0.008706467661691475
volume_shock20,-0.09851615850782669
volume_z20,-0.24972153984178122
daily_vwap_volume_shock20,-0.09851615850782669
daily_vwap_volume_z20,-0.24901885855525474
daily_vwap_pv_shock20,-0.10545168031082097
daily_vwap_pv_z20,-0.25171894478366125
range_pct_shock20,-0.08752460450231203
range_pct_z20,-0.22144673343643978
intraday_ret_shock20,-0.8769588008165629
intraday_ret_z20,-0.04921187884012698
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0009274069180713607
down_day_below_vwap,0.0
bar_count,48.0
first_30m_ret,-0.0005065856129684576
first_60m_ret,-0.0006997900629811538
morning_ret,-0.001427551748750866
afternoon_ret,0.0
last_30m_ret,0.0
last_60m_ret,0.0
morning_vwap,19.095120678776663
afternoon_vwap,19.08153028905143
last_30m_vwap,19.076083071270666
first_60m_volume_share,0.3735977217187169
last_30m_volume_share,0.12869064336377378
morning_vwap_to_close,-0.02471938816033059
afternoon_vwap_to_close,-0.02315848136020271
last_30m_vwap_to_close,-0.02340396207887674
morning_afternoon_reversal,-1.857810607355919e-06
first60_last30_reversal,0.0
peTTM,48.418633
pbMRQ,3.001368
psTTM,5.58389
pcfNcfTTM,-27.013524
profit_roeAvg,0.03943
profit_npMargin,0.111091
profit_gpMargin,0.366753
profit_netProfit,138616590.86
profit_epsTTM,0.421866
profit_totalShare,683146921.0
profit_liqaShare,683146921.0
operation_NRTurnRatio,1.641401
operation_NRTurnDays,153.758016
operation_INVTurnRatio,0.694995
operation_INVTurnDays,385.93482
operation_CATurnRatio,0.40664
operation_AssetTurnRatio,0.171831
growth_YOYEquity,0.051258
growth_YOYAsset,0.073812
growth_YOYNI,0.151048
growth_YOYEPSBasic,0.08
growth_YOYPNI,0.145517
solvency_currentRatio,1.180435
solvency_quickRatio,0.653236
solvency_cashRatio,0.212585
solvency_YOYLiability,0.108292
solvency_liabilityToAsset,0.525116
solvency_assetToEquity,2.20818
cashflow_CAToAsset,0.350906
cashflow_NCAToAsset,0.649094
cashflow_tangibleAssetToAsset,0.289182
cashflow_ebitToInterest,3.313189
cashflow_CFOToOR,0.084036
cashflow_CFOToNP,0.712586
cashflow_CFOToGr,0.084036
dupont_dupontROE,0.03943
dupont_dupontAssetStoEquity,2.383628
dupont_dupontAssetTurn,0.171831
dupont_dupontPnitoni,1.087033
dupont_dupontNitogr,0.111091
dupont_dupontTaxBurden,0.969833
dupont_dupontIntburden,0.676191
dupont_dupontEbittogr,0.161761
fund_days_since_effective,62.0
peTTM_rank252,0.3809523809523809
pbMRQ_rank252,0.5555555555555556
psTTM_rank252,0.5396825396825397
pcfNcfTTM_rank252,0.5277777777777778
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_ebitToInterest_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,0.0001202136891562
bench_ret20,-0.0021799565041140667
bench_ret60,-0.007268691273620731
bench_ma20_gap,-0.0014788815489036322
bench_ma60_gap,-0.0013772708695798386
bench_vol20,0.009752581068951164
stock_ret20,0.008625646923519081
stock_ret60,0.038291605301914666
stock_ma20_gap,0.0054566933563353626
stock_ma60_gap,0.019070623807030174
stock_vol20,0.029448426975066513
regime_market_ok,1.0
regime_market_strict,1.0
ane_stk_600893_open,40.16878692
ane_stk_600893_high,40.7635137
ane_stk_600893_low,39.56354664
ane_stk_600893_close,40.14960036
ane_stk_600893_volume,19255531.0
ane_stk_600893_range_pct,0.0307093425605535
ane_stk_600893_close_ret1,-0.0011865915158706
ane_stk_600893_close_ret3,-0.0016260162601626
ane_stk_600893_close_ret5,-0.0033287101248266
ane_stk_600893_close_ret20,-0.0076610007182188
ane_stk_600893_close_ret60,0.0016055045871559
ane_stk_600893_close_ma20_gap,-0.0056904087747753
ane_stk_600893_close_z20,-0.2156606343907069
ane_stk_600893_close_z60,-0.0347049706111337
ane_stk_600893_close_vol20,0.0214862703348994
ane_stk_600893_range_pct_ret1,-0.0085960413088806
ane_stk_600893_range_pct_ret3,-0.0086580086580049
ane_stk_600893_range_pct_ret5,-0.0192125237191669
ane_stk_600893_range_pct_ret20,-0.0066101654694653
ane_stk_600893_range_pct_ret60,0.0008518651362974
ane_stk_600893_range_pct_ma20_gap,-0.101224044593827
ane_stk_600893_range_pct_z20,-0.2440449793953744
ane_stk_600893_range_pct_z60,-0.2114832949248255
ane_stk_600893_volume_shock20,-0.0886445952385068
ane_stk_600893_volume_z20,-0.2428907459373398
ane_stk_600765_open,18.67969431
ane_stk_600765_high,18.95396355
ane_stk_600765_low,18.364062
ane_stk_600765_close,18.65193108
ane_stk_600765_volume,17597795.0
ane_stk_600765_range_pct,0.0362528071863972
ane_stk_600765_close_ret1,-0.0010094212651412
ane_stk_600765_close_ret3,-0.0005757052389178
ane_stk_600765_close_ret5,-0.0005793742757822
ane_stk_600765_close_ret20,0.0098667982239761
ane_stk_600765_close_ret60,0.0022793878215565
ane_stk_600765_close_ma20_gap,0.0036579789666209
ane_stk_600765_close_z20,0.1024560027500989
ane_stk_600765_close_z60,0.0806071957982758
ane_stk_600765_close_vol20,0.026671016194059
ane_stk_600765_range_pct_ret1,-0.0013414562565329
ane_stk_600765_range_pct_ret3,-0.01557274529709045
ane_stk_600765_range_pct_ret5,-0.015318769026436401
ane_stk_600765_range_pct_ret20,-0.00126742455036235
ane_stk_600765_range_pct_ret60,-0.04314853957756535
ane_stk_600765_range_pct_ma20_gap,-0.1035717726377665
ane_stk_600765_range_pct_z20,-0.2510675579484146
ane_stk_600765_range_pct_z60,-0.2677995915765952
ane_stk_600765_volume_shock20,-0.093547800760201
ane_stk_600765_volume_z20,-0.231159745818428
ane_stk_000768_open,25.19513592
ane_stk_000768_high,25.58758352
ane_stk_000768_low,24.85902186
ane_stk_000768_close,25.22722995
ane_stk_000768_volume,22991303.0
ane_stk_000768_range_pct,0.0305072720822985
ane_stk_000768_close_ret1,0.0
ane_stk_000768_close_ret3,-0.0011261261261259
ane_stk_000768_close_ret5,-0.0018389113644722
ane_stk_000768_close_ret20,0.0001709033149037
ane_stk_000768_close_ret60,0.0051249199231262
ane_stk_000768_close_ma20_gap,-0.0004933804785791
ane_stk_000768_close_z20,-0.016781672409542
ane_stk_000768_close_z60,0.0072385315924246
ane_stk_000768_close_vol20,0.0221076054613868
ane_stk_000768_range_pct_ret1,-0.010604418507721
ane_stk_000768_range_pct_ret3,-0.0118543607112574
ane_stk_000768_range_pct_ret5,-0.0086237872799097
ane_stk_000768_range_pct_ret20,-0.0036644951140005
ane_stk_000768_range_pct_ret60,0.00636913698194
ane_stk_000768_range_pct_ma20_gap,-0.1002952815732906
ane_stk_000768_range_pct_z20,-0.2333793021574718
ane_stk_000768_range_pct_z60,-0.2490744915735238
ane_stk_000768_volume_shock20,-0.1139488588529464
ane_stk_000768_volume_z20,-0.3017369579731997
ane_stk_003816_open,2.72289115
ane_stk_003816_high,2.75907575
ane_stk_003816_low,2.68956983
ane_stk_003816_close,2.72679571
ane_stk_003816_volume,94933618.0
ane_stk_003816_range_pct,0.0177304964539006
ane_stk_003816_close_ret1,0.0
ane_stk_003816_close_ret3,0.0
ane_stk_003816_close_ret5,0.0029761904761904
ane_stk_003816_close_ret20,0.002770083102493
ane_stk_003816_close_ret60,0.0032398681575402
ane_stk_003816_close_ma20_gap,-0.0001785395465094
ane_stk_003816_close_z20,-0.0206755562456953
ane_stk_003816_close_z60,0.0400610399483394
ane_stk_003816_close_vol20,0.0115630293632911
ane_stk_003816_range_pct_ret1,0.0
ane_stk_003816_range_pct_ret3,0.0
ane_stk_003816_range_pct_ret5,-0.00340199028003445
ane_stk_003816_range_pct_ret20,0.01003355704696445
ane_stk_003816_range_pct_ret60,-0.00906446728822505
ane_stk_003816_range_pct_ma20_gap,-0.0983887313668754
ane_stk_003816_range_pct_z20,-0.2331329708959574
ane_stk_003816_range_pct_z60,-0.2577617425869705
ane_stk_003816_volume_shock20,-0.0714584450098493
ane_stk_003816_volume_z20,-0.200937838116181
ane_stk_601985_open,6.47813925
ane_stk_601985_high,6.60678315
ane_stk_601985_low,6.38625075
ane_stk_601985_close,6.4873281
ane_stk_601985_volume,82075807.0
ane_stk_601985_range_pct,0.0207336523125996
ane_stk_601985_close_ret1,0.0
ane_stk_601985_close_ret3,0.0
ane_stk_601985_close_ret5,0.0011415525114153
ane_stk_601985_close_ret20,0.003225806451613
ane_stk_601985_close_ret60,0.0133333333333331
ane_stk_601985_close_ma20_gap,0.0020671325917904
ane_stk_601985_close_z20,0.0952718640950176
ane_stk_601985_close_z60,0.2441324677665318
ane_stk_601985_close_vol20,0.0145941106109648
ane_stk_601985_range_pct_ret1,0.001945525291829
ane_stk_601985_range_pct_ret3,-0.0033333333333096
ane_stk_601985_range_pct_ret5,-0.0048899755501259
ane_stk_601985_range_pct_ret20,-0.0061192262139786
ane_stk_601985_range_pct_ret60,-0.0399564676616933
ane_stk_601985_range_pct_ma20_gap,-0.0955483897757675
ane_stk_601985_range_pct_z20,-0.2310283763615269
ane_stk_601985_range_pct_z60,-0.2392624617483133
ane_stk_601985_volume_shock20,-0.076463932955795
ane_stk_601985_volume_z20,-0.2089590817680836
ane_stk_601611_open,7.74551604
ane_stk_601611_high,7.87540905
ane_stk_601611_low,7.65977232
ane_stk_601611_close,7.7688537
ane_stk_601611_volume,18067462.0
ane_stk_601611_range_pct,0.0235294117647058
ane_stk_601611_close_ret1,0.0
ane_stk_601611_close_ret3,0.0
ane_stk_601611_close_ret5,0.0
ane_stk_601611_close_ret20,0.0030090270812437
ane_stk_601611_close_ret60,0.0105386416861825
ane_stk_601611_close_ma20_gap,0.0004014452027298
ane_stk_601611_close_z20,0.020507073461945
ane_stk_601611_close_z60,0.0669257941879486
ane_stk_601611_close_vol20,0.0184504156824993
ane_stk_601611_range_pct_ret1,-0.0042122708623114
ane_stk_601611_range_pct_ret3,0.0019457245263626
ane_stk_601611_range_pct_ret5,-0.01236052083508965
ane_stk_601611_range_pct_ret20,0.0078417376819868
ane_stk_601611_range_pct_ret60,-0.0052046714393224
ane_stk_601611_range_pct_ma20_gap,-0.1232675700430414
ane_stk_601611_range_pct_z20,-0.2687443285393374
ane_stk_601611_range_pct_z60,-0.280978633344801
ane_stk_601611_volume_shock20,-0.1445720727516951
ane_stk_601611_volume_z20,-0.3543891157135735
ane_stk_300034_open,17.66011032
ane_stk_300034_high,18.08252022
ane_stk_300034_low,17.35932
ane_stk_300034_close,17.714397
ane_stk_300034_volume,8450712.0
ane_stk_300034_range_pct,0.0385739333722969
ane_stk_300034_close_ret1,0.0
ane_stk_300034_close_ret3,-0.0006090133982946
ane_stk_300034_close_ret5,-0.0023746701846966
ane_stk_300034_close_ret20,-0.0057213719195907
ane_stk_300034_close_ret60,0.0142063001852996
ane_stk_300034_close_ma20_gap,-0.0035845631022765
ane_stk_300034_close_z20,-0.0923490493416938
ane_stk_300034_close_z60,-0.1340351974923864
ane_stk_300034_close_vol20,0.0265083985641402
ane_stk_300034_range_pct_ret1,-0.01585129545068325
ane_stk_300034_range_pct_ret3,0.00536980715791345
ane_stk_300034_range_pct_ret5,0.0010207831520338499
ane_stk_300034_range_pct_ret20,-0.03947820392327595
ane_stk_300034_range_pct_ret60,-0.01858381177495615
ane_stk_300034_range_pct_ma20_gap,-0.093317919257863
ane_stk_300034_range_pct_z20,-0.2262196075141439
ane_stk_300034_range_pct_z60,-0.2659084462809717
ane_stk_300034_volume_shock20,-0.0973580401408334
ane_stk_300034_volume_z20,-0.2635483551228771
ane_stock_basket_close_ret1,0.0001543781825263
ane_stock_basket_close,180.9033660604128
ane_stock_basket_close_ret3,0.0015282816391235
ane_stock_basket_close_ret5,0.0008856174674756
ane_stock_basket_close_ret20,0.0074092945530743
ane_stock_basket_close_ret60,0.0143148723438184
