,median
prev_close,17.494671095
overnight_ret,0.0
intraday_ret,-0.00224382946896029
close_to_vwap,-0.025146403525879046
open_to_vwap,-0.025940072332269803
high_to_close,0.018982536066818545
close_to_low,0.015094339622641506
high_to_open,0.01619718309859164
low_to_open,-0.017391304347825987
range_pct,0.039408866995073843
close_range_pos,0.43478260869565266
upper_shadow_pct,0.009232954545454586
lower_shadow_pct,0.00841622035195111
volume_shock20,-0.11517261428842107
volume_z20,-0.2849540821075899
daily_vwap_volume_shock20,-0.11517261428842107
daily_vwap_volume_z20,-0.28449181492165077
daily_vwap_pv_shock20,-0.12698314824138057
daily_vwap_pv_z20,-0.3116224370345336
range_pct_shock20,-0.09786922834015033
range_pct_z20,-0.2512234833848856
intraday_ret_shock20,-1.0
intraday_ret_z20,-0.1123493678318498
overnight_intraday_reversal,0.0
overnight_plus_intraday,-0.0024434204278346305
down_day_below_vwap,1.0
bar_count,48.0
first_30m_ret,-0.0006191950464395912
first_60m_ret,-0.0008787346221440506
morning_ret,-0.0020993701889434613
afternoon_ret,-0.0010593220338983578
last_30m_ret,0.0
last_60m_ret,-0.00030385900941964916
morning_vwap,19.04694430904694
afternoon_vwap,19.03386223268562
last_30m_vwap,19.019869558622784
first_60m_volume_share,0.3696742229868753
last_30m_volume_share,0.13015440055367247
morning_vwap_to_close,-0.026797255210012416
afternoon_vwap_to_close,-0.024103843626326005
last_30m_vwap_to_close,-0.024237650230636287
morning_afternoon_reversal,-3.7316705009579264e-07
first60_last30_reversal,0.0
peTTM,48.418633
pbMRQ,2.989729
psTTM,5.577401
pcfNcfTTM,-26.683847
profit_roeAvg,0.037052
profit_npMargin,0.110329
profit_gpMargin,0.366753
profit_netProfit,138616590.86
profit_epsTTM,0.413177
profit_totalShare,683146921.0
profit_liqaShare,683146921.0
operation_NRTurnRatio,1.641401
operation_NRTurnDays,153.758016
operation_INVTurnRatio,0.694995
operation_INVTurnDays,385.93482
operation_CATurnRatio,0.40664
operation_AssetTurnRatio,0.171831
growth_YOYEquity,0.051258
growth_YOYAsset,0.073812
growth_YOYNI,0.158006
growth_YOYEPSBasic,0.08
growth_YOYPNI,0.145517
solvency_currentRatio,1.180435
solvency_quickRatio,0.653236
solvency_cashRatio,0.214371
solvency_YOYLiability,0.07956
solvency_liabilityToAsset,0.525116
solvency_assetToEquity,2.20818
cashflow_CAToAsset,0.373952
cashflow_NCAToAsset,0.626048
cashflow_tangibleAssetToAsset,0.290541
cashflow_ebitToInterest,3.313189
cashflow_CFOToOR,0.096962
cashflow_CFOToNP,0.839963
cashflow_CFOToGr,0.096962
dupont_dupontROE,0.037052
dupont_dupontAssetStoEquity,2.383628
dupont_dupontAssetTurn,0.171831
dupont_dupontPnitoni,1.087033
dupont_dupontNitogr,0.110329
dupont_dupontTaxBurden,0.974554
dupont_dupontIntburden,0.671486
dupont_dupontEbittogr,0.159589
fund_days_since_effective,62.0
peTTM_rank252,0.3531746031746032
pbMRQ_rank252,0.5357142857142857
psTTM_rank252,0.5178571428571429
pcfNcfTTM_rank252,0.5317460317460317
profit_roeAvg_chg4q,0.0
profit_npMargin_chg4q,0.0
profit_gpMargin_chg4q,0.0
profit_netProfit_chg4q,0.0
profit_epsTTM_chg4q,0.0
profit_totalShare_chg4q,0.0
profit_liqaShare_chg4q,0.0
growth_YOYEquity_chg4q,0.0
growth_YOYAsset_chg4q,0.0
growth_YOYNI_chg4q,0.0
growth_YOYEPSBasic_chg4q,0.0
growth_YOYPNI_chg4q,0.0
solvency_currentRatio_chg4q,0.0
solvency_quickRatio_chg4q,0.0
solvency_cashRatio_chg4q,0.0
solvency_YOYLiability_chg4q,0.0
solvency_liabilityToAsset_chg4q,0.0
solvency_assetToEquity_chg4q,0.0
cashflow_CAToAsset_chg4q,0.0
cashflow_NCAToAsset_chg4q,0.0
cashflow_tangibleAssetToAsset_chg4q,0.0
cashflow_ebitToInterest_chg4q,0.0
cashflow_CFOToOR_chg4q,0.0
cashflow_CFOToNP_chg4q,0.0
cashflow_CFOToGr_chg4q,0.0
dupont_dupontROE_chg4q,0.0
dupont_dupontAssetStoEquity_chg4q,0.0
dupont_dupontAssetTurn_chg4q,0.0
dupont_dupontPnitoni_chg4q,0.0
dupont_dupontNitogr_chg4q,0.0
dupont_dupontTaxBurden_chg4q,0.0
dupont_dupontIntburden_chg4q,0.0
dupont_dupontEbittogr_chg4q,0.0
bench_ret5,-0.0003168118349924
bench_ret20,-0.004659697892460901
bench_ret60,-0.009543052548328546
bench_ma20_gap,-0.0027268102359181423
bench_ma60_gap,-0.003899046212581525
bench_vol20,0.009743601278515954
stock_ret20,0.003292181069958877
stock_ret60,0.026352288488210807
stock_ma20_gap,0.0012811173352758054
stock_ma60_gap,0.011512697553784923
stock_vol20,0.029338178962649883
regime_market_ok,1.0
regime_market_strict,1.0
sector_open,4324.643
sector_high,4372.957
sector_low,4281.463
sector_close,4328.03
sector_volume,1492277200.0
sector_amount,15933900000.0
sector_ret1,0.0008565762387611
sector_ret5,0.0018490148861066
sector_ret20,0.014758160910651
sector_ret60,0.0483683716095169
sector_ma20_gap,0.0077361804139124
sector_ma60_gap,0.0233082768163277
sector_vol20,0.0150057291318893
sector_range_pct,0.0168000842271864
sector_range_z20,-0.258140480093845
sector_volume_shock20,-0.0140082612353084
sector_volume_z20,-0.0933017146124311
